@English@|@Burmese@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1 hour@|@ta-nayi@
@1 pm@|@mun: lwe: ta-nayi@
@1.000@|@stung, thaung@
@1.000.000@|@sanh@
@10.000@|@saungh@
@100.000@|@sinh@
@110@|@ta-ya-taseh@
@120@|@ta-ya-hnaseh@
@150@|@taya nga seh@
@200@|@hna-ya@
@21@|@hna-seh-tiq@
@22@|@hna-seh-hniq@
@23@|@hna-seh-thoun@
@24@|@hna-seh-lei@
@24 hours@|@rak@
@3 am@|@mane' thoun nayi@
@3 pm@|@nya nei thoun nayi@
@300@|@thoun-ya@
@400@|@lei-ya@
@500@|@nga-ya@
@9 pm@|@nya. ko: nayi@
@a ball point pen@|@baw: pin ta chaun@
@a basket@|@rakx@
@a cage@|@khjäung', khräung'@
@a cage for a criminal@|@c'ap@
@a cake of soap@|@hsa' pya da doun@
@a cavity@|@äkhaungh, khungx, lup@
@a crab@|@kanh-tanh@
@a crow@|@kjih@
@a day@|@ta-nei@
@a drug of any kind@|@c'hijh@
@a group of people@|@twij@
@a joint@|@c'hac'@
@a k. of basket@|@kjap@
@a k. of creeper@|@hunh@
@a k. of creeping plant@|@rwajh@
@a k. of net@|@khwa', khwa'@
@a k. of pheasant@|@bhut@
@a k. of rice@|@kauk, kauk@
@a k. of soup@|@hangh@
@a k. of squirrel@|@c'wij'@
@a k. of tree@|@lim@
@a leguminous plant@|@rwijh@
@a moth@|@phälam@
@a pair@|@hran@
@a plain@|@thang@
@a plough@|@staj, thaj@
@a polite term of witchery@|@rwa@
@a pot of chinese tea@|@yei nwei: gyan: ta kha ya:@
@a set of steps@|@hlij-kah@
@a side@|@phak@
@a small coin@|@prah@
@a sp. of shellfish@|@krwij@
@a species of skink@|@sangh-lip@
@a stick@|@thut, tut@
@a wait@|@näwh@
@a week@|@da ba'@
@ability@|@ran?@
@able to@|@näung@
@above@|@äpaw@
@abstain@|@amh@
@abundance@|@thu'@
@abundant@|@hläung, krwaj@
@abuse in words@|@chajh@
@across@|@hpya'@
@action@|@a-mu@
@adhesive@|@c'ijh, khjwajh@
@adorn@|@khjaj@
@affair@|@ähmu'@
@affix connective with@|@hnang'@
@affix of intensification@|@hla'@
@after@|@pyi@
@afternoon@|@nya. nei@
@again@|@hta'@
@age@|@a the'@
@agile@|@nan'@
@agree@|@tha baw@
@agreed@|@kaun: bi@
@ahead@|@shei@
@air@|@lei@
@aircraft@|@lei yin byan@
@alchemist@|@zawgyi@
@all@|@a-lap, ta'-ka, ta'-ka'@
