@English@|@Gujarati@
@Author name@|@Rush Shah, Mazhar Meralli Ballou@
@Font@|@Arial\12\Arial\12@
@a little@|@thoda@
@about@|@babatman@
@absolute@|@nirapeksa@
@acne@|@kila@
@actor@|@abhineta, abhineta@
@address@|@sarnamum@
@after@|@pachi, pachi@
@afternoon@|@bapor, trejopahor@
@again@|@paachu, paachu@
@against@|@virudh@
@age@|@umar, umar@
@aged@|@vridh@
@agent@|@artiyo@
@ah !@|@are !@
@air@|@hawa@
@alas !@|@hai !@
@alcohol@|@daaroo, daaroo@
@all sides@|@chare taraf@
@almond@|@badam@
@alone@|@eklo, eklo@
@also@|@pan@
@always@|@hammesa@
@am@|@chu, chu@
@ambassador@|@elchi@
@and@|@ane, ne, ne, pen, pern@
@angel@|@dut�@
@animals@|@janavar@
@ankle@|@ghunto@
@answer@|@jawaab, jawaab@
@anthem@|@gita@
@anything@|@kasu@
@apple@|@safarajan, safargan@
@are@|@cho, cho@
@arm@|@baawad'un@
@artist@|@chitrakar@
@ask@|@maang, maang@
@ass@|@gadhedo, gadhero@
@at least@|@cheta, cheta@
@aunt@|@kaki@
@autumn@|@pankar@
@avalanche@|@himaprapat@
@avarice@|@lobh, lalac@
@bachelor [an unmarried man]@|@vandho@
@back (anat.)@|@peeth@
@bad@|@karaab, karaab@
@bad (female)@|@nakaami, nakaami@
@bad (male)@|@nakaamo, nakaamo@
@bag@|@theli, theli@
@balcony@|@padali@
@balloon@|@dado@
@banana@|@keru, keru@
@barber@|@hajam@
@barren woman@|@vanjhni@
@basil@|@tulsa@
@basket@|@topli@
@bat@|@chamachiryun@
@bathroom@|@sananaghar@
@bear@|@rinch@
@beast@|@pasu@
@because@|@kem k�, karan k�@
@bed@|@bichhaanun, gadlo@
@bedding@|@pathari@
@beg your pardon@|@maaf karjo@
@behind@|@paachar, paachar@
@bell@|@ghantadi@
@belly@|@pet@
@belt@|@kamrpatto@
@beside (location)@|@baaju, baaju@
@betel seller@|@tamboli@
@between@|@vachman@
@beyond@|@pare-upar@
@big@|@motaa, motaa@
@bird@|@pankhida@
@birds@|@pakshi@
@birthday@|@varas gaant, varas gaant@
@bite@|@kard, kard@
@bitter@|@kadvu, kadvu@
@bitter gourd@|@kareloon@
@black (fem)@|@kaari, kaari@
@black (masculine)@|@kaaro, kaaro@
@blacksmith@|@luhar@
@blind@|@andha@
@blood@|@lohi@
@blunt@|@mandabuddhi@
@body@|@jaath, sharir@
@book@|@chopri, chopri, pustak@
@boredom@|@kantarran@
@bottle gourd@|@dudhi@
@bottom@|@neeche, neeche@
@bowl@|@kat'oro@
@boy@|@chhokro, chokro@
@brass@|@peetal@
@bravery@|@himat@
@break@|@virama@
@breakfast@|@nasto@
@breast@|@stana@
@bred@|@paanw@
@breeze@|@ghotavana@
@bright@|@chaltun, tejasvi@
@brinjal@|@reengnu@
@broad daylight@|@dhole divas@
@bronze@|@kansun@
@brother@|@bhai@
@brown@|@badamee, bhooron@
@buffalo@|@bhensho@
@bull@|@sand@
@burden@|@boja@
@business@|@dantha, dantha@
@busy@|@vyasta@
@but@|@pan, parnto, pen, pern@
@butcher@|@khatki@
@butter@|@maakhan@
@butter-milk@|@chhash@
@cage@|@pinjaru, pinjaru@
@camel@|@oont@
@candle@|@minbati@
@car@|@gaadi, gaadi@
@caraway@|@ajama@
@cardamom@|@elchi@
@carrot@|@gaajar, gaajar, gajar@
@cashew nut@|@bhilamo, kaju@
@cat@|@biladi, bilari@
@cauliflower@|@phulkobi@
@century@|@sadi@
@cereals@|@anaj@
@certainly@|@nishank@
@chains@|@sankaro@
@chair@|@khursee, khursi@
@change@|@badal, badal@
@cheek@|@gaal@
@cheese@|@paneer@
@chest@|@chhati@
@chickpeas@|@tsana@
@children@|@chokra, chokra@
@chilli@|@marchun@
@choir@|@kelvelum@
@cinnamon@|@taj@
@city@|@shair, shair@
@clarified butter@|@ghee@
@clay@|@matori@
@clean@|@choko, choko, svacha@
@clerk@|@mutsadi@
@climate@|@hawapani@
@clock@|@ghariyaal@
@close@|@band, band@
@cloth@|@kaapard, kaprun@
@clothes@|@kapra, kapra@
@cloud@|@vadra@
@clove@|@laving@
@cock@|@kookado@
@cold@|@tandi, tandi, thanda, thandu, thandak@
@colour@|@rang, rhang@
@come in@|@aawo@
@companion@|@sathii@
@condition@|@halat@
@contagious@|@cepi@
@control@|@niyantrana@
@cook@|@babarchi@
@cool@|@thandu, thandak@
@copper@|@tambun@
@coriander@|@dhana@
@corn@|@ghaun, makaa@
@corner@|@khuno@
@correct@|@teek, teek@
@costume@|@posaka@
@cot@|@katlo@
@country@|@desh, desh@
@cow@|@gaay@
@cowardice@|@kayarta@
@craftsman@|@mistri@
@crazy@|@gaandi, gaandi, gaando, gaando@
@crow@|@kagdo@
@crowd@|@bhida@
@crumb@|@katko@
@crust@|@popado@
@crutch@|@ghodi@
@cry@|@ro, ro@
@cucumber@|@kaakri, kaakri@
@cumin@|@jirum@
@cupboard@|@kabat@
@curd@|@dahin@
@cure@|@upacar@
@curtain@|@padado@
@cycle@|@saayakal@
@cyclone@|@vavajhorun@
@dad@|@baap, baap@
@dance@|@naach, naach@
@dancer@|@nat@
@danger@|@afat@
@dark@|@andaaru, andaaru@
@dark blue@|@bhooro@
@date (precise)@|@tarikh@
@daughter@|@dikri@
@daughter-in-law@|@jahu, voho@
@day@|@diwas@
@days@|@divas@
@decay@|@sado@
@decision@|@merji, merji@
@deep@|@unda@
@deer@|@haran@
@defeat@|@har, hara@
@deficiency@|@kasar@
@delay@|@dheel@
@demand@|@khapt, mang@
@democracy@|@lokasahi@
@desire@|@iccha@
@destiny@|@niyati@
@diarrheal@|@jhadi@
@did@|@karu, karu@
@diet@|@kho, ahar@
@difficulty@|@archan@
@dig@|@khod, khod@
@dining room@|@jamavanikholi@
@dirt@|@gandvar@
@dirty@|@ganda, ganda, gandi, gandi, gando, gando@
@dish@|@rakabi@
@divorce@|@chhuta chhera, chootacheda, chootacheda@
@do@|@kar, kar@
@do meet@|@male, male'@
@dog@|@kutto, kutro@
@doll@|@putli@
@donkey@|@gadedo, gadhedo, gadhero@
@door@|@darwajo@
@dough@|@kanak@
@dove@|@kabootar@
@down@|@neeche@
@drama@|@naatak, naatak@
@drawing room@|@divankanun@
@dream@|@svapna@
