@English@|@Norwegian@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@(å by) to bid@|@by@
@(i ferd-busy@|@ferd@
@(i.e.@|@lage@
@(lang) color@|@brytning@
@(oppkalt etter) named after@|@kalle opp etter@
@(skog)@|@skau@
@(with seg) be/feel ashamed@|@skamme@
@a@|@en, et@
@a bit@|@en smule, litt@
@a bout@|@omgang@
@a clean slate@|@rent rulleblad@
@a cold (sickness)@|@forkjølelse@
@a cozy person@|@kosedyr@
@a drunk@|@fyllik@
@a few@|@noen få@
@a grasp@|@fatt@
@a grip@|@fatt@
@a lot@|@mange, mye@
@a matter of form only@|@proforma@
@a pet toy@|@kosedyr@
@a push@|@dytt@
@a remote spot@|@avkrok@
@a right angle@|@rett vinkel, vinkelrett@
@a round@|@omgang@
@a set@|@sett@
@a shopping spree@|@handlerunde@
@aback@|@bakk, mar@
@abacus@|@kuleramme@
@abaft@|@akter@
@abandon@|@forlate, oppgi@
@abandoned@|@forlatt, løssluppen@
@abandonment@|@oppgivelse@
@abash@|@gjøre skamfull@
@abate@|@forringe, minske@
@abatement@|@minking, reduksjon@
@abbess@|@abbedisse@
@abbey@|@abbedi@
@abbot@|@abbed@
@abbreviate@|@forkorte@
@abbreviation@|@forkortelse@
@abdicate@|@frasi seg@
@abdication@|@frasigelse@
@abdomen@|@buk, mave, underliv@
@abdominal@|@buk-, underlivs-@
@abdominal cavity@|@bukhule@
@abduct@|@bortføre, kidnappe@
@abduction@|@bortføring, kidnapping@
@abductor@|@bortfører, kidnapper@
@aberration@|@avvik, villfarelse@
@abet@|@hjelpe@
@abeyance@|@uavgjorthet@
@abhorrence@|@vemmelse@
@abhorrent@|@avskyelig, vemmelig@
@abide@|@avvente, holde fast ved, stå@
@ability@|@dyktighet@
@abject@|@ynke@
@able@|@dyktig@
@able to@|@i stand til@
@ablebodied@|@arbeidsfør, kraftig@
@abnormal@|@abnorm@
@abnormality@|@abnormitet@
@aboard@|@om bord@
@abolish@|@avskaffe, inndra@
@abominable@|@avskyelig@
@abomination@|@avsky, avskyelighet@
@aboriginal@|@opprinnelig@
@aborigines@|@urinnbyggere@
@abort@|@abortere@
@abortion@|@abort, misfoster@
@abortive@|@mislykket@
@about@|@circa, i nærheten, om, omkring, omtrent, ved@
@above@|@mer enn, oppe, ovenfor, ovenpå, over@
@above all@|@fremfor alt, først og fremst@
@abrasive@|@selvheftende@
@abreast@|@side om side@
@abridge@|@forkorte, sammendra@
@abridgement@|@forkortelse, utdrag@
@abroad@|@utenfor, utenlands@
@abrupt@|@bratt, plutselig@
@abscess@|@byll, svulst@
@abscond@|@rømme, stikke av@
@absence@|@fravær, mangel@
@absent@|@fraværende@
@absent minded@|@distrè@
@absorb@|@absorbere@
@absorbed in (with seg)@|@fordype@
@abstract@|@referat@
@abundance@|@overflod, rikelig@
@abundant@|@fyldig@
@abuse@|@misbruk, misbruke, skjelle ut, skjellsord@
@abyss@|@avgrunn@
@academic@|@akademiker, akademisk@
@accede to@|@etterkomme, imøtekomme@
@accelerator@|@akselerator@
@accelerator pedal@|@gasspedal@
@accent@|@aksent, brytning, tonefall, uttale@
@accentuate@|@betone, fremheve@
@accentuation@|@aksentuering, betoning@
@accept@|@forsone, godkjenne, godta, innforstått, ta imot@
@acceptable@|@akseptabelt@
@acceptance@|@godtagelse@
@accepted@|@godkjent, godtatt@
@acceptor@|@akseptant@
@access@|@adgang, tilgang@
@accession@|@tilgang, tiltredelse@
@accessories@|@tilbehør@
@accessory@|@ekstra, medskyldig@
@accident@|@ulykke@
@acclamation@|@bifallsrop@
@accommodate@|@imøtekomme, tilpasse@
@accommodation@|@avtale@
@accompany@|@ledsage@
@accomplish@|@fullføre, greie@
@accord@|@enighet, forsone, innvilge, samsvar@
@accordance@|@overensstemmelse@
@according to@|@henhold, ifølge@
@accordingly@|@følgelig@
@accordion@|@trekkspill@
@account@|@konto, regning, skildring@
@accountable@|@ansvarlig@
@accountant@|@bokholder, revisor@
@accountbook@|@regnskapsbok@
@accounts@|@regnskap@
@accredit@|@akkreditere@
@accredited@|@anerkjent@
@accumulate@|@hope seg opp, samle@
@accumulation@|@opphopning@
@accumulator@|@akkumulator@
@accuracy@|@nøyaktighet@
@accurate@|@nøyaktig@
@accursed@|@ondsinnet@
@accusation@|@anklage@
@accuse@|@anklage@
@accuser@|@anklager@
@accustom@|@venne@
@accustomed@|@vanlig, vant@
@ace@|@ess@
@ache@|@verke@
@achieve@|@fullføre, utrette, vinne@
@achievement@|@bedrift, dåd, fullføring@
@achored in@|@forankret@
@acid@|@sur, syre@
@acid rain@|@sur nedbør@
@acidity@|@surhet@
@acidulous@|@syrlig@
@acknowledge@|@bekrefte, erkjenne, innrømme@
@acknowledgement@|@anerkjennelse, erkjennelse, innrømmelse@
@acoustics@|@akustikk@
@acquaint@|@gjøre kjent@
@acquaintance@|@bekjent, bekjentskap, kjenning@
@acquire@|@erverve, innhente, oppnå@
@acquirement@|@ervervelse@
@acquisition@|@ervervelse@
@acquit@|@frikjenne@
@acquittal@|@frikjenning@
@acreage@|@flateinnhold@
@across@|@tvers over@
@across from@|@mot@
@act@|@akt, gjerning, handle, handling, lov, spille@
@acting@|@handling, spill@
@action@|@gjerning, handling, inngripen, prosess@
@activated@|@aktivert@
@active@|@aktiv, virksom@
@activity@|@aktivitet, virksomhet@
@activity pack@|@aktivitetspakke@
@actor@|@skuespiller@
@actress@|@skuespiller@
@actual@|@faktisk, reell, virkelig@
@acute@|@gløgg, skarp@
@ad@|@annonse@
@adamant@|@steinhard, ubøyelig@
@adapt@|@bearbeide, tilpasse@
@add@|@addere, knytte, legge til, skyte inn, tilføye, tilsette@
@add to@|@supplere@
@added@|@innskutt@
@addict@|@avhengig, misbruker@
@addicted@|@avhengig@
@addiction@|@avhengighet@
@addictive@|@avhengighetsskapende@
@addition@|@addisjon, tilføyelse@
@additive@|@tilsetning@
@address@|@adresse, henvende, henvendelse, tiltale@
@addressed@|@henvendt@
@adequacy@|@tilstrekkelighet@
@adequate@|@passende, tilstrekkelig@
@adhere@|@henge fast@
@adherent@|@tilhenger@
@adhesive tape@|@limbånd@
@adieu@|@adjø, farvel, ha det@
@adios@|@ha det@
@adjacent@|@nærliggende, tilstøtende@
@adjoining@|@nærliggende@
@adjourn@|@heve, utsette@
@adjunct@|@medhjelper, tillegg, tilleggs-@
@adjust@|@instille, stille@
@adjustment@|@instilling@
@administer@|@administrere, forvalte, styre@
@administration@|@forvaltning@
@administrative@|@administrativ@
@administrator@|@forvalter@
@admire@|@beundre@
@admiring@|@tilbedende@
@admissible@|@tillatelig@
@admission@|@adgang, innleggelse, innrømmelse@
@admission fee@|@inngangspenger@
@admit@|@bekjenne, innrømme@
@admonish@|@formane, påminne@
@ado@|@larm@
@adolescence@|@oppvekst@
@adolescent@|@halvvoksen@
@adopt@|@innta@
@adorable@|@bedårende@
@adoring@|@tilbedende@
@adorn@|@pryde, smykke@
@adroit@|@behendig@
@adult@|@voksen@
@adult education@|@voksenopplæring@
@adulter@|@ekteskapsbryter@
@adulterate@|@forfalske@
@adultress@|@ekteskapsbryter@
@advance@|@frammarsj@
@advanced training@|@videreutdanning@
@advantage@|@fordel@
@advantageous@|@fordelaktig@
@adventure@|@eventyr, opplevelse@
@adversary@|@motstander@
@adverse@|@fiendtlig@
@advertise@|@kunngjøre, reklamere@
@advertisement@|@annonse@
@advice@|@råd, rådgivning, vink@
@advisor@|@rådgiver@
@advocate@|@advokat@
@aerial@|@luftig@
@aeroplane@|@fly@
@afar@|@langt borte@
@affair@|@affære, anliggende, sak@
@affect@|@berøre, påvirke@
