@English@|@Portuguese@
@Author name@|@Freelang / Kent Lion@
@Font@|@Arial\12\Arial\12@
@a@|@alguém, ao, em@
@a good deal@|@bastante@
@a lot of@|@muito@
@a sturdy man@|@são (m.)@
@abacus@|@ábaco@
@abandon@|@abandonar (v.), desabitar (v.), desabrigar (v.), desacompanhar (v.), desamparar (v.)@
@abandon (person)@|@acuar (v. i.)@
@abandonment@|@abandono@
@abase (UK)@|@rebaixar (v. t.)@
@abate@|@abater (v.), diminua@
@abate (price)@|@baixar (v. t. r.)@
@abbey@|@abadia@
@abbot@|@abade@
@abbreviate@|@abrevíe@
@abbreviation@|@abreviatura@
@abdicate@|@abdicar (v.)@
@abdomen@|@abdômen, ventre@
@abduct@|@raptar (v.), sequestre@
@aberration@|@aberração, defeito, erro@
@abet@|@ajudar (v.)@
@abide@|@ater (v.), esperar (v.), padecer (v.)@
@ability@|@abilidade@
@able@|@capaz, hàbil@
@able-bodied@|@são (adj.)@
@abnegate@|@abnegue@
@abnormal@|@anormal@
@aboard@|@a bordo de@
@abode@|@aposento, domicílio@
@abolish@|@abolir (v.)@
@abominate@|@abominar (v.)@
@abort@|@abortar (v.), aborto@
@abound (in/with)@|@abundar (v. i.)@
@about@|@cerca, pelo, por, sobre@
@about us@|@connosco@
@about-face@|@meia volta@
@above@|@acima, sobre@
@above all@|@principalmente, sobretudo@
@abrasion@|@abrasão@
@abrasive@|@abrasivo@
@abreast@|@lado a lado@
@abroad@|@no exterior@
@abrupt@|@abrupto@
@abruptly@|@abruptamente@
@abscond@|@evada-se@
@absence@|@ausência@
@absent@|@ausente@
@absentee@|@absentista@
@absenteeism@|@absentismo@
@absent-minded@|@distraído@
@absolute@|@absoluto@
@absolutely@|@absolutamente, deveras, verdadeiramente@
@absorb@|@absorver (v.), chupar (v.), embeber (v.)@
@absorbent@|@absorvente@
@abstain@|@abster (v.)@
@abstract@|@abstrair (v.), sumário@
@abstracted@|@abstraído@
@abstraction@|@furto@
@abundance@|@abundância@
@abundant@|@abundante@
@abundantly@|@abundante@
@abuse@|@abusar (v.), abuso@
@abutment@|@limite (m.)@
@academic@|@estudante@
@accede@|@aceder (v.), concordar (v.), consinta@
@accelerate@|@acelere@
@accent@|@acento (f.), acentuar (v.), ênfase (f.)@
@accept@|@acatar (v.), aceitar (v.), aceite, admitir (v.)@
@acceptable@|@aceitável@
@acceptance@|@aceitação@
@acceptor@|@aceitador@
@access@|@acesso, ataque@
@accessible@|@acessível@
@accession@|@ascensão@
@accessories@|@acessórios@
@accessory@|@acessório@
@accident@|@acidente@
@accidental@|@acidental@
@acclaim@|@aclamar (v.)@
@acclimate@|@climatizar (v. t.)@
@acclimatize@|@aclimatar (v.), aclimate, climatizar (v. t.)@
