@English@|@Papiamento@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@´drop@|@gota, kai@
@a@|@den, na, un, un hende@
@a few@|@algun@
@a little@|@krenchi, poko@
@a lot of@|@muchu@
@abacus@|@teleram, tèlram@
@abatement@|@rebaha@
@abattoir@|@abatuar, matansia@
@abbreviation@|@abreviashon@
@ABC@|@alfabèt@
@abdcation@|@abdikashon@
@abdication@|@abdikashon@
@abdomen@|@abdómen, bariga, barika@
@aberration@|@eror, fayo, fout, kibokashon, kibukashon@
@abet@|@asistí, yuda@
@abhorrence@|@debòr@
@abhorrent@|@abominabel@
@abide@|@spera, sufri, warda@
@abiding@|@durabel@
@ability@|@kualifikashon, poder@
@abject@|@baho, despresiabel, miserabel@
@abnormal@|@apnormal, iregular@
@abode@|@kas@
@abolition@|@abolishon, anulashon@
@abominable@|@abominabel@
@abomination@|@debòr@
@abort@|@faya@
@abortion@|@aborto, frakaso@
@about@|@aprokisimadamente@
@above@|@ariba@
@above-board@|@honesto@
@abrasion@|@huñá@
@abridgement@|@resúmen@
@abroad@|@pafó, pafor, pafór@
@abrogation@|@abolishon@
@abrupt@|@abrupta, inesperá@
@absence@|@manko, ousensia@
@absent@|@ousente@
@absent onself@|@sali@
@absolute@|@apsoluto, ilimitá, kompleto@
@absolute power@|@outokrasia@
@absolutely@|@apsolutamente, efektivamente@
@absolution@|@piedat, pordon@
@abstract@|@apstrakto, kita, konklú, resúmen, teorétiko@
@abstraction@|@apstrakshon, robo@
@absurd@|@apsurdo@
@abundance@|@abundansha, abundansia, rikesa@
@abuse@|@abuso, insulto, maluzá, ofensa@
@abysmal@|@feros, feroso, horibel, teribel@
@abyss@|@abismo, precipicio@
@Abyssinia@|@Etiopia@
@academic@|@akadémiko, studiante, univèrsitario@
@academy@|@akademia@
@accent@|@aksènt@
@acceptable@|@akseptabel, aseptabel@
@access@|@ataka@
@accessible@|@alkansabel@
@accession@|@atkisishon@
@accidence@|@kasualidat, koinsidensia@
@accident@|@aksidente, desgrasia, kasualidat@
@accidental@|@aksidental@
@acclaim@|@aploudí, aplouso, aprobashon@
@acclamation@|@aplouso@
@accodionist@|@akordeonista@
@accomodate@|@akomodá, asistí, finalisá, kaba, terminá, yuda@
@accomodation@|@akomodashon, kas@
@accompaniament@|@kompañamento, kompañamentu@
@accompanist@|@kompaña@
@accompany@|@kompañá@
@accomplish@|@cumpli@
@accomplishment@|@akshon, akto, echo@
@accord@|@akuerdo@
@accordance@|@akuerdo@
@accordion@|@akordeon@
@accordionist@|@akordeonista@
