@English@|@Khmer@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@21@|@m'phei muy@
@a big lizard@|@ja:s@
@a cooking pot@|@dhnal', dna:l@
@a creeper with edible leaves@|@pa:s, pepasan@
@a fly@|@ruj@
@a food container@|@kändaong, kändong@
@a giant iguana@|@änsang, dänsang@
@a grey squirrel@|@kanghe:n, känhän@
@a jar@|@ceng@
@a junk@|@sämbaw, sämwaw@
@a kind of tree@|@gägi:r, gärgjar, grang, grang, grang', grang', gräñu:ng, gräñwang@
@a kind of tree (1)@|@drok, käkaoh, käkoh, kändraok, kräkuh@
@a ladle@|@we:k, wek@
@a lady@|@na:ng@
@a large watercourse@|@dänle@
@a liar@|@kämbha@
@a measure of grain@|@tänlong, thlong, thlwang, tlong@
@a metal container@|@khla:s, khlas, klas@
@a metal cooking-pot@|@dlah@
@a palm-tree@|@dra:ng, dra:ng'@
@a pinch of smth.@|@chbyt@
@a planty@|@kändhik, sändhik@
@a shawl@|@spaj, spej@
@a small jar@|@kändin, u:din@
@a spirit@|@'a:p@
@a squash@|@ghlaok, glok@
@a strip of rice field@|@rälong@
@a trap@|@ränggap@
@a tray@|@sbak, sbok, swok, tahas, tha:s@
@a woven basket@|@kändru:m@
@a woven mat@|@kändä:l, kändel@
@abandoned house-site@|@räla:ng'@
@abhor@|@s'ap@
@able@|@präwaj@
@about to collapse@|@kändrup@
@absolute@|@jhyng@
@abundant@|@ba:s@
@accept@|@däduäl@
@accuracy@|@cämhut@
@acne@|@mun@
@across@|@ka:l, kal@
@act of selling@|@räpuk@
@adhere to@|@t'it@
@adopt a weak attitude@|@dämran'@
@advance@|@kaän, prägä:n@
@adze@|@ting@
@afternoon@|@pel r'sial@
@aggregate@|@pänta:@
@agree with one another@|@sruh@
@air@|@akas@
@alcohol@|@sraa@
@alien people@|@juän, jwan@
@all the same@|@te:r@
@all tired out@|@lhit, rähit@
@altered@|@ple:k@
@amputate@|@ka:t, ka:t', kat'@
@an elderly man@|@'ta:, ta:@
@ancestors@|@ji:@
@and@|@nin@
@And you?@|@Tdah neeuht yang midette dai?@
@angel@|@tevota@
@angle@|@mum@
@animal@|@sat, satv@
@ant@|@sromoch@
@ant-hill@|@traok, trok@
@ants known for severe bite@|@säng'a:r@
@any dangling ornament@|@räpej@
@appear suddenly@|@bhle:t@
@appear unexpectedly@|@rälu:t@
@apple@|@p'laebom@
@aquatic plant@|@crac, jirac@
@are you married@|@niak riap kaa hao-y reu neuv@
@arid@|@sngät@
@arm@|@dai, hatt'a, taj, te:@
