@English@|@Somali@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st letter of Arabic alphabet@|@alif@
@2nd month in Muslim's calendar@|@safar@
@4th letter of Arabic alphabet@|@deel@
@a@|@mid@
@a beer please@|@Beer, min fadlak@
@a familiar person@|@aqoonni@
@a little@|@biid, iniq@
@a Muslim pilgrim@|@xaaj, xaaji@
@a unit@|@mid, xabbo@
@abaad@|@last@
@abandon@|@caalgas@
@abandoning@|@deyn, hollasho@
@abbreviation@|@koobid@
@abdomen@|@uur@
@abduction@|@afduub@
@ability@|@karaan, karasho, karriimo, karti, tahlid, tarid@
@ability (1)@|@maaro, qaddar, qudrad, taag, tabaro@
@above@|@kor@
@above average@|@ka sarreeya@
@above the norm@|@ka sarreeya caadiga@
@abrod@|@qurbe, qurbo@
@absence@|@maqnaan, maqnaansho@
@absent-mindedness@|@dhoohanaan, khaafsanaan@
@abstain@|@caag@
@abundance@|@heeshi, macandi@
@abuse@|@caay, jurxee, jurxo@
@abusive speech@|@jurxo@
@acacia tree@|@maraa, qurac@
@academy@|@akademiye@
@accent marker@|@fidhig@
@accept@|@aqbal, guddoon, ijaab, qabbil, rillee@
@acceptance@|@ijaabo@
@accident@|@shil@
@accomodate@|@hoyi@
@accomodation@|@dejin, waafajin@
@accompany@|@raac, weheli@
@accountant@|@xisaabiye@
@accounting@|@xisaabaad@
@accumulate@|@dhoob@
@accumulation@|@biiris, biiro, hilasho@
@accusation@|@eed, hanaayo, haydaarto, heydaaro, muddac@
@accuse@|@eedee, garran, hiif, muddac@
@accuse falsely@|@muusaw@
@ache@|@dhuuri@
@achieve@|@kasbo, qunso@
@achieve by force@|@muquunso@
@achievement@|@gaarnin, kasab@
@achieving@|@qunsasho@
@achilles tendon@|@fayl@
@achivement domanin@|@fahmada maskaxda@
@acid@|@aashito@
@acknowledgement@|@oqoonsasho@
@acquire@|@yeelo@
@acquire a skill@|@riigbax@
@acre@|@akar@
@across@|@dabhan@
@act@|@jil@
@act deliberately@|@bareer@
@act disgracefully@|@jiciiroob@
@act half-heartedly@|@hagro@
@act of  being victorious@|@guuleysasho@
@act of accepting blame@|@garawsho@
@act of approaching@|@dhowaad@
@act of arguing@|@cilaaqtamid, dood@
@act of attaining@|@qunsasho@
@act of banishing@|@miidaamis@
@act of beating@|@garaacis@
@act of being a spy@|@jaajuusnimo@
@act of being entertained@|@madadaalad@
@act of belittling@|@quursasho@
@act of blessing@|@barakayn@
@act of blinking@|@libiqsi@
@act of breaking@|@jebis@
@act of breathing@|@neefsasho, neefsi@
