@English@|@Kalmyk@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@(bad) omen@|@jorë@
@1st Sg. ps. pronoun obl. case@|@namä(g), nan-@
@2-year-old colt@|@sarwä@
@3 to 5-year-old stallion@|@ürä@
@3d p. possessive pronoun@|@n@
@a bet@|@melzë@
@a bird of prey@|@itë@
@a k. of arrow@|@hodëli@
@a k. of blossoming plant@|@serkënëg@
@a k. of eagle@|@tarwëži@
@a k. of grass@|@budrhënë, dekm@
@a k. of plant@|@zërgënë@
@a k. of poplar@|@tora, torä@
@a k. of roach@|@bašnggë@
@a k. of salmon@|@žirhë@
@a k. of wild leek@|@hohësn@
@a musical (string) instrument@|@xür@
@a painful sensation@|@mer@
@ablet@|@münëg@
@above@|@dë-, degdë-@
@abscess@|@ör@
@abundance@|@elwëg@
@abundant@|@öng@
@accord@|@när@
@accustomed@|@ižl@
@action@|@ülë@
@adze@|@atlgë, ölë@
@after@|@xönë@
@aftermath@|@kenzë@
@afternoon@|@üdë@
@age@|@südr, üj@
@agreement@|@gerë@
@albugo@|@caga, cagä@
@all@|@dajär, xö@
@all together@|@nï@
@alone@|@hakcë@
@alternate@|@xalë-@
@ancestor@|@xulëncëg@
@ancestor spirit@|@onghën@
@anger@|@kixü, ö, ur, ür, urn@
@angle@|@öncëg@
@animals@|@zulžihën@
@anklebone@|@šahä@
@ant@|@šorhëlžn@
@antelope@|@göre, göresn@
@anus@|@onä@
@anxious@|@hunë-@
@appeal@|@tunggëg@
@appearance@|@owr@
@arm@|@har@
@armour@|@kö, xujëg@
@armpit@|@su, sü@
@arrow@|@sumn@
@art@|@urn@
@Artemisia@|@šawëg@
@ascend@|@öksë-@
@ashes@|@ümsn@
@aspen@|@uläsn@
@ass@|@xuln, xulng@
@atmosphere@|@ahär, ahr, kï@
@attempt@|@sör-@
@awl@|@birm, šöwgë@
@axe@|@mesë, sükë@
@back@|@gedrgë@
@back of head@|@šilë@
@back of nose@|@nakcrxä@
@back of the head@|@duxë, gižëgë@
@bad@|@burü, mü@
@balcony@|@arngga@
@bald@|@malä-, malzn, tar@
@bare@|@nücëgn@
@barley@|@arwá, arwä@
@basket@|@mal@
@baste@|@köw-, köwrd-@
@be afraid of@|@choch-, coch-@
@be ashamed@|@halgë@
@be broken@|@butr-@
@be cold@|@bër-@
@be curly@|@bužï-@
@be deep in thoughts or in work@|@žum-@
@be disgusted@|@žigšë-@
@be ended@|@sön-@
@be fragile@|@kül-@
@be greedy@|@šun-@
@be heated@|@ë-@
@be inserted@|@šigdë-@
