@English@|@Tibetan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1 billion@|@ther-abum@
@100000@|@abum@
@5:10@|@chü-tso nga tang kar-ma chu re@
@5:30@|@chü-tso nga tang che-ka re@
@a bake-house@|@bkad, bkad-sa@
@a billet of wood@|@agal, mgal@
@a bodily defect@|@athang@
@a boy@|@bu chig@
@a champion@|@gjad@
@a chief@|@thu@
@a class of demons@|@grul-bum@
@a closed leather-bag@|@rlid@
@a cloud of dust@|@bud@
@a dance@|@gar@
@a dead man@|@gsin@
@a deep dell@|@grog@
@a dense fog@|@rmugs, smug@
@a female devil@|@bsen@
@a flea@|@adzu-ba@
@a foot-path@|@aphrang@
@a ford@|@rgal@
@a general name for stone@|@gor@
@a girl@|@bu-mo chig@
@a grotto@|@gjam@
@a hart@|@sa, swa@
@a hearth@|@sgjed-po, sgjid-bu@
@a hunting@|@lings@
@a k. of bear@|@drang@
@a k. of evil spirit@|@dmu, rmu@
@a k. of fungus@|@phol@
@a k. of grass@|@la-ma@
@a k. of grass for shoes@|@dres@
@a k. of leprosy@|@rngo@
@a k. of rock-salt@|@lgyjam-chwa@
@a k. of salt@|@rgjam-chwa@
@a k. of thin woollen cloth@|@ther@
@a k. of upper garment@|@abog@
@a k. of wild onion@|@sko-ce@
@a kiss@|@um@
@a knot@|@mdud@
@a large hammer@|@mtho, tho@
@a large species of eagles@|@rbad@
@a large spoon@|@thom-bu, thum-bu@
@a large valley@|@lzhongs@
@a little@|@de-tsi, nyung-she, nyung nuyng@
@a little drum@|@ging@
@a little hair@|@ba-spu@
@a loan@|@skji-n@
@a loud voice@|@nga-ro@
@a magic ceremony@|@gto@
@a man of a ability@|@ldan@
@a man's younger brother@|@nu-bo@
@a measure for dry things@|@bre@
@a medical plant@|@skji@
@a melon@|@ga-gon@
@a musical instrument@|@gsang@
@a pair@|@do, zung@
@a pair of scissors@|@chan@
@a pair of tongs@|@skam@
@a piece@|@dum, gdum@
@a place overgrown@|@gsi-ma@
@a plain@|@thang@
@a plough@|@thong@
@a ram that is castrated@|@thong@
@a regular amount@|@thun@
@a relative@|@gnen, nen@
@a ring@|@a-long@
@a roll@|@gril@
@a root signifying below@|@ma@
@a sight@|@ltad@
@a single one@|@re@
@a small cup of brass@|@ting@
@a small mound@|@rdung@
@a small uncultivated island@|@gle, le@
@a small weight@|@zo dram@
@a sort of carrot@|@lca@
@a sort of gourd@|@ka-bed@
@a sound@|@khrol@
@a sp of willow@|@sol@
@a sp. of grain@|@khra@
@a span@|@mtho@
