@English@|@Russian@
@Author name@|@Vladimir Saveljev@
@Font@|@Arial\12\Arial\12@
@@|@иду, конце, одинаковый@
@;rest; bear; stick; cling@|@держаться@
@a@|@артикль (неопределенный)@
@a-@|@не-@
@a bit@|@немного@
@a fat lot of good@|@очень здорово@
@a few@|@несколько (adv)@
@a fortiori@|@тем более@
@a great many@|@очень много@
@a la@|@подражание@
@a little@|@немного@
@a long time ago@|@давным давно@
@a long way@|@далеко (adv)@
@a lot of@|@много@
@a piece of cake@|@легкое достижение@
@a posteriori@|@апостериори@
@a priori@|@априори@
@a property/virtue/quality@|@свойство@
@a.m.@|@до полудня@
@A1@|@первоклассный@
@aback@|@задом, назад@
@abacus@|@абак, счеты@
@abaft@|@позади, сзади@
@abandon@|@покидать@
@abandoned@|@заброшенный@
@abase@|@унижать@
@abash@|@смущать@
@abashed@|@смущенный@
@abate@|@уменьшать@
@abatement@|@уменьшение@
@A-battery@|@батарея накала@
@abattoir@|@скотобойня@
@abbacy@|@аббатство@
@abbess@|@аббатиса@
@abbey@|@монастырь@
@abbot@|@аббат@
@abbreviate@|@сокращать@
@abbreviation@|@аббревиатура, сокращение@
@abc@|@простой@
@abdicate@|@отрекаться@
@abdomen@|@живот@
@abdominous@|@толстый@
@abducent@|@отводящий@
@abduct@|@похищать@
@abducting@|@отводящий@
@abductor@|@похититель@
@abecedarian@|@азбучный@
@abed@|@в постели@
@abel@|@авель@
@aberation@|@аберация, аберрация@
@aberrant@|@заблуждающийся@
@aberration@|@заблуждение@
@abet@|@подстрекать@
@abeyance@|@состояние неизвестности@
@abhor@|@питать отвращение@
@abhorrence@|@отвращение@
@abhorrent@|@отвратительный@
@abidance@|@соблюдение@
@abide@|@терпеть@
@abiding@|@постоянный@
@ability@|@возможность, способность@
@abject@|@жалкий@
@abjure@|@отрекаться@
@ablation@|@удаление, устранение@
@ablaze@|@возбужденный@
@able@|@способный@
@abloom@|@в цвету@
@ablution@|@промывка@
@abnegate@|@отказываться@
@abnegation@|@отрицание@
@abnormal@|@ненормальный@
@abnormality@|@ненормальность@
@aboard@|@вдоль (prep), на корабль@
@aboard; (adv:) along@|@вдоль (prep)@
@abode@|@жилище@
@abolish@|@отменять@
@abolition@|@упразднение@
@a-bomb@|@атомная бомба@
@abominable@|@отвратительный@
@abominate@|@не любить@
@abomination@|@отвращение@
@aboriginal@|@исконный@
@abort@|@выкидыш@
@aborted@|@недоношенный@
@abortion@|@аборт@
@abortionist@|@подпольный акушер@
@abortive@|@неудачный@
@aboulia@|@отсутствие воли@
@abound@|@изобиловать@
@about@|@везде (adv), вокруг, вокруг, обо (prep:), около (adv), около (prep), относительно, по (prep), почти, приблизительно (adv)@
@about to@|@готовность совершить действие@
@above@|@больше, выше, выше, выше; более; свыше; ранее; наверх; наверху, наверх, наверху, раньше, раньше, упомянутый выше@
@abovestairs@|@верхний этаж@
@abracadabra@|@абракадабра@
@abradant@|@абразив@
@abrade@|@шлифовать@
@abranchial@|@безжаберный@
@abrasion@|@ссадина@
@abrasive@|@обдирающий@
@abreast@|@в ряд@
@abridge@|@сокращать@
@abridgement@|@сокращение@
@abridgment@|@ограничение@
@abroad@|@за границей@
@abrogate@|@отменять@
@abrupt@|@внезапный@
@abruption@|@разрыв@
@abscess@|@нарыв@
@abscission@|@отнятие@
@abscond@|@скрыться@
@absence@|@отсутствие@
@absent@|@отсутствующий@
@absentee@|@отсутствующий@
@absenteeism@|@невыход на работу@
@absinthe@|@полынь@
@absolute@|@неограниченный@
@absolutely@|@совершенно@
@absolution@|@прощение@
@absolve@|@прощать@
@absorb@|@всасывать, поглощать (verb:)@
@absorbent@|@поглощающий@
@absorbing@|@увлекательный@
@absorption@|@впитывание@
@abstain@|@воздерживаться@
@abstemious@|@умеренный@
@abstention@|@воздержание@
@abstinence@|@воздержание@
@abstinent@|@постящийся@
@abstract@|@отвлеченный@
@abstracted@|@отдаленный@
@abstraction@|@отвлечение@
@abstractive@|@абстрактный@
@abstruse@|@трудный для понимания@
@absurd@|@нелепый@
@abulia@|@отсутствие воли@
@abundance@|@изобилие@
@abundant@|@обильный@
@abuse@|@злоупотребление, поносить@
@abusive@|@оскорбительный@
@abut@|@примыкать@
@abutment@|@опорный@
@abutting@|@примыкающий@
@abuzz@|@гудящий@
@abysm@|@бездна@
@abysmal@|@бездонный@
@abyss@|@бездна@
@abyssal@|@глубинный@
@acacia@|@акация@
@academic@|@академический@
@academician@|@академик@
@academy@|@академия@
@acarpous@|@не имеющий плодов@
@acarus@|@клещ@
@accede@|@соглашаться@
@accelerant@|@катализатор@
@accelerate@|@ускорять@
@accelerated@|@ускоренный@
@accelerating@|@ускоряющий@
@acceleration@|@ускорение@
@accelerator@|@катализатор@
@accent@|@ударение@
@accentual@|@относящийся к ударению@
@accept@|@несём, принимать (verb: ia/inf)@
@acceptable@|@приятный@
@acceptance@|@принятие@
@accepted@|@принятый@
@accepter@|@приемщик@
@accepts/is accepting@|@принимает (verb: ia/pres/3ps)@
@access@|@доступ@
@accessible@|@доступный@
@accession@|@вступление@
@accessories@|@принадлежности@
@accessory@|@добавочный@
@accidence@|@морфология@
@accident@|@несчастный случай@
@accidental@|@случайный@
@acclaim@|@шумное приветствие@
@acclamation@|@одобрение@
@acclimate@|@акклиматизация@
@acclimation@|@акклиматизация@
@acclimatization@|@акклиматизация@
@acclimatize@|@акклиматизировать@
@acclivity@|@подъем@
@accommodate@|@приспособлять@
@accommodating@|@вмещающий@
@accommodation@|@помещение@
@accompaniment@|@сопровождение@
@accompany@|@сопровождать@
@accompanying@|@сопровождающий@
@accomplice@|@сообщник@
@accomplish@|@выполнять@
@accomplished@|@законченный@
@accomplishment@|@завершение@
@accord@|@согласие@
@accordance@|@согласие@
@accordant@|@согласный@
@according@|@соответственно@
@accordingly@|@соответственно@
@accordion@|@гармонь@
@accost@|@приветствие@
@accouchement@|@роды@
@account@|@счет@
@account for@|@объяснять@
@accountable@|@ответственный@
@accountant@|@бухгалтер@
@accounting@|@расчет@
@accoutre@|@одевать@
@accredit@|@уполномочивать@
@accredited@|@общепринятый@
@accrete@|@обрастать@
@accretion@|@прирост@
@accrue@|@накопляться@
@accumulate@|@накапливать@
@accumulation@|@накопление@
@accumulative@|@накапливающийся@
@accumulator@|@коллектор@
@accuracy@|@точность@
@accurate@|@точный@
@accursed@|@злополучный@
@accurst@|@ненавистный@
@accusation@|@обвинение@
@accusatorial@|@обвинительный@
@accusatory@|@обвинительный@
@accuse@|@обвинять@
@accused@|@обвиняемый@
@accustom@|@привыкать@
@accustomed@|@привычный@
@ace@|@туз@
@acephalous@|@безголовый@
@acerbate@|@озлоблять@
@acerbity@|@терпкость@
@acetify@|@окислять@
@acetone@|@ацетон@
@acetylene@|@ацетилен@
@ache@|@боль@
@ache/am aching/hurt/am hurting@|@болею (verb: ia/pres/1ps)@
@ache/are aching/hurt/are hurting@|@болеем (verb: ia/pres/1pp), болеете (verb: ia/pres/2pp), болеешь (verb: ia/pres/2ps), болеют (verb: ia/pres/3pp)@
@ached/had ached/has ached/hurt/had hurt/has hurt@|@заболело (verb: pa/past/neu)@
@ached/had ached/have ached/has ached/hurt/had hurt/have hurt/has hurt@|@заболел (verb: pa/past/mas), заболела (verb: pa/past/fem)@
@ached/had ached/have ached/hurt/had hurt/have hurt@|@заболели (verb: pa/past/plu)@
@aches/is aching/hurts/is hurting@|@болеет (verb: ia/pres/3ps)@
@achieve@|@достигать@
@achievement@|@достижение, успех@
@achromatic@|@бесцветный@
@acicular@|@игольчатый@
@acid@|@кислотный@
@acidic@|@кислотный@
@acidify@|@окислять@
@acidity@|@кислотность@
@acidulated@|@кисловатый@
@acidulous@|@кисловатый@
@ack-ack@|@зенитные орудия@
@acknowledge@|@быть признательным@
@acknowledgement@|@официальное заявление@
@aclinic@|@горизонтальный@
@acme@|@вершина@
@acne@|@угорь@
@acock@|@вызывающе@
@acolyte@|@служитель@
@acorn@|@желудь@
@acoustic@|@слуховой@
