@Maltese@|@English@
@Author name@|@Freelang@
@Abbanduna@|@abandon@
@Abbli@|@Able@
@Abdika@|@abdicate@
@Abjad, Bajda@|@White@
@Abort@|@Abortion@
@Aċċetta@|@accept@
@Addoċċ@|@Carelessness@
@Adj + Fuq li + adj@|@Couldn’t be more…@
@Af@|@know@
@Aġġasta@|@adjust@
@Agħma, Għamja@|@Blind@
@Aħbar@|@News@
@Aħdar, Ħadra@|@Green@
@Aħjar@|@Better@
@Aħmar, Ħamra@|@Red@
@Aħna (neg: Maħniex)@|@We@
@Aħrax, Ħarxa@|@Fierce@
@ajruplan@|@airplane@
@Akbar@|@Bigger@
@Akbar@|@Greater@
@Akkuża@|@Indictment@
@Aktar@|@More@
@Alimenta@|@nourish@
@Alloġġa@|@lodge@
@Altar@|@Altar@
@Ammira@|@admire@
@annimal@|@animal@
@Annunzja@|@announce@
@Anqas@|@Lesser@
@Anqas il+adj@|@Less +adj@
@Apoloġija@|@Appology@
@appartament@|@apartment@
@Applika@|@apply@
@Appoġġa@|@support@
@Approfondi (-xx-)@|@deepen@
@Approva@|@approve@
@Aqwa@|@Stronger@
@Arġentier@|@Silversmith@
@Arja@|@Air@
@Arloġġ@|@Clock@
@Arluġġier@|@Watch maker@
@Armel@|@Widow/-er@
@Art@|@Earth@
@art@|@floor@
@Artab, Ratba@|@Soft@
@Arti@|@Art@
@Artista@|@Artist@
@Aspirina@|@Aspirin@
@Assoċja@|@associate@
@Assorbi (-xx-)@|@absorb@
@Attakk@|@Attack@
@Attent@|@Careful@
@Attenzjoni@|@Attention@
@Attiv@|@Active@
@Attivist@|@Activist@
@Avukat@|@Lawyer@
@azzar@|@steel@
@Ażżil@|@Steel@
@Azzjoni@|@Action@
@Baċċaċ@|@fatten@
@Bagħad@|@hate@
@Bagħal@|@Mule@
@Bagħat@|@send@
@Baħar@|@Ocean@
@Baħar@|@Sea@
@Baħħar@|@navigate@
@Baħnan@|@Silly@
@Baħri@|@Sailor@
@Bajda@|@Egg@
@Bajja@|@Bay@
@Bajjad@|@whitewash@
@Bajjad@|@Whitewasher@
@Bala'@|@swallow@
@Ballu@|@Ball@
@Ballut@|@Oak Tree@
@Banana@|@Banana@
@Banda@|@Band@
@Banda@|@Neighborhood@
@Bandal@|@swing@
@bank@|@bank@
@Bank@|@Bank, Bench@
@Baqa'@|@remain@
@Baqra@|@Cow@
@Bar@|@Bar@
@Baram@|@twist@
@Barax@|@scratch@
@Barbar@|@have a haircut@
@Barbar@|@whir@
@Barka@|@Blessing@
@Barrada@|@Water cooler@
@Barrani@|@Foreign@
@Barrani@|@Outside@
@Barrani@|@Stranger@
@Barri@|@Bull@
@Baskat@|@bake hard@
@Basla@|@Onion@
@Bata@|@suffer@
@Battal@|@empty@
@Batut@|@In pain@
@Baxx@|@Bass@
@Baxx@|@Low@
@Baxxa@|@lower@
@Baża'@|@fear@
@Bażwar@|@cause hernia@
@Bażża'@|@frighten@
@Bdil@|@Changing@
@Beda@|@begin@
@Beda@|@start@
@Bejjen@|@interrupt@
@Bejn@|@Between@
@Bejn ħaġa u oħra@|@Between one and another@
@Bejn wieħed u ieħor@|@Approximately@
@Bejnietna@|@In confidence@
@Bejt@|@Roof@
@beka@|@cry@
@Belgħa@|@Gulp@
@Belhieni@|@Foolish@
@Bell@|@wet@
@Belt@|@City@
@Bena@|@build@
@Benġel@|@bruise@
@Benna@|@Goodness@
@Bennej@|@Builder@
@Beraq@|@Lightning strike (v.n.)@
@Berfel@|@hem@
@Berqa@|@Lightning strike@
@Berraq@|@strike lightning@
@Bews@|@Kissing (v.n.)@
@Bewsa@|@Kiss@
@Bewwet@|@put s.th. in ones pocket@
@Bexx@|@sprinkle@
@beża’@|@fear@
@Beżaq@|@spit@
@Bgħid@|@Far@
@Bħal@|@Like@
@Bħal ma@|@As + verb@
@Bħallikeiku@|@As if@
@Bhima@|@Beast@
@Bi nhar@|@During the day@
@Biċċa@|@Piece@
@Biċċer@|@butcher@
@Bid-dnewwa@|@By fould means@
@Bidel@|@change@
@Bidi@|@Beginning@
@Bidla@|@Change@
@Bidu@|@Beginning@
@Bidwi@|@Peasant@
@Bieb@|@Door@
@Bied@|@lay eggs@
@Biegħ@|@sell@
@Biegħed@|@put at a distance@
@Bieqja@|@Bowl@
@Biered@|@Cold@
@Bierek@|@bless@
