@English@|@Dongxiang@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st Sg. ps. pronoun obl. case@|@ma-, nama-, nami@
@a k. of grass@|@xanxou@
@above@|@žiedu, žierë@
@abrasion@|@daru-san@
@adze@|@uali@
@afternoon@|@dur@
@age@|@nasun@
@anger@|@ür, xö@
@animals@|@žunžuha@
@apple@|@pingo@
@arm@|@qa@
@armpit@|@suhë, sunGo@
@art@|@uran@
@ashes@|@funiesun@
@ask@|@Goji-@
@aspen@|@xulasun@
@awl@|@sumeGe, sumëhë@
@bad@|@mau, mou@
@bag@|@fuda@
@bare@|@muchuhun, nuchugun@
@barley@|@apa@
@be heated@|@šie-@
@be wet@|@noro-@
@beak@|@qušun@
@beautiful@|@saiGan@
@become cold@|@daGara-@
@bell@|@GongGon@
@below@|@daura, dëura, dodu, doura@
@belt@|@pišie@
@besom@|@šiu-, šu@
@big@|@fugie@
@bitter@|@qëšun, qyšun@
@black@|@qara@
@blanket@|@guanžulie@
@blind@|@suGo@
@blood@|@chusun@
@bone@|@jasun@
@book@|@shu@
@border@|@Gyža@
@bosom@|@echen@
@bridle@|@Gada, qata@
@brown@|@boro@
@bushes@|@puda@
@buttock@|@bugsu, burse, bursu@
@buttocks@|@boGo@
@button@|@tedzhu, tyžy@
@calf@|@tuGun@
@carrot@|@tuma@
@cheek@|@qycha, qyža@
@chest@|@xazy@
@chute@|@gobi@
@clay@|@šuva@
@clean@|@arun@
@close@|@qa-@
@cloth for cleaning@|@anchu@
@cloud@|@olien@
@cold@|@kuichien@
@collect@|@Gura-@
@colour@|@ungie@
@conceal@|@niu-@
@corner@|@golo@
@cow@|@fugie@
@crack@|@žava@
@crops@|@taran@
@cross a mountain@|@dava-@
@crumple@|@fungu-@
@cup@|@iha, jiGa@
@danger@|@ajiGu@
@daughter@|@ochin@
@daughter-in-law@|@bieri@
@day@|@udu@
@deaf@|@dulei@
@deep@|@gun@
@defect@|@gën, gien@
@descendant@|@fure@
@desert@|@gobi@
@different@|@donië@
@dirt@|@basun@
@distinguish@|@(j)inGara-, inGërë-@
@dog@|@noGi, nohëi@
@Dongxiang people@|@sarta@
@donkey@|@enžehe@
@door@|@vižien@
@downwards@|@furu@
@dream@|@žöžin@
@ear@|@chëGën, chëqeng, chyGyn@
@early@|@echie@
@earth@|@šëura, tura@
@edge@|@užu@
@egg@|@endeGi@
@elbow@|@tohëi@
@elder brother@|@aha@
@elder sister@|@eGechë@
@employ@|@žaru-@
@enclosure@|@Goron, Goruan, qorong@
@end@|@šian, šien@
