@English@|@Gothic@
@Author name@|@Guy T. Gambill@
@Font@|@Arial\12\Arial\12@
@(particle)@|@ubuh = uf enclitic particle uh@
@(prefix)@|@ga-, prefix@
@a certain one@|@sums, indef. pr.@
@a fuller@|@wullareis, sm.@
@a grain of corn@|@kaúrnô, sn.@
@a rising@|@ur-runs, sm.@
@abase@|@ga-hnáiwjan, wv., hnáiwjan, wv.@
@abide@|@saljan, wv.@
@able: be ~@|@magan, pret.-pres.@
@abode@|@bauáins, sf.@
@abolish@|@bláuþjan, wv.@
@about@|@bi, swê, adv. and conj.@
@about to be@|@skulan, pret.-pres.@
@about to occur@|@at-nê£jan, wv.@
@about: go ~@|@bi-tiuhan, sv.@
@above@|@iupa, ufar, prep. c. acc. and dat., ufarô, adv. above@
@above: from ~@|@iupana, iupaþrô@
@abrogate@|@bláuþjan, wv.@
@abstain from@|@ga-þarban, wv.@
@abundance@|@managdûþs, sf., ufar-fulle wf.@
@abundant@|@ufar-fulls, adj.@
@accept@|@miþ niman, niman, sv.@
@acceptable@|@anda-nêms, adj.@
@accomplishment@|@waúrstw, sn.@
@account@|@raþjô, wf.@
@account of@|@faúra@
@accurately@|@glaggwô, adv.@
@accusation@|@faírina, sf., us-qiss, sf., wrôhs, sf.@
@accuse@|@faírinôn, wv., wrôhjan, wv.@
@accusmed@|@bi-ûhts, adj.@
@acknowledge@|@uf-kunnan, wv.@
@acrid@|@báitrs, adj.@
@action@|@dêþs, sf.@
@add@|@ana-áukan, sv., áukan, sv., bi-áukan, sv.@
@adder@|@nadrs, sm.@
@adj. wary@|@war@
@adjure@|@bi-swaran, sv.@
@adjust@|@ráisjan, wv.@
@administer@|@reikinôn, wv.@
@adoration@|@áistan, wv.@
@adorn@|@raetew(i)an@
@adulteress@|@hôrinônde pres. part. fem.@
@adultery@|@hôrinassus, sm., kalkinassus, sm.@
@adultery: committ@|@hôrinôn, wv.@
@advantage@|@bôta, sf.@
@advent@|@qums, sm.@
@adversary@|@anda-staþjis, sm.@
@advise.@|@râtan@
@affair@|@waíhts, f.@
@affliction@|@aglô, wf., wunns, sf.@
@afraid@|@faúrhts, adj.@
@after that@|@bi-þêh, adv.@
@aftermost@|@aftumists, adj.@
@afterward@|@bi-þê conj., bi-þêh, adv.@
@again@|@aftra, adv.@
@against@|@bi, du, prep. c. dat., wiþra, prep. c. acc.@
@against  .@|@wiþra-waírþs, adj.@
@age@|@áiws, sm., alds, sf., ealdor, us-alþan, sv.@
@aged@|@alþeis (comp. alþiza) adj., faírneis, adj.@
@aghast@|@us-gáisjan, wv.@
@agreeing together@|@sama-leiks, adj.@
@air@|@luftus, sm.@
@alien@|@eli-lent@
@alike@|@ga-leikô, adv., ga-leiks, adj., leiks, suffix, sama-leiks, adj.@
@alive@|@qius, adj.@
@all@|@áin-£arjiz-uh, indef. pr., alls, adj.@
@allow@|@us-láubjan, wv.@
@Almighty: the ~@|@all-waldands, sm.@
@alone@|@áins, num., sundro, adv.@
@along@|@and, prep. c. acc.@
@already@|@ju-þan, adj., ju, adv.@
@also@|@áuk, conj., jah, conj., swa, swah, adv.@
@altar@|@ealdor, hunsla-staþs, sm.@
@alter@|@in-máidjan, wv.@
@although@|@jabá conj.@
@altogether@|@alakjô, adv.@
@always@|@in áiwins, simbles,, sinteinô, adv.@
@amazed@|@us-films, adj.@
@amazed: be ~@|@af-sláuþnan, wv., us-geisnan, wv.@
@amazement@|@faúrhte wf., us-filme wf.@
@amiable@|@áin-falþe wf.@
@amid the two boundaries@|@miþ tweihnáim markôm@
@among@|@hindar, in, prep. c. acc., miþ, prep. c. dat.@
@an elder@|@sinista, adj.@
@and@|@jah, conj., þar-uh, conj.@
@and also@|@naúhuþ-þan, adv.@
@and if@|@jaþ-þê conj.@
@and not@|@nih, conj.@
@angel@|@aggilus, sm.@
@anger@|@aglô, wf., môþs sm.@
@angry@|@môdags, adj., þwaírhs, adj.@
@angry: be ~@|@hatizôn, wv., neiwan, sv.@
@anguish@|@aggwiþa, sf., agliþa, sf.@
@animal: wild ~@|@dius sn.@
@annihilate@|@ga-taíran, sv.@
@announce@|@ga-swi-kunþjan, wv., ga-teihan, sv., us-qiþan, sv.@
@anoint@|@salbôn, wv.@
@anoint.@|@ga-salbôn, wv.@
@anon@|@spráutô, adv.@
@another@|@aljis, adj.@
@answer@|@and-hafjan, sv., and-waúrdjan, wv., anda-hafts, sf., anda-waúrd sn.@
@anticipate@|@beidan, sv. c. gen., faúr-sniwan, sv.@
@anxiety@|@kara, sf.@
@anxious@|@ga-drôbnan, wv.@
@anxious: become ~@|@drôbnan, wv.@
@apart@|@sundro, adv.@
@apex@|@gibla, wm.@
@apostate@|@af-guþs, adj.@
@apostle@|@apaústaúlus sm.@
@appalled: be ~@|@us-geisnan, wv.@
@appear@|@at-áugjan, wv.@
@appearance@|@ga-baírhteins, sf., ga-kunþs, sf., hiw sn., siuns, sf.@
@application: an ~@|@ana-lageins, sf.@
@appoint@|@ga-satjan, wv., ga-waúrkjan, wv., ráidjan, wv.@
@appointed@|@ga-ráiþs adj.@
@apportion@|@dáiljan, wv.@
@apprehend@|@ga-fâhan, sv.@
@approach@|@ana-qiman, sv., nê£jan sik, wv.@
@approve@|@ga-kiusan, sv.@
@apt@|@ga-tils, adj.@
@aptly@|@ga-têmiba, adv.@
@area@|@fêra, sf.@
@arise@|@ur-reisan, sv.@
@arise!@|@kume imper.@
@arm@|@arms, sm.@
@army@|@harjis, sm.@
@aromatics@|@arômata, pl.@
@around@|@bi@
@arouse@|@ana-qiujan, wv.@
@arrange.@|@regnian@
@arrive@|@qiman, sv.@
@as@|@swê, adv. and conj., þan, rel. part.@
@as long as@|@þandê, conj.@
@as soon as@|@bi-þê conj., suns-e conj.@
@as the Gentiles@|@þiudiskô, adv.@
@ascend@|@steigan, sv., us-steigan sv.@
@ash@|@azgô, wf.@
@ashamed of: be ~@|@skaman sik, wv.@
@aside from@|@alja, conj.@
@aside: pull ~@|@af-tiuhan, sv.@
@ask@|@bidjan, sv., fraíhnan, sv., ga-fraíhnan, sv.@
@ask questions@|@fraíhnan, sv.@
@ass@|@asilus, sm.@
@assemble@|@ga-gaggan, sv., ga-lisan, ga-qiman, sv.@
@assembly@|@ga-qumþs, sf.@
@assist@|@bôtjan, wv.@
@assistance@|@niþan, sv.@
@assuredly@|@triggwaba, adv.@
@astonished: be ~@|@silda-leikjan, wv.@
@astonishment@|@faúrhte wf.@
@astounded@|@us-films, adj.@
@astounded: be ~@|@us-geisnan, wv.@
@astray@|@aírzeis, adj.@
@asunder@|@sundro, adv.@
@at@|@at, prep. c. acc. and dat., bi@
@at any time@|@£an-hun, adv.@
@at most@|@máist, adv.@
@at once@|@suns, adv.@
@at one time@|@simlê, adv.@
@ather-in-law@|@swaíhra, wm.@
@atop@|@ana, prep. c. acc./dat.@
@attached: be ~@|@ga-haftnan, wv.@
