@English@|@Samoan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a boiled egg@|@o se fuamoa saka@
@a club-foot@|@fa'avaesape@
@a cup of tea@|@se ipu ti@
@a day@|@Mo se aso@
@a fishing line@|@afo@
@a fried egg@|@o se fuamoa falai@
@a god@|@sauali'i@
@a kind of disease@|@manemane@
@a large edible grub@|@afato@
@a large quantity@|@aneanea@
@a pot of tea@|@se tipoti ti@
@a room with a bath@|@o se potu e i ai se fale taele@
@a species of mussel@|@'u'u@
@a week@|@Se Vaiaso@
@above@|@i luga@
@after@|@tua@
@all@|@'ätoa@
@allbino@|@tetea@
@an opening in the coral reef@|@ava@
@and@|@ma, ma le@
@And you?@|@Ma oe?@
@another chair@|@se isi nofoa@
@apple@|@apu@
@Are there?@|@O i ai ni ?@
@armful@|@afisiga@
@ash@|@lefulefu@
@ashamed@|@mä@
@ashes@|@lefu@
@aslant@|@fa'a-sapasapa@
@assembly@|@aofia@
@at@|@i, i le@
@away@|@atu@
@back@|@tua@
@back way@|@alatua@
@bad@|@leaga@
@banana@|@fa'i@
@be eaten by white ants@|@anea@
@be knowledgeable@|@ilo-a@
@beautiful@|@matagöfie@
@bedew@|@fa'a-sau@
@before@|@luma@
@before noon@|@ao-atea@
@belly@|@manava@
@below@|@i lalo@
@better@|@feoloolo@
@big@|@tele@
@bird@|@manu@
@black@|@uliuli@
@blood@|@toto@
@boiled@|@saka@
@bone@|@ivi@
@branch@|@lälä@
@breast@|@susu@
@brightly@|@saesae@
@building@|@fale@
@by@|@e@
@bye-path@|@ala'alo@
@Can I have..?@|@E mafai ona ave ma au ?@
@Can you help me?@|@E mafai ona e fesoasoani mai?@
@cannibal@|@sau'aitagata@
@canoe@|@va'a@
@carrots@|@karoti@
@centipede@|@atualoa@
@cheap@|@taugöfie@
@cheers@|@manuia@
@chicken@|@moa@
@chief@|@ali'i@
@chief's hair@|@lauao@
@child@|@tamaitiiti@
@Chinese rose@|@'aute@
@clever@|@atamai@
@cloud@|@ao@
@cloudy@|@lagilagia@
@cold@|@ma'alili, mälülü@
@colecction@|@aofaga@
@college@|@kolisi@
@coral reef@|@a'au@
@correct@|@sa'o@
@day@|@ao, aso@
@day-dance@|@aoula@
@daylight@|@ao@
@deliberate@|@fa'a-sauea@
@dew@|@sau@
@difficult@|@faigatä@
@dirty@|@'ele'elea@
@dog@|@'ulï@
@don't!@|@'aua@
@down@|@lalo@
@dry@|@mago@
@duck@|@pato@
@dull@|@matatupa@
@dust@|@efu, pefu@
@ear@|@taliga@
@early@|@vave@
