@English@|@Voro@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@Abort@|@Jätäq katski@
@About Opera@|@Opera tiidüs, tiidüs Opera kotsilõ@
@Accept@|@Jääq nõuhtõ@
@Accept pop-up windows@|@Ujovidõ aknidõ lubaminõ@
@Accessibility@|@Tarvitusõ kergendämine@
@Acoount@|@Konto@
@Action@|@Tallitus@
@Active@|@Aktiivnõ@
@Add@|@Panõq manoq@
@Add all@|@Panõq kyik' manoq@
@Add link to Bookmarks@|@Panõq järehoitjihe link' manoq@
@Add page...@|@Panõq lehekülg' manoq...@
@Add panel...@|@Panõq paniil' manoq...@
@Add to Bookmarks@|@Panõq järehoitjidõ manoq@
@Add to Contacts@|@Panõq manoq kontaktõhe@
@Add to group@|@Panõq manoq gruppi@
@Address@|@Aadrõs'@
@Address bar@|@Aadrõsiriba@
@Address book@|@Aadrõsiraamat@
@Advanced@|@Lisasäädmine, vigurinõ@
@Advertising@|@Reklaam'@
@all@|@kõik@
@Always on top@|@Alasi kygõ päälmäne@
@American@|@ameeriklanõ@
@and@|@ja@
@animal@|@elläi@
@Antivirus program@|@Tohtri@
@Append@|@Panõq otsa@
@Application@|@Rakõndus@
@Apply@|@Võtaq käüki@
@Apply to all@|@Tiiq nii kyigigaq@
@Archive@|@Arhiiv'@
@Are you English?@|@Kas ti olõt ingläne?@
@Are you sure?@|@Kas olõt iks kimmäs?@
@Arrow@|@Nuul'@
@Article@|@Kirotus@
@ashes@|@tuhk@
@Association@|@Köüdüs@
@at@|@man@
@Attach@|@Panõq manoq@
@Attachment@|@Manoqpannus@
@Attribute@|@Atribuut'@
@Australian@|@austraallanõ@
@Authentication failed@|@Kimmästegemine läts' summa@
@Author@|@Autor'@
@Authorization@|@Luaküsümine@
@Automatic detection@|@Automaatnõ ärqtundminõ@
@Away@|@Puudus@
@back@|@sälg@
@Background@|@Tagapõhi@
@bad@|@halv@
@badger@|@kähr@
@Bar@|@Riba@
@bark@|@kuur@
@Bcc@|@Pümmekopi@
@because@|@selle et@
@beer@|@oluq@
@belly@|@kõtt@
@big@|@suur@
@birch@|@kõiv@
@bird@|@tsirk@
@Bit@|@Tsibiputin@
@black@|@must@
@Block@|@Kinniq pidämä@
@blood@|@veri@
@Body@|@Sisu@
@bone@|@luu@
@Bookmark@|@Järehoitja@
@Bottom@|@Ala, all@
@Box@|@Kast'@
@breast@|@rõnd@
@Browse in a new window@|@Tiiq vahtsõnõ akõn' vallalõ@
@Browser@|@Võrgokaeja@
@Browser look@|@Võrgokaeja nägo@
