@English@|@Khowar@
@Author name@|@Kevin Klak@
@Font@|@Arial\12\Arial\12@
@* sanskrit influence on khowar@|@* sanskrit influence on khowar@
@000@|@korur, korur@
@10@|@korur@
@100@|@shor@
@230 feet high@|@Terichmir@
@25@|@Terichmir@
@a bat@|@post wrazun@
@a boil@|@korur@
@a bridge consisting of a few logs@|@bond@
@a catamite@|@parashkoti@
@a chain@|@jjenjjer@
@a co-wife@|@ambokhchan@
@a dive into a river@|@ondogh@
@a fight@|@janjal@
@a fine among Kalash@|@duk@
@a flood@|@hon@
@a flute@|@beluw@
@a ford@|@thurt@
@a foster child@|@cchirzhaw@
@a furrow@|@paht@
@a giant@|@hoq@
@a half hour@|@phat@
@a holly oak tree@|@banj@
@a kiss@|@bah@
@a lamb@|@beysh@
@a leaf@|@chan (retroflex)@
@a letter@|@khat@
@a low class person@|@ghalamus@
@a new moon@|@nogh@
@a part@|@phat@
@a patch@|@pon@
@a pauper@|@ispagh@
@a person who is stronger than his enemy@|@baliyak@
@a pit@|@dat@
@a race@|@paga@
@a road@|@pon@
@a shop@|@dukan@
@a snake@|@ayi@
@a story@|@shilogh@
@a switch@|@chogh@
@a unit of weight@|@belu@
@a wild or coarse rain@|@jangali@
@a womqn@|@awrat@
@a wrinkle@|@krenj@
@above@|@sora@
@accident@|@nuqsan@
@adultery@|@zina@
@advantage@|@fayda@
@afterwards@|@thegar@
@all@|@saf@
@an ant@|@pilili@
@an aristocrat@|@ademzada@
@an exorcist@|@parikan@
@an oath@|@shot@
@an old woman@|@waw@
@an outside corner@|@kurkun@
@animal hide@|@post@
@ankle@|@dank kol@
@apple@|@palogh@
@apples@|@paloghan@
@aqueduct@|@nah@
@are you going?@|@bisa@
@arm@|@bazu@
@armpit@|@kushkomul@
@ascend@|@nisik@
@ash@|@swah *@
@awareness@|@malum@
@away@|@par@
@axe@|@bardox@
@baby@|@phuk@
@baby donkey@|@gordoghzheri@
@baby goat@|@chani@
@baby horse@|@dami@
@bad@|@shum@
@ball@|@pot@
@banana@|@kela@
@bangs of hair@|@parcham@
@barley@|@siri@
@barn@|@shal@
@bastard@|@harmanzada@
@Be! (imperative)@|@bos@
@bear@|@ohts@
@beard@|@rigish@
@beautiful@|@sheli@
@bed@|@zhen@
@bed made from hay@|@mul@
@belly@|@ishkama, shkama@
@big@|@lot@
@bigomist@|@juboki@
@bite@|@oyoi@
@bitter@|@troq@
@black@|@sha, krishana *@
@black beans@|@rambogh@
@blacksmith@|@nal chakiyak@
@blood@|@lahu, lei@
@blue or gray eyes@|@ochro@
@body@|@qalip@
@bone@|@asthee *, kol@
@bottom of the valley@|@pong@
@boy@|@daq@
@boys@|@daqan@
@brave@|@bahder@
@bread@|@shapik@
@bread made from barley@|@siriyay@
@breast@|@pap@
@bride@|@shabok@
@bridegroom@|@shabok@
@bridge@|@ser@
@broken@|@chhirdu@
@broom@|@mazhini@
@brother@|@brar, bhratri *@
@brother born from the same womb@|@shangur brar@
@brother-in-law@|@gomit@
@brothers@|@brargini@
@brown@|@karbeli@
@buffalo@|@gamesh@
@butterfly@|@pulmunduk@
@buttocks@|@shron@
@calabash@|@kahdu@
@camel@|@ut@
@camouflage used in hunting@|@pardanj@
@carpenter@|@dartochak@
@Cassanova@|@kumoru korak@
@cat@|@pushi@
@cauliflower@|@gobi@
@cave@|@bakh@
@cellar@|@dor@
@cheese@|@panir@
@chickadee@|@chichibon@
@chicken@|@kahak@
@child@|@tseq, tsiq@
@chili@|@mahch@
@chimney@|@kumal@
@Chitral@|@Chitrar@
@Chitrali cricket@|@budi dik@
@Chitrali-style round cap@|@pakol@
@clan@|@qawm@
@claw@|@qawf@
@cliff@|@char@
@clitoris@|@chong@
@close@|@shoy@
@closed@|@band@
@cloth belt@|@shiman@
@clothe@|@zap@
@cloud@|@megha (a is silent), kot@
@coffin@|@tabut@
@col@|@gri@
@cold@|@ushak@
@concubine@|@quma@
@corn@|@juwari@
@cow@|@leshu, gow *@
@coward@|@bukhtuyak@
@crack in the ice@|@traq@
@crazy@|@gadiri@
@crow@|@kagh@
@daughter@|@zhur, putri *, dheotr *@
@day@|@anus, din *@
@debt@|@wam@
@December@|@Phething Mes@
@deep@|@kulum@
@deer@|@moroy@
@demon who takes away the lives of young babies@|@Balghamzhuni@
@denial@|@no@
@desire@|@kahdat@
@destitute@|@gharib@
@did you eat?@|@oyowa@
@do help me@|@masu madat korei@
