@English@|@Arabic@
@Author name@|@Ken Chase@
@Font@|@Arial\12\Times New Roman\22@
@(+jussive) did not@|@لم@
@(+subjunctive) will not@|@لن@
@(edible) oil@|@زيت@
@(field of) knowledge@|@معرفة@
@(past particle)@|@قد@
@(question particle)@|@ا, هل@
@a few@|@بضع@
@a number (of)@|@عدة@
@about@|@عن, حوالى, حول, نحو@
@above@|@فوق@
@absent@|@غائب@
@accident@|@حادث@
@account@|@حساب@
@accurate@|@دقيق@
@across@|@عبر@
@active@|@نشيط@
@administration@|@ادارة@
@affair@|@امر@
@Africa@|@افريقيا@
@after@|@بعد@
@age@|@عمر@
@agency@|@وكالة@
@agent@|@وكيل@
@agriculture@|@زراعة@
@air@|@هواء, جو@
@alive@|@حي@
@all@|@جميع, كل@
@almost@|@تقريبا@
@also@|@ايضا@
@always@|@ابدا, دائما@
@among@|@بين@
@amount@|@مبلغ@
@and@|@ف, و@
@animal@|@حيوان@
@annual@|@سنوي@
@another@|@آخر@
@antiquities@|@اثرة@
@apostle@|@رسول@
@apples@|@تفاح@
@approximately@|@حوالى@
@Arab@|@عرب@
@army@|@جيش@
@around@|@حول@
@artificial@|@صناعي@
@artistic@|@فني@
@as@|@ك, كما@
@as for@|@اما@
@as to@|@اما@
@association@|@جمعية@
@at@|@عند, لدى@
@at once@|@حالا@
@attack@|@حملة@
@automobile@|@سيارة@
@bad@|@رديء@
@bank@|@بنك@
@beautiful@|@جميل@
@because@|@بسبب, لان@
@because of@|@ل@
@bed@|@فراش@
@bedouin@|@بدوي@
@before@|@قبل@
@behind@|@وراء@
@below@|@تحت@
@benefit@|@فائدة@
@better@|@خير@
@between@|@بين@
@big@|@كبير@
@bird@|@طير@
@bitter@|@مر@
@black@|@اسود@
@blue@|@ازرق@
@board@|@مجلس@
@book@|@كتاب@
@bookstore@|@مكتبة@
@boy@|@صبي, ولد@
@bread@|@خبز@
@breakfast@|@فطر@
@brother@|@اخ@
@brown@|@اسمر@
@building@|@عمارة@
@busy@|@مشغول@
@but@|@اما, بل, لاكن@
@butter@|@زبدة@
@by@|@ب, لدى@
@camel@|@جمل@
@card@|@ورق@
@center@|@مركز@
@chapter@|@فصل@
@cheap@|@رخيص@
@cheese@|@جبن@
@child@|@طفل, ولد@
@circumstance@|@ظرف@
@city@|@مدينة@
@civil@|@مدني@
@civilian@|@مدني@
@clean@|@نضيف@
@clear@|@واضح@
@clever@|@ذكي@
@clock@|@ساعة@
@coast@|@ساهل@
@coffee@|@قهوة@
@cold@|@بارد@
@color@|@لون@
@company@|@شركة@
@concerning@|@بخصوص@
@condition@|@حال, شرط@
@contemporary@|@معاصر@
@contract@|@عهد@
@cook@|@طباخ@
@council@|@مجلس@
@country@|@بلاد@
@court@|@محكمة@
@cow@|@بقرة@
@crisis@|@ازمة@
@crowd@|@جمهور@
@cup@|@فنجان, كأس@
@danger@|@خطر@
@date@|@تأريخ@
@date (fruit)@|@تمر@
@daughter@|@بنت@
@day@|@يوم@
@daytime@|@نهار@
@dead@|@ميت@
@dear@|@عزيز@
@death@|@موت@
@declaration@|@تصريح@
@deep@|@عميق@
@defense@|@دفاع@
@degree@|@درجة@
@delegate@|@مندوب@
@delegation@|@وفد@
@deputy@|@نائب, نائب, وكيل@
@desert@|@بادية@
@difficult@|@صعب@
@difficulty@|@صعوبة@
@dinner@|@عشاء@
@dirty@|@وسخ@
@discourse@|@كلام@
@district@|@منطقة@
@division@|@تقسيم@
@doctor@|@طبيب@
@door@|@باب@
@during@|@اثناء, خلال@
@duty@|@واجب@
@dwelling@|@مسكن@
@earth@|@ارض@
@ease@|@سهولة@
@east@|@مشرق, شرق@
@easy@|@سهل@
@economy@|@اقتصاد@
@eggs@|@بيض@
@Egypt@|@مصر@
@emir@|@امير@
@employee@|@موظف@
@engineer@|@مهندس@
@engineering@|@هندسة@
@entrance@|@مدخل@
@especially@|@خصوصا, ولاسيما@
@Europe@|@اروبا@
@evening@|@مساء@
@event@|@حادث@
@every@|@جميع, كل@
@example@|@مثال@
@excellent@|@طيب@
@except@|@الا@
@exit@|@مخرج@
@expenditure@|@مصروف@
@expensive@|@غال@
@experience@|@خبرة@
@expert@|@خبير@
@export@|@صادر@
@exterior@|@خارجي@
@external@|@خارجي@
@eye@|@عين@
@face@|@وجه@
@factory@|@مصنع@
@fair@|@عادل@
@faithful; secretary@|@امين@
@family@|@اهل, آل@
@famous@|@مشهور@
@far@|@بعيد@
@farm@|@مزرعة@
@father@|@والد@
@father (of)@|@ابو@
@festival@|@عيد@
@few@|@قليل@
@finally@|@اخيرا@
@fine@|@دقيق, جيد@
@fire@|@نار@
@first@|@اول@
@first (f)@|@اولى@
@fish@|@سمك@
@food@|@طعام@
@foot@|@قدم@
@for@|@ل@
@for instance@|@مثلا@
@forbidden@|@ممنوع@
@foreign@|@اجنبي@
@forever@|@ابدا@
@form@|@شكل@
@fort@|@قصر@
@foundation@|@اساس@
@friend@|@صديق@
@from@|@عن, من@
@frontier@|@حد@
@fruit@|@فامهة@
@future@|@مستقبل@
@garden@|@حديقة@
@gate@|@باب@
@general@|@عام, امومي, قائد@
@gentleman@|@سيد@
@girl@|@بنت@
@glass@|@كأس@
@glass (substance)@|@زجاج@
@God@|@الله@
@good@|@حسن, جيد, خير@
@goodness@|@حسن@
@government@|@حكومة@
@governor@|@وال@
@great@|@عظيم, جليل@
@green@|@اخضر@
@group@|@حزب@
@guest@|@ضيف@
@half@|@نصف@
@hand@|@يد@
@handsome@|@حسن@
@he@|@هو@
@headquarters@|@مركز@
@health@|@صحة@
@healthy@|@صحيح@
@heart@|@قلب@
@heat@|@حر@
@heavy@|@ثقيل@
@here@|@هنا@
@history@|@تأريخ@
@homeland@|@وطن@
@honest@|@صالح@
@horse@|@فرس, حصان@
@horses@|@خيل@
@hotel@|@فندق, هتيل@
@hour@|@ساعة@
@house@|@آل, بيت@
@how@|@كيف@
@how much?@|@كم@
@human@|@انسان@
@husband@|@زوج@
@I@|@انا@
@i.e.@|@اي@
@idea@|@فكرة@
@if@|@اذا, ان, لو@
@illness@|@مرض@
@importance@|@اهمية@
@important@|@هام, جليل, مهم@
@in@|@في@
@in front of@|@امام, تجاه@
@in order to@|@لكي@
@in spite of@|@مع@
@in the same way@|@هكذا@
@independence@|@استقلال@
@industrious@|@مجتحد@
@industry@|@صناعة@
@inhabitant@|@ساكن@
@inside@|@داخل@
@intelligence@|@عقل@
@intelligent@|@عاقل, معقول@
@interest@|@مصلحة@
@interior@|@داخلي@
@internal@|@داخلي@
@international@|@دولي@
@is not@|@ليس@
@Islam@|@اسلام@
@island@|@جزيرة@
@journalism@|@صحافة@
@journey@|@سفر@
@just@|@عادل@
@justice@|@عدل@
@killed@|@قتيل@
@kind@|@لطيف@
@king@|@ملك@
@kingdom@|@مملكة@
@kitchen@|@مطبخ@
@lady@|@سيدة@
@language@|@لغة@
@large@|@كبير@
@last@|@اخير, آخر@
@latest@|@اخير@
@law@|@قانون@
@leader@|@قائد, رئيس@
@leading@|@رئيسي@
@left@|@يسار@
@leg@|@رجل@
@lesson@|@درس@
@letter@|@رسالة@
@library@|@مكتبة@
@light@|@نور@
@light (weight)@|@خفيف@
@light-colored@|@فاتح@
@like@|@ك, كما@
@limit@|@حد@
@list@|@قائمة@
@little@|@قليل, صغير@
@long@|@طويل@
@love@|@حب, محبة@
@lunch@|@غداء@
@man@|@امرء, رجل@
@manager@|@مدير@
@manner@|@طريقة@
@manual@|@يدوي@
@many@|@كثير@
@mare@|@فرس@
@market@|@سوق@
@marriage@|@زواج@
@marvellous@|@عجيب@
@matter@|@امر, شأن@
@means@|@واسطة@
@meat@|@لحم@
@meeting@|@اجتماع@
@member@|@عضو@
@merchant@|@تاجر@
@messenger@|@رسول@
@midday@|@ظهر@
@middle@|@اوسط, وسط@
@minister@|@وزير@
@ministry@|@وزارة@
@minute@|@دقيقة@
@mister@|@سيد@
@modern@|@عصري, حديث@
@moment@|@لحظة@
@money@|@فلوس@
@month@|@شهر@
@moon@|@قمر@
@morning@|@صباح, صبح@
@mother@|@ام@
@mountain@|@جبل@
@movement@|@حركة@
@Mrs.@|@سيدة@
@much@|@واجد@
@municipality@|@بلدية@
@Muslim@|@مسلم@
@name@|@اسم@
@narrow@|@ضيق@
@nation@|@امة, قوم@
@national@|@وطني@
@nationalistic@|@قومي@
@near@|@عند, من بالقرب, لدى@
@near (to)@|@قريب@
@necessary@|@ضروري@
@necessity@|@حاجة@
@need@|@ضرورة@
@new@|@حديث, جديد@
@news@|@خبر@
@newspaper@|@جريدة@
@next@|@قادم@
@night@|@ليلة@
@no@|@لا@
@noble@|@كريم@
@nomad@|@بدوي@
@non-@|@غير@
@north@|@شمال@
@not@|@لا@
@not; what@|@ما@
@now@|@الآن@
@number@|@عدد, رقم@
@occasion@|@فرصة@
@of@|@من@
@office@|@دائرة, مكتب@
@officer@|@ضابط@
@official@|@رسمي@
@old@|@قديم@
@on@|@على, فوق@
@once@|@مرة@
@one@|@واحد@
@only@|@فقط@
@open@|@مفتوح@
@opinion@|@رأي@
@or@|@او@
@orchard@|@بستان@
@order@|@امر, حكم, نظام@
@origin@|@اصل@
@original@|@اصلي@
@other@|@آخر@
@outside@|@خارج@
@over@|@فوق@
@owner@|@صاحب@
@palace@|@قصر@
@palm trees@|@نخل@
@paper@|@ورق@
@parent@|@والد@
@parliament@|@برلمان@
@part@|@قسم@
@party@|@حزب@
@party (social)@|@حفلة@
@passenger@|@راكب@
@peace@|@سلام@
