@English@|@Bambara@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@200@|@keme fila@
@21@|@mugan ni kelen@
@22@|@mugan ni fila@
@23@|@mugan ni saba@
@24@|@mugan ni naani@
@25@|@mugan ni duuru@
@26@|@mugan ni wòòrò@
@27@|@mugan ni wolonfila@
@28@|@mugan ni segin@
@29@|@mugan ni kònòntòn@
@300@|@keme saba@
@31@|@bi saba ni kelen@
@400@|@keme naani@
@600@|@keme wòòrò@
@a little@|@dòònin@
@a lot@|@caman@
@Abidjan@|@Abijan@
@abortion@|@kònòtinyè@
@about@|@kàn@
@above@|@sanfè@
@Abuja@|@Abuza@
@accept@|@sòn@
@accident@|@balawu@
@accommodation@|@jatigiya@
@accomodation@|@jatigiya@
@accompany@|@bila@
@accuse@|@jalaki@
@accuser@|@sendonbaa@
@ache@|@farifaga@
@act@|@kèwale@
@action@|@kèwale@
@active@|@kìsè@
@acute angle@|@selekenin@
@add@|@fàra@
@addition@|@kafoli@
@address@|@dagayòrò@
@adjective@|@mankutu@
@adoration@|@batoli@
@adore@|@bato@
@adult@|@mògòkòròba@
@adultery@|@jènèya@
@advancement@|@nyèfètaali@
@adverb@|@sèmèntiyalan@
@advertising@|@gansili@
@advertissement@|@gansilisèbèn@
@advice@|@laadili@
@advise@|@laadi@
@adviser@|@kankòròsigi@
@advocate@|@awoka@
@aegis@|@hukumu@
@aeroplane@|@awiyòn@
@affair@|@ko@
@affix@|@nòrònna@
@Africa@|@Farafinna@
@African Cup of Nations@|@Kupudafiriki@
@African eggplant@|@nkòyò@
@African Union@|@Farafinna tònba@
@after@|@tèmènen kò@
@afternoon@|@wula@
@again@|@tugun@
@against@|@kama@
@agama lizard@|@basa@
@age@|@si@
@agent@|@walekèla@
@agree@|@bèn@
@agreement@|@bènkan@
@agriculture@|@sènè@
@ahead of@|@nyè@
@aid@|@dèmèni@
@aid agency@|@dèmèlitòn@
@AIDS@|@sida@
@aim@|@kün@
@aim at@|@bon@
@air@|@finyè, si@
@aircraft carrier@|@awiyòntalan@
@airport@|@abiyon jigin kènè, pankuruntayòrò@
@albino@|@yefuge@
@alcohol@|@dòlò@
@alcoholic@|@dòlòminna@
@Algeria@|@Alizeri@
@alien@|@siginfè@
@all@|@bèè@
@allow@|@labila@
@Almighty@|@Sebaayabèètigi@
@alms@|@sarakati@
@alphabet@|@sigini@
@already@|@kaban@
@also@|@fana@
@altar@|@sarakabòlan@
@amaze@|@kabakoya@
@amazement@|@kabakoya@
@amazing@|@kabakoma@
@ambassador@|@lasigiden@
