@English@|@Tetum@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a cold@|@inus-metin@
@a little@|@uitoan@
@abolish@|@kasu@
@above@|@leten@
@abscess@|@fusyr@
@abstain from food@|@hadera an, halo jejún@
@abundant@|@buras@
@accept@|@simu@
@acclaim@|@haklalak@
@accuse@|@du'u@
@ache@|@moras@
@acne@|@oin-merik@
@Adam's apple@|@kakorok-fukun@
@add@|@tau tan@
@afraid@|@ta'uk@
@after@|@liutiha@
@afternoon@|@lokraik, loraik@
@afterwards@|@hafoin, tuirmai@
@again@|@fali, filafali, tan@
@age@|@otas@
@ago@|@liubá@
@agree@|@lia-ida@
@aida must drink this medicine@|@aida sei hemu ai moruk ne'e@
@air@|@anin, ár@
@airplane@|@aviaun@
@airport@|@aeroportu@
@alive@|@mouris@
@all@|@hotu, hotu-hotu@
@all of us@|@ita@
@allow@|@fó lisensa@
@alone@|@mesak, mesamesak@
@already@|@foin@
@also@|@mós@
@also be@|@ue@
@also too@|@mos@
@although@|@biar, embora, maski@
@always@|@nafatin, sempre@
@ambrace@|@hakohak@
@ancestor@|@bei'ala@
@ancient@|@antigu, lakin@
@and@|@i, no@
@and how are you?@|@ita mo's di'ak?@
@angry@|@si'ak@
@angry sea@|@tasi si'ak@
@animal@|@animál@
@ankle@|@ain-fukun@
@ankle ornaments@|@babeta@
@another@|@ida seluk, seluk@
@answer@|@hatan, simu@
@ant@|@nehek@
@anvil@|@tanara@
@any@|@ruma@
@anyone@|@naran buat@
@appear@|@mosu@
@apple@|@masán@
@april@|@abril@
@aritificial light@|@ahi-naroman@
@arm@|@limam, liman, liman kabon@
@armpit@|@kalilin@
@army@|@ezérsitu, tropa@
@arrogant@|@foti-an@
@arrow@|@rama-isin, rama isin@
@arrowroot@|@ain-raruut@
@as@|@nu'udar@
@as well@|@iha mos ne'e ba, nudar@
@ash@|@ahi kelan, ahu kresan, anar@
@ashes@|@ahi-kadesan@
@assemble@|@halibur@
@asthma@|@masar, suhuk@
@astonish@|@halfodak@
@astringent taste@|@baar, baer@
@at@|@ba, iha@
@at least@|@sarak@
@at the side@|@iha nia sourin@
@at the top@|@iha leten@
@atarch@|@bare@
@august@|@agostu@
@aunt@|@inan-boot, tian@
@aunt older than mother@|@inan boot@
@aunt younger than mother@|@inan ki'ik@
@avaricious@|@karak-teen@
@awake@|@fanun, haer@
@axe@|@baliu@
@baby@|@bebé, kosok-oan@
@bachelor@|@mane-klosan@
@back@|@kotuk@
@backbone@|@takruik@
@bad@|@aat@
@bag@|@pasta@
