@Hawaiian@|@English@
@Author name@|@Renato B. Figueiredo / Charles A. Aiken@
@`a@|@sparkle@
@`a`a@|@challenge@
@`a`ahu@|@wear, clothing@
@`a`ala@|@smell fragrant, fragrant, good-smelling, nutty@
@`a`ale@|@no@
@`a`i puna@|@whitewash@
@`a`ohe@|@no@
@`a`ohe@|@none@
@`a`ohe@|@no@
@`a`ohe kanaka@|@nobody@
@`a`ohe mea@|@nothing@
@`a`ohe mea@|@nobody@
@`a`ola pilikia@|@no problem, no trouble@
@`a`ole@|@no@
@`A`ole lumi haka@|@No vacancies@
@`A`ole maopopo ia`u@|@I do not understand, I don't understand@
@`A`ole ona puka@|@But no hole@
@`A`ole pilikia@|@you're welcome@
@`A`ole pilikia.@|@You're welcome@
@`ae@|@accept, yes@
@`ae@|@agree@
@`aelike@|@agreement@
@`aelike@|@deal (agreement)@
@`aha@|@court (law)@
@`aha`aina male@|@feast (wedding)@
@`aha`olelo@|@legislature@
@`Ahâ!@|@Aha!@
@`ahewa@|@blame@
@`ahina@|@Blue jeans@
@`âhui@|@cluster@
@`ai@|@eat@
@`ai kalima@|@ice cream@
@`aihue@|@thief@
@`aikalima@|@ice cream@
@`aila@|@grease@
@`ailana@|@island@
@`aina@|@earth, land, meal@
@`aina@|@land, earth@
@`aina@|@meal@
@`Âina `Ôma`oma`o@|@Greenland@
@`aina ahiahi@|@Dinner, evening meal@
@`aina awakea@|@Lunch@
@`aina kakahiaka@|@Breakfast@
@`aina makua@|@fatherland@
@`âinahânau@|@birthplace@
@`aka`aka@|@laugh@
@`aka`akai@|@onion@
@`aka`akailau@|@green onion@
@`aka`akaipoepoe@|@round onion@
@`Akala@|@two endemic raspberries@
@`akala@|@pink@
@`Âkala@|@Pink@
@`ákau@|@Right@
@`ako@|@pick off a plant@
@`âko`ako`a@|@coral pieces@
@`ala@|@smell@
@`alani@|@orange@
@`alani@|@orange (fruit or tree)@
@`Âlani@|@Orange@
@`alapa@|@athletic@
@`alawa@|@to glance downward@
@`ale`o@|@Tower@
@`alo@|@accompany@
@`Amelika@|@America@
@`Amelika-`Akau@|@North America@
@`Amelika-Hema@|@South America@
@`Amelika-hui(-pu-`ia)@|@United States of America@
@`amene@|@amen@
@`âmene@|@amen@
@`amo@|@twinkle, wink, anus@
@`amo@|@wink, twinkle, rectum@
@`anâ`anâ@|@Black magic@
@`anakala@|@uncle@
@`anakala@|@uncle@
@`anake@|@aunt@
@`anakê@|@aunt, aunty@
@`anapu`u@|@bump@
@`ane`i@|@here@
@`ane`i mai@|@this side of@
@`anela@|@angel@
@`ânela@|@angel@
@`ano@|@kind@
@`ano `ë@|@strange; peculiar@
@`ano `ole@|@nonsense@
@`ano nui@|@important@
@`ano nui@|@important@
@`ano`ano@|@seed@
@`ano`ano@|@seed@
@`ano`e@|@abnormal, eccentric@
@`ano`ê@|@funny kine@
@`aoa@|@bark at@
@`apala@|@apple@
@`âpana@|@piece@
@`apana pepa@|@sheet (paper)@
@`apelila@|@April@
@`apelila@|@April@
@`apono@|@accept@
@`apópó@|@Tomorrow@
@`apu`u@|@bud@
@`au@|@stem, float, swim@
@`au`au@|@swim around in the water, bathe@
@`Auê!@|@Too bad@
@`auinala@|@afternoon@
@`auinalâ@|@early afternoon, afternoon@
@`Auka!@|@Out!@
@`Aukake@|@August@
@`aukake@|@August@
@`Aukekulelia@|@Australia@
@`aumakua@|@guardian spirits@
@`auwae@|@chin@
@`awapuhi@|@ginger@
@`awe@|@tentacle@
@`awe[`awe]@|@backpack@
@`âwîwî@|@fast@
@`e@|@yes@
@`E `oli`oli `oe@|@Please bring the bill@
@`e`e@|@board@
@`ehá@|@four@
@`ehâ@|@four, number four@
@`eha haneli@|@four hundred@
@`ehâ haneli@|@four hundred@
@`eha ke po`o@|@headache@
@`êheu@|@wing@
@`Ehia?@|@How much/many?@
@`ehiku@|@seven, number seven@
@`ehiku haneli@|@seven hundred@
@`ehu@|@red hair, reddish hair@
@`eiwa@|@nine@
@`eiwa@|@nine, number nine@
@`eiwa haneli@|@nine hundred@
@`êkaha kû moana@|@Black coral@
@`ekahi@|@one@
@`ekahi@|@one, number one@
@`eke@|@purse@
@`eke`eke pa`a lima@|@handbag@
@`eke[`eke]@|@bag@
@`ekena@|@Eden@
@`ekolu@|@three, number three@
@`ekolu@|@three@
@`ekolu haneli@|@three hundred@
@`Ele`ele@|@Black@
@`ele`ele@|@black@
@`elemakule@|@old man@
@`elemu@|@ass, buttocks@
@`elemu@|@buttocks@
@`eleu@|@energetic@
@`eleu@|@agile@
@`eleweka@|@elevator@
@`eli@|@dig up@
@`elima@|@five, number five@
@`elima haneli@|@five hundred@
@`elua@|@two, number two@
@`elua haneli@|@two hundred@
@`ena@|@Red-hot@
@`ena[`ena]@|@red-hot@
@`enuhe@|@caterpillar@
@`eono@|@six, number six@
@`eono haneli@|@six hundred@
@`ewalu@|@eight, number eight@
@`ewalu haneli@|@eight hundred@
@`i`imo@|@blink@
@`i`o@|@Meat, beef@
@`i`o [holoholona]@|@meat@
@`i`o pipi@|@Beef@
@`i`o pua`a@|@Pork@
@`i`o pua`a uahi@|@bacon@
@`iako@|@outrigger part joining the "ama" to canoe body@
@`iako@|@outrigger of the canoe@
@`ianuali@|@January@
@`ikamu@|@item@
@`ike@|@see@
@`ike@|@know@
@`ike maka@|@eyesight@
@`îkoi@|@fruit core@
@`ili@|@skin@
@`ili@|@surface, skin@
@`ili [la`au]@|@bark (tree)@
@`ili`ili@|@pebbles@
@`ilio@|@dog@
@`ilipuakea@|@White man@
@`ilipuakea@|@whiteskin (caucasian)@
@`iliwai@|@waterhose@
@`imi@|@search@
@`imi i ke kumu@|@research@
@`inikua ola@|@life insurance@
@`ino@|@bad@
@`ino@|@bad@
@`ino`ino@|@rotten@
@`iwa@|@frigate (bird)@
@`iwakálua@|@twenty@
@`iwakálua-kúmá-kahi@|@twenty one@
@`ô@|@fork@
@`ô aku@|@beyond@
@`o ia@|@he@
@`O ia mau nô@|@same as usual@
@`O wai kou inoa?@|@What is your name?@
@`O wai?@|@Who?@
@`o wau iho no@|@myself@
@`o wau no@|@myself@
@`o wau pono`i@|@myself@
@`o`io@|@bonefish@
@`o`o@|@mature@
@`o`opu haole@|@bass fish@
@`o`opu hue@|@balloonfish@
@`O__ko`u inoa@|@My name is...@
@`oe@|@You (singular familiar)@
@`oe@|@you (singular)@
@`oe@|@You (singular formal), you (singular), you, ye@
@`ohana@|@family, relative, kin [group]@
@`ohana@|@related (kin)@
@`ohana nui@|@clan@
@`ohi@|@gather@
@`ôhi`alomi@|@tomato@
@`ohuluhulu@|@hairy@
@`oi@|@worse, better@
@`oi [loa]@|@best@
@`oia@|@he@
@`oia@|@it@
@`oia ala@|@he@
@`oia iho@|@itself@
@`Oia mau nó@|@So so@
@`oia nei@|@he@
@`oia no@|@itself@
@`Oia`i`o@|@authentic@
@`oia`i`o@|@truly@
@`oihana mahi`ai@|@agriculture@
@`okakopa@|@October@
@`okakopa@|@October@
@`oki@|@circumcise@
@`oki@|@cut@
@`oki`oki@|@cut up@
@`okika@|@orchid@
@`oko`a@|@different@
@`okole@|@buttocks@
@`okole@|@rectum@
@`ola`i@|@earthquake@
@`ôlala@|@bask in the sun@
@`olapa@|@dancer (contrasted with ho`opa`a)@
@`ole@|@conch shell@
@`ole@|@zero, nothingness, without@
@`olelo@|@oral, verbatim, verbal@
@`olelo@|@to speak, say, state, talk, mention, converse@
@`olelo@|@verbatim@
@`olelo@|@language, speech, word, statement, utterance@
@`olelo@|@verbal@
@`ôlelo@|@speak@
@`Ólelo `oe ...?@|@Do you speak...@
@`olelo no`eau@|@proverb@
@`olelo no`eau@|@saying (wise, poetic or traditional)@
@`ôlelo no`eau@|@proverb@
@`olepe@|@clam@
@`Ololaiki!@|@All right!@
@`olu `olu@|@pleasantly cool@
@`Olu`Olu@|@Please, good, comfortable@
@`olua@|@You (plural), you (two of you), you folks (two)@
@`olua@|@you (dual)@
@`oma@|@bake@
@`oma`ima`i@|@ailing@
@`ôma`ima`i@|@sick/ill, not feeling well@
@`oma`oma`o@|@green@
@`Ôma`oma`o@|@Green@
@`ômole@|@bottle@
@`ono@|@flavor@
@`ono@|@nice@
@`ono@|@savor@
@`ono@|@deliciousness, flavor, savor@
@`ono@|@to crave, to relish@
@`ono@|@tasty@
@`ono@|@delicious, tasty, savory@
@`ôpala@|@trash@
@`ope`ope@|@baggage@
@`opihi@|@Cellana exarata (blackfoot limpet snail)@
@`opihi@|@pick@
@`opihi `âlinalina@|@a kind of `opihi@
@`opihi `älinalina@|@`opihi (limpet snail) with yellow meat@
@`opihi malihini@|@abalone@
@`opio[pio]@|@young@
@`ôpiopio@|@young@
@`opu@|@stomach@
@`ôpû@|@belly@
@`ôpûkû@|@tripe stew@
@`oukou@|@You (plural), you (three or more of you), thou, ye@
@`oukou@|@you (plural)@
@`u`u@|@to strip stem from vine@
@`uala@|@sweet potato@
@`uala kahiki@|@Potato@
@`ualakahiki@|@Irish potato@
@`uî@|@squeeze out@
@`ukulele@|@four-stringed guitarlike instrument@
@`ula@|@blushing, red@
@`Ula o lalo@|@Red below@
@`Ula o luna@|@Red above@
@`ula`ula@|@red snapper@
@`Ula`ula@|@Red@
@`ula[`ula]@|@red@
@`ulali`i@|@measles@
@`ulu@|@breadfruit@
@`uma kumalima@|@fifteen@
@`umeke@|@container, bowl@
@`umi@|@ten, number ten@
@`umi@|@ten@
@`umi kumaha@|@fourteen@
@`umi kumaha@|@fourteen@
@`umi kumakahi@|@eleven@
@`umi kumakiku@|@seventeen@
@`umi kumakolu@|@thirteen@
@`umi kumaono@|@sixteen@
@`umi kumaono@|@sixteen@
@`umi`umi@|@whiskers@
@`umi`umi@|@beard@
@`umi-kúmá-há@|@fourteen@
@`umi-kúmá-hiku@|@seventeen@
@`umi-kúmá-iwa@|@nineteen@
@`umi-kúmá-kahi@|@eleven@
@`umi-kúmá-kolu@|@thirteen@
@`umi-kúmá-lima@|@fifteen@
@`umi-kúmá-lua@|@twelve@
@`umi-kúmá-ono@|@sixteen@
@`umi-kúmá-walu@|@eighteen@
@`umikumahiku@|@seventeen@
@`umikûmâkahi@|@number eleven@
@`umikumalua@|@twelve@
@`ûpâ@|@scissors@
@`upena@|@net fishing@
@`upo`i maka@|@eyelid@
@`uwehe@|@untie@
@…ka lumi ho`opaupilikia?@|@…the restroom?@
@…ka panakô?@|@…the bank?@
@'ä@|@The red-footed, to burn@
@'a'a@|@Jagged@
@'ä'ï@|@neck@
@'A'ole@|@No@
@'Ae@|@Yes@
@'aeko@|@eagle@
@'ahi@|@Yellowfin tuna@
@'Âhinahina@|@Grey@
@'ai@|@to eat@
@'aihue@|@to steal@
@'aila@|@oil@
@'aina@|@earth, Land@
@'aka@|@to laugh@
@'alalä@|@crow@
@'alopeke@|@fox@
@'amakihi@|@group of small honey creepers@
@'ano@|@type [of], kind [of]@
@'ao'ao@|@page@
@'äpala@|@apple@
@'au@|@to swim@
@'aumakua@|@personal god who assumes forms@
@'auwae@|@chin@
@'auwai@|@canal@
@'awa@|@Kava@
@'e'a@|@dust@
@'eha@|@pain@
@'ehia?@|@How much is this?@
@'ehu@|@dust@
@'elepani@|@elephant@
@'eli@|@to dig@
@'ewa@|@Area west of Honolulu@
@'ike@|@to see@
@'ike@|@to know@
@'ïlio@|@dog@
@'ïlio hae@|@wolf@
@'ino@|@storm@
@'iole@|@mouse, rat@
@'O wai kou inoa?@|@What is your name?@
@'o'opu@|@a goby@
@'oe@|@thou@
@'ohana@|@Family@
