@English@|@Mongolian@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@2-year-old colt@|@sarbaha, sarwä@
@3 to 5-year-old stallion@|@ürë, ürege, ürije@
@3d p. possessive pronoun@|@ino, inu-, n@
@a big leather bucket@|@nambaga, nambuqa, nambuqu, nambux@
@a creeping weed@|@kögene@
@a drink@|@umda, und, undä@
@a k. of alder@|@nügers, nügürsü@
@a k. of antelope@|@oronggo@
@a k. of arrow@|@godil, qodoli@
@a k. of bird of prey@|@šimelzen, similžen@
@a k. of blossoming plant@|@sereleg, serkeleg, serkelig@
@a k. of cranberry@|@canggis@
@a k. of duck@|@šürxy@
@a k. of fish@|@dabqa, davxä, davxral@
@a k. of grass@|@budargana@
@a k. of insect@|@kömörege, xömrög@
@a k. of meat dumplings@|@sümaj, suumai@
@a k. of pheasant-like bird@|@kemerlig, xemerleg@
@a k. of plant@|@culxir@
@a k. of poplar@|@töroj, touraj@
@a k. of rice@|@qolima, xolim@
@a k. of roach@|@bašinga, basingha@
@a k. of salmon@|@bulü cagän, buluu@
@a k. of silk@|@kemerleg, kemerlig@
@a k. of small variegated bird@|@janggal@
@a k. of vessel@|@xorgo@
@a k. of wild leek@|@gogod, gogol, qoqosun@
@a k. of wild onion or garlic@|@kömeli, xömöl@
@a k. of willow@|@togil@
@a kind of yellow duck@|@anggir@
@A little@|@jaakhan@
@A lot@|@ikh@
@a musical (string) instrument@|@qu'ur@
@a people@|@humuus@
@a scarf@|@khadag@
@a small fish@|@iz, iže@
@a small vessel@|@xundaga@
@a string for binding animals@|@kögene, kögüne, xögnö@
@ablet@|@munig@
@above@|@dë-, deger-e@
@abrasion@|@dajir, dajr, dari@
@abundance@|@elbeg@
@abundant@|@dele-, delegai, delegei, delegüü, deli-, delike@
@accessories@|@kheregleenii zuils@
@according@|@yamar neg zovshiltsol, zuild zaasn(i) daguu@
@action@|@uildel, üyile@
@active@|@idevkhtei@
@activities@|@uil ajillagaad@
@activity@|@idebki, uil ajillagaa@
@actually@|@unen kheregtee@
@advantage@|@davuu tal@
@adze@|@atlaga, ohuli, öl, uxmi, uxu-@
@after@|@qoyin-a@
@afternoon@|@ädär, ädor, edür, od, ude, üde, udeši, udur@
@again@|@dakin@
@age@|@nas, nasu, nasu(n), näsun, süder, uje, üje@
@ago@|@omno@
@agreement@|@ger-e, gere, gerë@
@air@|@agaar, agär, ke, kei, kïji, xij kï@
@Airport@|@nisekh ongotsny buudal@
@albugo@|@cagän@
@album@|@al(i)bom@
@alcohol@|@sogtuuruulakh undaa@
