@English@|@Polish@
@Author name@|@Maciej Cz.@
@Font@|@Arial\12\Arial\12@
@-@|@myślnik@
@!@|@wykrzyknik@
@(stone) mason@|@kamieniarz@
@.@|@kropka@
@0@|@sto@
@00@|@tysiąc@
@00000@|@milion@
@1@|@one@
@2@|@dwa@
@3@|@trzy@
@4@|@cztery@
@9@|@dziewięć@
@a certain@|@jakiś@
@a freak of nature@|@wybryk natury@
@a year ago@|@rok temu@
@A.D.@|@Roku Pańskiego@
@a.m.@|@przed południem, rano@
@A.M.@|@przed południem, rano@
@aback@|@być zaskoczonym@
@abacus@|@abakus@
@abacuses@|@abakusy@
@abandon@|@opuścić, porzucić@
@abandon all hope@|@porzucić całą nadzieję, porzucić wszelką nadzieję@
@abandoned@|@opuszczony, porzucony@
@abandoner@|@porzucający@
@abandoning@|@porzucanie, porzucenie@
@abandonment@|@opuszczenie, porzucenie, zaniechanie@
@abase@|@poniżać się, upokarzać się@
@abased@|@poniżony, upokorzony@
@abasement@|@poniżenie, upokorzenie@
@abasements@|@poniżenia, upokorzenia@
@abash@|@speszyć się, zawstydzić się, zmieszać się@
@abashed@|@speszony, zmieszany@
@abashing@|@peszący, speszenie, zawstydzający, zawstydzenie@
@abashment@|@speszenie, zawstydzenie, zmieszanie@
@abate@|@osłabnąć, zelżeć@
@abatement@|@obniżka, zniżka@
@abatements@|@obniżki, zniżki@
@abater@|@obniżający, zniżający@
@abates@|@obniża, zniża@
@abating@|@obniżanie, zniżanie@
@abatis@|@zasieki@
@abattis@|@zasieki@
@abattoir@|@rzeźnia@
@abbess@|@matka przełożona@
@abbey@|@opactwo@
@abbeys@|@opactwa@
@abbot@|@opat@
@abbots@|@opaci@
@abbreviate@|@skracać@
@abbreviated@|@skrócony@
@abbreviates@|@skraca@
@abbreviating@|@skracający@
@abbreviation@|@skrót@
@abbreviations@|@skróty@
@abdicate@|@abdykować, zrzekać się@
@abdicate the throne@|@zrzec się tronu@
