@English@|@Hebrew@
@Author name@|@Calin Zalana@
@Font@|@Arial\12\Arial\12@
@(sign of the definite accustaive)@|@et@
@(stands for "alef")@|@(')@
@(stands for "ayin")@|@(")@
@(stands for "he")@|@(h)@
@(stands for "h'et")@|@(h')@
@(stands for "kaf")@|@(k)@
@(stands for "khaf")@|@(kh)@
@(stands for "qof")@|@(q)@
@[and]@|@[ve-]@
@[definite article]@|@[ha-]@
@[dual ending]@|@[-ayim]@
@[equivalent of 'not to have']@|@[ein l-]@
@[equivalent of 'to have']@|@[yesh l-]@
@[fem. pl. ending]@|@[-ot]@
@[from]@|@[m-]@
@[in the]@|@[ba-]@
@[in]@|@[b-]@
@[masc. pl. and dual construct ending]@|@[-ey]@
@[masc. pl. ending]@|@[-im]@
@[more than]@|@[yoter mi-]@
@[personal suffix - 1st pers. pl.]@|@[-nu]@
@[personal suffix - 1st pers. sg.]@|@[-i]@
@[personal suffix - 2nd pers. fem. pl.]@|@[-khen]@
@[personal suffix - 2nd pers. fem. sg.]@|@[-kh]@
@[personal suffix - 2nd pers. masc. pl.]@|@[-khem]@
@[personal suffix - 2nd pers. masc. sg.]@|@[-kha]@
@[personal suffix - 3rd pers. fem. pl.]@|@[-an], [-hen]@
@[personal suffix - 3rd pers. fem. sg.]@|@[-a / -ah]@
@[personal suffix - 3rd pers. masc. pl.]@|@[-am], [-hem]@
@[personal suffix - 3rd pers. masc. sg.]@|@[-o]@
@[-self]@|@[atsm]@
@[that / which / who / whom]@|@[she-]@
@[to / towards / for]@|@[l-]@
@[to the]@|@[la-]@
@[when / at the time that...]@|@[kshe-]@
@0@|@efes@
@1@|@ah'at, eh'ad@
@10@|@asara, eser@
@100@|@me'a@
@1000@|@elef@
@10000@|@aseret alafim@
@10th@|@asiri, asirit@
@11@|@ah'ad-asar, ah'at-esre@
@11th@|@ha'ah'ad-asar, ha'ah'at-esre@
@12@|@shneym-asar, shteym-esre@
@12th@|@hasheym-eser, hashteym-eser@
@13@|@shalosh-esre, shlosha-asar@
@14@|@arba"-esre, arba"a-asar@
@15@|@h'amesh-esre, h'amisha-asar@
@16@|@shesh-esre, shisha-asar@
@17@|@shiv"a-asar, shva-esre@
