@English@|@Karakhanid@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1-year-old kid@|@çepiš@
@2-year-old colt@|@syp@
@a backbiting man@|@çamhuq@
@a belt buckle@|@tuš@
@a big snake@|@böke@
@a bird like the turtle dove@|@tartar@
@a castrated camel@|@atan@
@a cloven hoof@|@syðyrhaq@
@a cross-bred horse@|@arqun@
@a curved knife@|@egdü@
@a gift of food to someone@|@kevšeng@
@a gift without a return gift@|@singüt@
@a k. of basket for vegetables@|@kürin@
@a k. of big river@|@taðhun@
@a k. of box@|@kiz@
@a k. of musical instrument@|@qopuz@
@a k. of plant@|@al-mahrut, tahna java@
@a k. of striped cloth@|@kemek@
@a k. of upper clothes@|@qars@
@a k. of water bird@|@juhaq@
@a k. of weasel@|@arhun@
@a little@|@az@
@a louse or tick full of blood@|@qumšuj@
@a mass of hair@|@jap, japaqu, japhut@
@a medicinal shrub@|@angduz@
@a padded garment@|@çaphut@
@a relative by marriage@|@tüngür@
@a restive horse@|@salha@
@a small fur animal@|@sohur@
@a spout of an ewer@|@tütek@
@a stinging insect@|@qatquç@
@a thick quilted coat@|@jalma@
@a tunic@|@ber-tü@
@a turn@|@sab@
@a well-bred fast horse@|@kevel, kevil@
@a young calf@|@torpy@
@abandon@|@qoð-@
@above@|@joqaru@
@acacia@|@qaraqan@
@acid@|@açyh, ekšig@
@add to@|@taq-@
@addition@|@sep@
@additionally@|@taqy@
@adopted son@|@juvha@
@adze@|@kerki@
@affair@|@iš küðük@
@affair with no way out@|@samurtuh@
@afraid@|@ejmen-@
@after@|@song@
@afterwards@|@basa@
@again@|@jana@
@age@|@jylqy@
@alive@|@tirig@
@all@|@barça, qop@
@allotment@|@teg-ir@
@also@|@bile@
@an angle from the main road@|@qajyh@
@an animal of the rat family@|@küzen@
@an earthenware dish@|@tahara@
@an ending of the 2d person@|@-ng@
@an object of hope@|@umdu@
@ancient@|@eski@
@anger@|@öç, öfke, öpke@
@angle@|@müngüš@
@ankle joint@|@ašuq@
@ankle-bone@|@topyq@
@ant@|@çümeli, qarynçaq@
@anything hard@|@iðrig@
@appointed time@|@tyðyn@
@apricot@|@erük@
@archenemy@|@jahy, qyr@
@archness@|@tögün@
@area covered with stones@|@saj@
@arm@|@qary, qol, qol@
@armour@|@jaryq, qujaq@
@arrow@|@oq@
@Artemisia abrotonon@|@jez, jiz@
@ashes@|@kül, qoh@
@at peace@|@enç@
@attack@|@qun-@
@aunt@|@apa, epe@
@autumn@|@küz@
@awake@|@oðuh@
@aware@|@saq@
@axe@|@baldu@
