@English@|@Gwichin@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@after@|@tå'êê@
@animals@|@Nin@
@annual gathering@|@åanatr'aadal@
@April@|@Sreenanh dzhirh thoh@
@Are you cold?@|@Iindlùu lèe@
@at home@|@shizhehk'oo@
@August@|@Nin dichádh zrèe'@
@Aurora borealis@|@Yikêîh åithithik'an@
@be quiet (pl)@|@dàadhohnùu@
@be quiet (sg)@|@dàadhiinùu@
@Bear Root@|@Treh@
@bear roots are growing@|@trih nahshìi@
@before@|@yeet'yee@
@belt@|@thoh@
@birds fly back@|@nè'tandijyaa@
@Blackberry@|@Dineech'ùh@
@Blueberry@|@Jàk zheii@
@camping@|@dinjii nìihàa@
@Christmas Day@|@Drin Tsal@
@Clouds@|@K'oh@
@club@|@khàh@
@come here@|@aanàii@
@come here all of you!@|@tthak ts'àt aanàii!@
@Cranberry@|@Natå'at@
@day@|@Drin@
@December@|@Khàhzhak zrèe@
@Do you (pl) understand me?@|@At'alèe shadòhtth'àk?@
@Do you (sing) understand me?@|@At'alèe shidìnittha'àk?@
@Do you have firewood?@|@Troo lèe nidi'ìi?@
@Do you have matches?@|@Kwàn' lèe nidi'ìi?@
@Do you know?@|@At'alèe gàhnàdandàii?@
@Do you see any sheep?@|@Divii lèe nah'ìi?@
@Do you see any wolf?@|@Lèe zhòh nah'ìi?@
@Do you want tea?@|@Lìdii lèe niidhàn?@
@Do you want water?@|@Chuu lèe niidhàn?@
@dogs barking@|@åâîî yichii@
@Don't@|@ànah!@
@during that time@|@vananh@
@eat!@|@ii'àa!@
@eight@|@nihk'iidaang@
@enough!@|@at'at!@
@Fall@|@Khaiints'àn'@
@February@|@Sree Vananh Dak Na'eeda'aa@
@Fog@|@Atr'àå@
@food@|@shìh@
@four@|@dââ, daang@
@Friday@|@Niht'yeedi'ee drin@
@from@|@ts'àt@
@give me the baby@|@bèebii shintl'ànahchìi@
@give me the blanket@|@ts'át shintl'ánahchùu@
@give me the bullets@|@diik'ee chì' shintl'ànìlìin@
@give me the gun@|@diik'ee shintl'àná'àii@
@give me the knife@|@srii shintl'ànà'àii@
@give me the moccasins@|@kaiitrih shintl'ànìlíi@
@give me the paper@|@dìnehtl'eh shintl'ànahchùu@
@Give me the tea (in a cup)@|@lìdii shintl'ànàkàii@
@give me the water (in a glass)@|@chuu shintl'ànàkàii@
@give the rock@|@chii shintl'ànà'àii@
@go and get the rock@|@chii kánàhèe@
@go and get the salt@|@lìsel kànàhèe@
@go and get the tea@|@lìdii kànáhèe@
