@English@|@Yoruba@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a@|@enikan, kan@
@a little@|@dí@
@a name@|@òjó@
@abandon@|@fí sílê, kõ sílê@
@abbreviation@|@àkékúrú, àkõmõnà, ìgékúrú, ìÿëkù@
@abdomen@|@ikùn@
@abduction@|@àgbésálô, ìrélô@
@aberration@|@àsìse@
@abide@|@dè@
@ability@|@agbára, óye@
@ablaze@|@gbiná, jó-wòwò@
@able@|@lágbára, le@
@abnormal@|@àbàmì, ÿàÿèjì@
@aborigine@|@ômô-ìbílê, onílê@
@abortion@|@ìÿënú, ìÿëyún, ÿíÿë oyún@
@about@|@létí, ní pasê, nípa ti, nítòsí, yíká@
@above@|@ga jùlô, lérí, põ jìlô@
@abroad@|@dálê, kale, lëhìn odi, lóde@
@abrupt@|@láìmõtëlê, lójijì@
@abscess@|@àléfö, eéwo, ìkójopõ, ôyún@
@absence@|@àìsi, plé@
@absent@|@kò sí, kò wá, ÿàìwá@
@absolutely@|@pátápátá@
@abstract@|@àfòyemõ@
@absurd@|@ÿàìbögbönmu@
@abundance@|@õpõ@
@abundant@|@jiwinni, löpõlôpõ@
@abuse@|@àbùkù, èébu, ìlò lönà àìtö, ìlòkulò@
@abusive@|@èébú, ti èébú@
@academic@|@àjemö akadá@
@academy@|@ilê êkö gíga, ilé êkö ìjìnlê@
@acceleration@|@àyára@
@accelerator@|@ohun ìmúyára@
@accent@|@àmì ohùn@
@acceptable@|@gbígbà, títëwögbà@
@acceptance@|@ìtëwögbà@
@access@|@àyè, õnà@
@accessible@|@fún láyè@
@accessories@|@àwôn èròjà@
@accessory@|@èròjà@
@accident@|@àdébá, àgbákó, bá, èÿì, já@
@accidental@|@bá, jà, kíkàgbákò@
@accidentally@|@láìròtëlê@
@accomodation@|@àyè, ilé gbígbé@
@accompaniment@|@àjôrìnpõ, ìbánikëgbë@
@accompany@|@bá, bá-këgbë, bá-lô, bá-rìn@
@accomplish@|@ÿe-tán, ÿe àÿepé, ÿe parí@
@accomplishment@|@àÿetán, ìÿeparí, ìÿepé@
@according@|@bí, gëgëbí  (gë-gë bí)@
@accordingly@|@bëê gëgë, nítorínáà@
@accordion@|@dùrù  àfôwölé, dùrù àfôwötê@
@account@|@àlàyé, àlàyé, ìkàsí, ìÿirò, owó àpamö@
@accountable@|@dálëbi, ÿe ìkàsí@
@accountant@|@akõwé owó, oníÿirò@
@accrue@|@dá-lé, èlé, èrè@
@accumulate@|@dá-lé, kójô@
@accumulation@|@àdálé, àkànmö, ìkójôpõ@
