@English@|@Esperanto@
@Author name@|@Gary Mickle@
@Font@|@Arial\12\Arial\12@
@#NAME?@|@#NAME?, #NAME?@
@24-hour period@|@diurno, tagnokto@
@a@|@en, iu, po-@
@a day@|@en tago@
@a few@|@iuj, kelkaj, kelke da@
@a few minutes@|@momenton@
@a little@|@iom, iomete@
@a long time@|@longe@
@a lot@|@multe@
@a lot of@|@multa, multe da@
@a moment@|@momenton@
@a native of@|@devena de@
@a posteriori@|@aposteriora@
@a priori@|@apriora@
@a thing that needs to be done@|@farendaĵo@
@a while@|@mallongan tempon@
@a.m.@|@antaŭtagmeze@
@aa lava@|@bloklavo@
@Aachen@|@Aĥeno, Akeno@
@aardvark@|@orikteropo@
@Aaron@|@Arono@
@aback@|@malantaŭen, surprize@
@abacus@|@abako@
@abaft@|@pobe, poben@
@abalone@|@haliotiso@
@abandon@|@delasi, forlasi, rezigni, senĝeneco@
@abandon oneself@|@fordoni sin@
@abandoned@|@malmorala, senhonta@
@abandonment@|@cedo, forlasiteco, forlaso, natureco, senafekteco@
@abase@|@humiligi, malaltigi, malrespektigi@
@abase oneself@|@humiliĝi@
@abasement@|@humiligo, humiliĝo, sinhumiligo@
@abasement(2)@|@malaltigo, malrespektigo@
@abash@|@hontigi, superblufi@
@abashed@|@sinĝena@
@abashment@|@embaraso, honto@
@abatable@|@malpliigebla@
@abate@|@kvietiĝi, malfortiĝi, malplifortiĝi@
@abate(2)@|@malkreski, malpliigi, malpliiĝi@
@abatement@|@malkresko, malpliiĝo, rabato@
@abattoir@|@buĉejo@
@abbacy@|@abata jurisdikcio, abateco@
@abbatial@|@abata, abateja@
@abbess@|@abatino@
@abbey@|@abatejo@
@abbot@|@abato@
@abbreviate@|@mallongigi, malplilongigi@
@abbreviation@|@abreviacio, mallongigo@
@ABC@|@aboco@
@ABC book@|@alfabetumo@
@abdicate@|@abdiki, deŝovi@
@abdicate to@|@ĵeti sur@
@abdication@|@abdiko@
@abdomen@|@abdomeno, subventro, ventro@
@abdominal@|@abdomena, subventra, ventra@
@abduct@|@forrabi, homrabi@
@abduction@|@homrabo@
@abductor@|@abduktoro, homrabanto@
@abeam@|@transversaŝipe@
@abed@|@lite@
@abele@|@blanka poplo@
@aberrance@|@devio, devojiĝo@
@aberrant@|@devianta, devojiĝanta@
@aberration@|@aberacio, devio, eraro, mispaŝo@
@abet@|@asisti, inciti, subteni@
@abetment@|@kompliceco@
@abettor@|@komplico, kunkulpulo@
@abhor@|@abomeni@
@abhorrence@|@abomeno, teruregaĵo, terurego@
@abhorrent@|@abomeninda, naŭza@
@abide@|@atendi, elporti, ĝisatendi, persisti, suferi@
@abide by@|@direkti sin laŭ, konformiĝi al@
@abiding@|@daŭra, restanta@
@ability@|@kompetenteco, povo, taŭgeco@
@ability to pay@|@solventeco@
@ability(2)@|@kapableco, kapablo, kvalifiko@
@abiogenesis@|@abiogenezo@
@abject@|@malestiminda, malnobla, mizera@
@abjection@|@malnobleco@
@abjuration@|@abĵuro@
@abjure@|@abĵuri, forlasi ĵure@
@Abkhazia@|@Abĥazio@
@Abkhazian@|@abĥaza, abĥazo@
@ablative@|@ablativo@
@ablaze@|@arda, flamanta@
@able@|@kapabla, kompetenta, kvalifikita@
@-able@|@ebla, inda@
@able man@|@bravulo@
@able to@|@pova@
@able-bodied@|@sankorpa@
@abloom@|@floranta@
@ablution@|@rita sinlavo@
@abnegate@|@abĵuri, abnegacii@
@abnegation@|@abnegacio, sinofero@
@abnormal@|@abnorma, nenormala, neregula@
@abnormal psychology@|@psikopatologio@
@abnormality@|@nenormalaĵo, nenormaleco@
@abnormality(2)@|@abnormaĵo, abnormeco, nereguleco@
@abnormity@|@abnormaĵo, abnormeco, anomalio@
@aboard@|@enŝipe, enŝipiĝinta@
@abode@|@domicilo, loĝejo, loĝloko, restadejo@
@abolish@|@aboli, abolicii, nuligi@
@abolition@|@abolicio, abolo, forigo, nuligo@
@abolitionism@|@kontraŭsklaveca movado@
@abominable@|@abomeninda, naŭza@
@abominate@|@abomeni@
@abomination@|@abomenaĵo, abomenindaĵo, abomeno, teruregaĵo@
@aboriginal@|@aborigeno, enlanda, indiĝena, indiĝeno, origina@
@aboriginal(2)@|@indiĝena aŭstraliano, indiĝenaŭstralia@
@aborigine@|@indiĝena aŭstraliano, indiĝenaŭstralia@
@abort@|@fiaski, fiaskigi, forvelki, malsukcesigi@
@abort(2)@|@aborti, abortigi, malsukcesi@
@abortion@|@abortigo, aborto, fiasko, malsukceso@
@abortionist@|@abortigisto@
@abortive@|@fiaska, malsukcesa, senutila, vana@
@abound@|@abundi, superabundi, svarmi@
@abounding in water@|@akvoriĉa@
@about@|@ĉirkaŭ, cirkulanta, koncerne, pri, proksimume@
@above@|@norde de, super, supre, supren, suprestaranta@
@above all@|@antaŭ ĉio, precipe, unualoke@
@above(2)@|@ĉisupre, pli ol, supre menciita, supre nomita@
@above-board@|@honesta, malkaŝa, sincera@
@above-mentioned@|@supre menciita, supre nomita@
@abrade@|@abraziiĝi, raboti, smirgi@
@Abraham@|@Abrahamo@
@abrasion@|@abrazio, raboto, skrapvundo@
@abrasive@|@frotpuriga, frotpurigilo, smirga@
@abreact@|@forreagi@
@abreast@|@flankon ĉe flanko, iranta sampaŝe@
@abridge@|@limigi, mallongigi, malplilongigi@
@abridgement@|@resumo@
@abroad@|@alilande, cirkulanta, ekstere, eksterlande@
@abrogate@|@aboli, abolicii, nuligi@
@abrogation@|@abolicio, abolo, abrogacio, nuligo@
@abrupt@|@abrupta, bruska, kruta, neatendita, subita@
@abruptly@|@abrupte@
@abscess@|@abceso, absceso@
@abscissa@|@absciso@
@abscond@|@forkuri@
@abseil@|@absejli@
@absence@|@foresto, manko@
@absence of mind@|@distriĝemo, distriĝo, distriteco@
@absent@|@foresta, forestanta, malasidua, mankanta@
@absent oneself@|@foriri, forresti@
@absentee@|@forestanto@
@absenteeism@|@malasiduismo@
@absent-minded@|@distriĝema, distrita, spiritforesta@
@absinthe@|@absintaĵo, absintlikvoro, artemizio@
@absolute@|@absoluta, kompleta, nelimigita, nepra, senlima@
@absolute necessity@|@nepreco@
@absolute rule@|@aŭtokratio@
@absolute ruler@|@aŭtokrato@
@absolutely@|@absolute, efektive, nepre@
@absolution@|@absolvo, pardono@
@absolutism@|@absolutismo@
@absolve@|@absolvi@
@absorb@|@absorbi, disponi, sorbi@
@absorbed in@|@absorbita de@
@absorbent@|@absorba, absorbilo, sorba@
@absorbent; blotter@|@sorbilo@
@absorbing@|@fascina, interesega@
@absorption@|@absorbo@
@abstain@|@abstini, deteni sin, sindeteni@
@abstain from@|@deteni sin de@
@abstemious@|@sobra@
@abstention@|@sindeteno@
@abstinence@|@abstinenco, sindeteno@
@abstinence; abstention@|@abstinado@
@abstract@|@deteni, konkludi, resumi, resumo, teoria@
@abstract(2)@|@abstrakta, abstrakti, dedukti, forpreni@
@abstraction@|@abstraktaĵo, ŝtelo@
@abstruse@|@mistera@
@absurd@|@absurda, sensenca@
@absurdity@|@absurdaĵo, absurdeco, sensenceco@
@abundance@|@abundeco, abundo, riĉeco, sufiĉego@
@abundant@|@abunda, sufiĉega@
@abundantly@|@abunde@
@abuse@|@malbona, malbonaĵo, turmentado, turmenti@
@abuse(2)@|@insultado, insulti, insulto, misuzi, misuzo@
@abuse(3)@|@mistrakti, ofendi, ofendo, traktado@
@abusive@|@ofenda@
@abut@|@limtuŝi@
@abutment@|@abutmento, murapogilo, subtenaĵo@
@abysmal@|@abisma, nesondebla, senespera, terura, vastega@
@abyss@|@abismo, profundegaĵo@
@Abyssinia@|@Abisenio, Etiopio@
@Abyssinian@|@abisena, abiseno, etiopo@
@acacia@|@akacio@
@academic@|@universitata diplomito, universitata profesoro@
@academic high school diploma@|@abiturienta diplomo@
@academic(2)@|@akademia, studento, universitata@
@academician@|@akademiano@
@academy@|@akademio@
@academy of music@|@konservatorio@
@acanthus@|@akanto@
@accede@|@aniĝi, konsenti, membriĝi@
@accelerate@|@plirapidigi, plirapidiĝi, rapidigi@
@accelerate(2)@|@akceli, akceliĝi, plifruigi@
@acceleration@|@akceliĝo, akcelo, plirapidiĝo, plirapidigo@
@accelerative@|@akcelanta@
@accelerator@|@akcelilo, gaspedalo@
@accelerator pedal@|@akcelilo, gaspedalo@
@accent@|@akcenti, akcento, akĉento, emfazi@
@accent mark@|@supersigno@
@accent(2)@|@emfazo, prononcmaniero@
@accentuate@|@akcenti, emfazi@
@accept@|@akcepti@
@acceptability@|@akceptindeco@
@acceptable@|@akceptebla, akceptinda@
@acceptance@|@akcepto@
@acceptation@|@norma vortsignifo@
@accepted@|@akceptita, ĝenerale akceptita@
@acceptor@|@akceptanto@
@access@|@alveturejo, atako, eniro, impulso@
@access road@|@alirvojo, aŭtostrada alveturejo@
@accessible@|@alirebla, atingebla, impresebla@
@accession@|@akiraĵo, aliĝo, enoficiĝo, plimultigo, surtroniĝo@
@accessories@|@akcesoraĵoj@
@accessory@|@aksesoraĵo, ekstraĵo, flankafero, negravaĵo@
@accessory matter@|@flankaĵo@
@accessory(2)@|@komplico, kunkulpa, kunkulpulo@
@accessory(3)@|@akcesora, akcesoraĵo, aneksa@
@accidence@|@hazardo, morfologio@
@accident@|@akcidento@
@accident risk@|@akcidentrisko@
@accidental@|@hazarda, kroma, pretervola@
@accident-prone@|@akcidentema@
@acclaim@|@aklami, aklamo, aplaŭdi, aplaŭdo, aprobo@
@acclamation@|@aklamo, aplaŭdado, aplaŭdo@
@acclimate@|@alklimatiĝi@
@acclimatisation@|@alklimatiĝo@
@acclimatise@|@aklimatizi, alklimatiĝi@
@acclivity@|@deklivo@
@accolade@|@vinkulo@
@accommodate@|@adapti, fari servon, fini, gastigi, helpi@
@accommodating@|@cedema, helpema, konsentema@
@accommodating ladder@|@ŝnurŝtupetaro@
@accommodation@|@akomodiĝo, akomodo, aranĝo, interkonsento@
@accommodation(2)@|@enloĝigo, loĝejo, loĝigo, tranoktejo@
@accommodation(3)@|@cedemo, kompromiso, konsentemo@
@accomodate@|@akomodi, doni loĝejon@
@accompaniment@|@akompanado, akompano@
@accompanist@|@akompananto@
@accompany@|@akompani, iri kun@
@accompanying@|@aldonita@
@accompanying; incidental@|@akompana@
@accomplice@|@komplico, kunkulpulo@
@accomplish@|@atingi, efektivigi, elfari, plenumi@
@accord@|@akordo@
@according to@|@depende de, laŭ@
@according to plan@|@laŭplana@
@accordingly@|@laŭe@
@accordion@|@akordiono@
@accordionist@|@akordionisto@
@account@|@konto, raporto@
@account book@|@kaslibro@
@account number@|@kontonumero@
@accountancy@|@kontoscienco@
@accountant@|@kontekspertizisto, kontrevizoro@
@accredit@|@akrediti@
@accumulate@|@akumuli@
@accumulator@|@akumulatoro, akumulilo@
@accuracy@|@akurateco, ekzakteco@
@accurate@|@akurata, preciza@
@accusation@|@akuzaĵo, akuzo, denunco, kulpigo@
@accusative@|@akuzativo@
@accusatory@|@akuza, kulpiga@
@accuse@|@akuzi, kulpigi, plendi kontraŭ@
@accuse of@|@akuzi pri, kulpigi pri@
@accused@|@akuzito, kulpigito@
@accuser@|@akuzanto, denuncanto@
@accustom@|@kutimigi@
@accustom oneself@|@kutimiĝi@
@accustomed to@|@kutimita@
@ace@|@aso@
@acerbic@|@acerba@
@acetate@|@acetato@
@acetic acid@|@aceto@
@acetone@|@acetono@
@acetylene@|@acetileno@
@ache@|@dolori@
@Acheron@|@Aĥerono, Akerono@
@achieve@|@efektivigi, elfari, plenumi, presti@
@achievement@|@atingo@
@Achilles@|@Akilo@
@Achilles' heel@|@aĥila kalkano@
@Achilles' tendon@|@aĥila tendeno@
@acid@|@acida, acido@
@ack-ack@|@ĉrdefenda artilerio@
@acknowledge@|@agnoski@
@acknowledgement@|@agnosko@
@acme@|@kulmino@
@acne@|@akneo, dartro, komedono@
@acolyte@|@akolito@
@aconite@|@akonito@
@acorn@|@glano@
@acoustic@|@akustika@
@acoustics@|@akustiko@
@acquaint@|@konatigi@
@acquaintance@|@konateco, konato@
@acquiesce@|@rezignacii@
@acquiescence@|@malprotesto, rezignemo@
@acquire@|@akiri@
@acquire a doctor's degree@|@doktoriĝi@
@acquired@|@lernita@
@acquisition@|@aĉetado, akirado, akiraĵo, akiro@
@acre@|@akreo, akro@
@acrid@|@akra@
@acrobat@|@akrobato@
@acrobatic@|@akrobata@
@acrobatics@|@akrobatado@
@acronym@|@akronimo, siglo@
@Acropolis@|@Akropolo@
@across@|@trans@
@across from@|@kontraŭ, vidalvide@
@across the mountains@|@transmonta@
@act@|@agi, ago, akto, aktori, efiki, fari, faritaĵo@
@act as a middleman@|@makleri@
@act as agent@|@peri@
@act as patron@|@patroni@
@act crazy@|@frenezi@
@act of cruelty@|@kruelaĵo@
@act of heroism@|@heroaĵo@
@act of prowess@|@prodaĵo@
@act wise@|@saĝumi@
@act; certificate@|@akto@
@actinium@|@aktinio@
@action@|@agado, ago, faro@
@action committee@|@agitgrupo@
@action group@|@agitgrupo@
@activate@|@aktivigi@
@active@|@agema, aktiva@
@active voice@|@aktiva voĉo@
@activist@|@agitanto@
@activity@|@agado, agemo, aktiveco, vigleco@
@actor@|@aktoro@
@actress@|@aktorino@
@actual@|@efektiva, reala@
@actually@|@efektive@
@actuarial table@|@vivtabelo@
@actuary@|@aktisto, aktuario, asekura statistikisto@
@acupuncture@|@akupunkturo@
@acupuncturist@|@akupunkturisto@
@acute@|@akra, akuta@
@ad@|@anonco@
@ad hoc@|@specialcela@
@adagio@|@adaĝo@
@Adam@|@Adamo@
@Adam's apple@|@gorĝnodo@
@adapt@|@adapti, alaranĝi@
@adaptability@|@adaptiĝemo, alkonformiĝemo@
@adaptation@|@adaptiĝo, adapto, alkonformiĝo, alkonformigo@
@adapted@|@adaptita@
@adapter@|@adaptinto@
@add@|@aldoni, aligi, alkalkuli, alkonstrui@
@add together@|@totaligi@
@add up@|@adicii, sumigi@
@add(2)@|@adicii, postmeti@
@added@|@aldonita@
@Addis Ababa@|@Adisabebo@
@addition@|@adicio, aldono@
@additional@|@cetera, kroma, plua@
@additional payment@|@krompago@
@address@|@adresi, adreso, alparoli@
@address list@|@adresaro@
@addressee@|@adresato, adresito@
@addressing machine@|@adresiga maŝino, adresigilo@
@addressograph@|@adresiga maŝino@
@Adelaide@|@Adelaido@
@Aden@|@Adeno@
@adept@|@adepto@
@adequacy@|@adekvateco@
@adequate@|@adekvata, laŭcela@
@adhere to@|@esti adepto de@
@adherents@|@anaro, partianoj@
@adhesion@|@adhero@
@adhesive tape@|@glubendo@
@adjacent@|@apuda, najbara, tuŝanta@
@adjectival@|@adjektiva@
@adjective@|@adjektivo@
@adjoin@|@aligi, kuntuŝiĝi, limtuŝi@
@adjoining@|@tuŝanta@
@adjudication@|@juĝado@
@adjunct@|@komplemento@
@adjust@|@alaranĝi, alĝustigi, ĝustigi, reĝustigi@
@adjust(2)@|@adapti, adaptiĝi@
@adjustable wrench@|@ŝraŭbŝlosilo@
@adjustment@|@adaptiĝo, alĝustigo@
@adjutant@|@adjutanto@
@adm.of the last sacraments@|@sanktoleado@
@administer@|@administri@
@administer the last sacrament@|@sanktolei@
@administration@|@administrado, administrantaro, administro@
@administration(2)@|@administracio, administristaro@
@administrative@|@administra@
@administrative district@|@kantono@
@administrator@|@administristo@
@admirable@|@admirinda@
@admiral@|@admiralo@
@admiralty@|@admiralitato@
@Admiralty Islands@|@Admiraltoj@
@admiration@|@honorigo@
@admire@|@admiri@
@admirer@|@admirantino, admiranto@
@admiring@|@admira@
@admission ticket@|@enirbileto@
@admit@|@allasi, koncedi, konfesi@
@admix@|@almiksi@
@admonish@|@admoni@
@admonition@|@admono@
@ado@|@bruo@
@adobe@|@adobo@
@adolescent@|@adoleskantino, adoleskanto@
@Adonis@|@Adono@
@adopt@|@adopti, alpreni@
@adopted@|@adoptita@
@adoption@|@adoptado, adopto@
@adoptive child@|@adoptito, adoptulo@
@adoptive parents@|@adoptaj gepatroj@
@adorable@|@adorinda@
@adoration@|@adorado, adoro@
@adore@|@adori, amegi@
@adored one@|@adoratino@
@adorer@|@adorantino, adoranto@
@adorn@|@dekori, ornami@
@adorned@|@ornamita@
@adornment@|@ornamaĵo@
@adrenaline@|@adrenalino@
@Adriatic@|@Adriatiko@
@Adriatic Sea@|@Adriatiko@
@adult@|@plenaĝa, plenaĝulo, plenkreska, plenkreskulo@
@adult(2)@|@adolto@
@adulterate@|@adulteri@
@adulterer@|@adultulo@
@adulteress@|@adultulino@
@adultery@|@adulto, sangadulto@
@advance@|@aliri, almarŝi, pliproksimiĝi, progresigi@
@advance(2)@|@atentigi pri, fruigi@
@advantage@|@avantaĝo, utilo@
@advantageous@|@favora, utila@
@advent@|@advento@
@adventure@|@aventuro@
@adventurer@|@aventuristo, aventurulo@
@adventurous@|@aventura, aventurema, aventurriĉa@
@adverb@|@adverbo@
@adverbial@|@adverba@
@adversary@|@adversulo, antagonisto, kontraŭulo@
@adverse@|@adversa@
@advertise@|@anonci, propagandi, reklami@
@advertisement@|@anonco, reklamo@
@advertiser@|@anoncanto, poranonca gazeto@
@advertising@|@reklamado@
@advertising pillar@|@afiŝkolono@
@advice@|@konsilo@
@advisable@|@konsilinda@
@advise@|@avizi, konsili@
@advise against@|@dekonsili, malkonsili@
@advocacy@|@proparolo@
@advocate@|@advokato, pledi por, proparoli@
@Adzharia@|@Aĝario@
@Aegean Sea@|@Egeja Maro@
@Aegir@|@Egiro@
@Aeneas@|@Eneo@
@affability@|@afableco@
@affable@|@afabla@
@affair@|@afero@
@affect@|@influi, kortuŝi@
@affect; move@|@afekcii@
@affectation@|@afektado, afekto@
@affected@|@afekta, afektema, precioza@
@affected with@|@suferanta pro@
@affected; moved@|@afekciita@
@affection@|@afekcio, korinklino@
@affectionate@|@karesema@
@affiliate@|@filiigi, filiiĝi, filio@
@affinity@|@afineco@
@affirmative@|@jesa@
@affix@|@afikso, alfiksi, fiksi, firmigi, postmeti@
@afflict@|@aflikti, plagi, tristigi@
@afflicted@|@afliktita@
@afflicted with@|@suferanta pro@
@affliction@|@afliktado, afliktiĝo, aflikto@
@affronted@|@ofendita@
@Afghan@|@afgana, afgano@
@Afghan woman@|@afganino@
@Afghanistan@|@Afganio@
@afraid@|@malkuraĝa, tima, timema, timigita@
@Africa@|@Afriko@
@African@|@afrika, afrikano@
@African marigold@|@tageto@
@Afrikaans@|@afrikansa, afrikansa lingvo@
@Afrikaans language@|@afrikansa lingvo@
@Afrikander@|@afrikanso@
@Afrikaner@|@afrikanso@
@Afro-Asian@|@afrikazia@
@after@|@malantaŭ, post, post kiam@
@afterbirth@|@postnaskaĵo@
@afternoon@|@posttagmezo@
@aftershave@|@postraza ŝmiraĵo@
@after-treatment@|@postoperacia kuracado@
@afterwards@|@poste@
@afterword@|@postparolo@
@again@|@denove, ree@
@against@|@kontraŭ@
@against one's will@|@kontraŭvole@
@Agamemnon@|@Agamemno@
@agar@|@agaragaro@
@agar-agar@|@agaragaro@
@agaric@|@agariko@
@agate@|@agato@
@agave@|@agavo@
@age@|@aĝo, epoko@
@aged@|@aĝa@
@agency@|@agentejo, agenturo@
@agenda@|@agendo, tagordo@
@agent@|@agento, peranto@
@agglomerate@|@aglomeri@
@agglomeration@|@aglomeraĵo@
@agglutinating@|@aglutina@
@aggregate@|@agregaĵo, agregato@
@aggress@|@agresi@
@aggression@|@agreso@
@aggressive@|@agresa, agresema, agresiva@
@aggressive(2)@|@ataka, atakema, ofensiva@
@aggressor@|@atakanto@
@agitate@|@agiti@
@agitated@|@ekscitita@
@agitation@|@agitado, agitiĝo, agito@
@agitational@|@agita@
@agitator@|@agitanto@
@agony@|@agonio, angoro@
@agora@|@agoro@
@agoraphobia@|@agorafobio@
@agr‚g‚ [French academ.degree]@|@agregacio@
@agrarian@|@agrikulturisto@
@agree@|@akordi, interakordi, konsenti@
@agree (upon)@|@interkonsenti@
@agree to@|@konsenti pri@
@agreeable@|@agrabla, plezura@
@agreeably@|@agrable@
@agreed@|@konsentite@
@agreement@|@agordo, akordo, interkonsento, konsento@
@agricultural@|@agrara@
@agricultural product@|@agrikultura produktaĵo@
@agricultural school@|@agrikultura lernejo@
@agriculture@|@agrikulturo, agrokulturo@
@agronomic@|@agronomia@
@agronomist@|@agronomo@
@agronomy@|@agronomio@
@ah@|@aĥ, ha@
@aha@|@aha, ha@
@ahead@|@antaŭen@
@ahead; formerly@|@antaŭe@
@ahoy@|@hoj@
@ai@|@akeo, trifingra bradipo@
@aid@|@asisti, helpanto, helpi, helpilo, helpo@
@aide@|@asistanto, helpistino, helpisto@
@aide-de-camp@|@adjutanto@
@AIDS@|@aideso, aidoso@
@aim@|@celi, celo, ekceli, klopodi, peni@
@aim for@|@alceli@
@air@|@ĉro, ario@
@air conditioner@|@klimatizilo@
@air conditioning@|@klimatizo@
@air cushion@|@ĉrkuseno@
@air force@|@flugarmeo@
@air gun@|@ĉrpafilo@
@air out@|@ĉrumi@
@air squadron@|@ĉreskadro@
@air-balloon@|@ĉrostato@
@air-conditioned@|@ĉrklimatizita, klimatizita@
@aircraft@|@flugmaŝino@
@air-defence@|@ĉrdefendo@
@airfield@|@ĉrodromo@
@air-filter@|@ĉrfiltrilo@
@air-fleet@|@ĉrfloto@
@air-grid@|@ĉruma krado@
@air-gun@|@ĉrpafilo@
@airlift@|@ĉrponto@
@airline@|@ĉrlinio@
@airmail@|@ĉrpoŝto@
@air-mail stamp@|@ĉrpoŝtmarko@
@airplane@|@ĉroplano, avio@
@air-pocket@|@ĉrkavo@
@air-pollution@|@ĉrmalpurigo@
@airport@|@ĉrohaveno, flughaveno@
@air-pressure@|@ĉrpremo@
@air-resistance@|@ĉra rezisto@
@airs@|@imponeco@
@air-ship@|@ĉrŝipo@
@airsick@|@ĉrmalsana@
@airsickness@|@ĉrmalsano@
@air-valve@|@ĉrklapo@
@airway@|@ĉrvojo@
@airy@|@ĉra@
@Aix-la-Chapelle@|@Aĥeno, Akeno@
@ajar@|@malfermetita@
@Ajax@|@Ajaco@
@alabaster@|@alabastra, alabastro@
@alarm@|@alarmi, alarmilo, alarmo, alarmsignalo@
@alarm clock@|@vekhorloĝo@
@alarm-bell@|@alarmsonorilo@
@alarming@|@alarma@
@alarm-signal@|@alarmsignalo@
@alas@|@ho ve@
@alb@|@albo@
@Albania@|@Albanio@
@Albanian@|@albana, albana lingvo, albano@
@Albanian language@|@albana lingvo@
@Albanian woman@|@albanino@
@albatross@|@albatroso@
@Albigensian@|@albigenso@
@albino@|@albino@
@Albion@|@Albiono@
@album@|@albumo@
@albumin@|@albumino@
@alchemist@|@alĥemiisto@
@alchemy@|@alĥemio, alkemio@
@alcohol@|@alkoholo@
@alcoholic@|@alkohola, alkoholentenanta, alkoholulo@
@alcoholic beverage@|@alkoholaĵo@
@alcoholic beverages@|@alkoholaĵoj@
@alcoholic content@|@alkoholtitro@
@alcoholic(2)@|@drinkemulo, drinkulo@
