@English@|@Tagalog@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@...than...@|@losing streak@
@...the airport?@|@.. airport ?@
@...the bus station?@|@...istasyon ng bus?@
@...the train station?@|@...istasyon ng tren@
@...the youth hostel?@|@...hostel?@
@...wet market?@|@...palengke@
@______ is fun@|@_____ ay nakakalibang.@
@1:00 AM@|@Ala una ng umaga@
@1:30 AM@|@Ala una i medya ng umaga@
@12:00 noon@|@Alas dose ng tanghali@
@2:00 PM@|@Alas dos ng hapon@
@3:00 PM@|@Alas tres ng hapon@
@6:00 PM@|@Ala sais ng gabi@
@7:30 AM@|@Ala siyete i medya ng umaga@
@77 white sharks@|@pitumput-pitong puting pating@
@a@|@isá, sa, sa loób@
@a basketful@|@basket@
@A beer please.@|@Isang beer please.@
@A bottle please@|@Isang bote please@
@a bunch@|@bigkis@
@a candle each@|@tig-isang kandila@
@a few@|@ilán@
@a form of pelota game with bets@|@jai alai@
@a girl turning into a lady@|@magdadalaga@
@a glass@|@baso@
@a kind of pastry@|@ensaymada@
@a little@|@konti lang@
@a lot@|@Madami@
@a love story@|@isang kwento ng pag-ibig@
@a pinch@|@kurot@
@a present brought home@|@may uwi@
@a promise to one's self or somebody@|@panata@
@a second@|@iglap@
@a small house@|@dampa'@
@A table for one person@|@Mesa para sa isa@
@a while ago@|@kanina@
@abaca@|@abaká@
@aback@|@sa gawíng likod, sa likód@
@abacus@|@bilangan ng insík@
@abaft@|@sa gawíng hulí, sa gawíng likod@
@abandon@|@hwag kumandilì, iwan, magpabayâ, pabayaan@
@abandon (1)@|@hwag kumalingâ@
@abandoned@|@waláng-hiyâ@
@abandonment@|@pagpapabayâ@
@abase@|@humamak, papagpakumbabain@
@abasement@|@pagkaabâ, pagkahamak@
@abash@|@humiyâ@
@abassadress@|@asawa ng sugong lalaki, sugong babai@
@abate@|@kumulang, magbawas, magpaliit@
@abatement@|@bawas, pagkábabâ@
@abbey@|@táhanan ng mga monghe ó mongha@
@abbot@|@pangulong monghe, punò ng mga monghe@
@abbreviate@|@iklián, magpadalî, magpaiklî@
@abbreviation@|@pag-iiklî, pagpapadalî@
@ABC@|@abakada, alpabeto, katitikan@
@abdicate@|@ibigay (sa ibá ang kaharian)@
@abdomen@|@ibabâ ng tiyan, pusón@
@abdominal@|@nauukol sa pusón@
@abduct@|@agawin, dahasín@
@abduction@|@pag-agaw, pangdadahas@
@abeam@|@sa kalwangan@
@abed@|@nakáhigâ, nasa higaan@
@aberration@|@kamalián, malî@
@abet@|@magbuyó, tumúlong, umayon@
