@English@|@Thai@
@Author name@|@Beaumont / Freelang@
@Font@|@Arial\12\Arial\16@
@... speaking@|@ฮัลโหล, ... พูด@
@[imperative: don't + verb]@|@อย่า@
@[interrogation]@|@ไหม, หรือเปล่า@
@[to make a noun]@|@การ, ความ@
@0@|@๐, ศูนย์@
@1@|@๑, หนึ่ง@
@1 000@|@๑๐๐๐, หนึ่งพัน@
@1 000 000@|@๑๐๐๐๐๐๐, หนึ่งล้าน@
@10@|@๑๐, สิบ@
@10 000@|@๑๐๐๐๐, หนึ่งหมื่น@
@100@|@๑๐๐, หนึ่งร้อย@
@100 000@|@๑๐๐๐๐๐, หนึ่งแสน@
@11@|@๑๑, สิบเอ็ด@
@12@|@๑๒, สิบสอง@
@2@|@๒, สอง@
@20@|@๒๐, ยี่สิบ@
@21@|@๒๑, ยี่สิบเอ็ด@
@3@|@๓, สาม@
@30@|@๓๐, สามสิบ@
@325@|@๓๒๕, สามร้อยยี่สิบห้า@
@4@|@๔, สี่@
@5@|@๕, ห้า@
@6@|@๖, หก@
@7@|@๗, เจ็ด@
@8@|@๘, แปด@
@9@|@๙, เก้า@
@a few@|@นิดหน่อย@
@a little@|@นิดหน่อย@
@a long time@|@นาน@
@a lot@|@มาก, เยอะ@
@abandon@|@ละทิ้ง@
@abduct@|@ลักพาตัว@
@able@|@สามารถ@
@able (physically)@|@ไหว@
@-able (suffix)@|@น่า@
@abnormal@|@ผิดปกติ@
@abort pregnancy@|@ทำแท้ง@
@about@|@ประมาณ@
@above@|@ข้างบน@
@accept@|@ยอม, ยอมรับ, รับ@
@accept responsibility@|@รับผิดชอบ@
@accident@|@อุบัติเหตุ@
@account (bank)@|@บัญชี@
@accountant@|@สมุห์บัญชี@
@accounting@|@การทำบัญชี@
@accurate@|@ถูกต้อง@
@ache@|@ปวด@
@acne@|@สิว@
@across from@|@ตรงกันข้าม@
@acting rashly@|@ใจร้อน@
@actor@|@นักแสดง@
@adapt oneself@|@ปรับตัว@
@add (+)@|@บวก@
@add to@|@เติม@
@add up (total)@|@รวมทั้งหมด@
@address@|@ที่อยู่@
@adequate@|@พอ@
@adjacent@|@ติดกับ@
@adjust@|@จัด@
@administration@|@การบริหาร@
@admire@|@ชม, ชมเชย@
@adopt a child@|@รับเอาเด็กมาเลี้ยง@
@adult@|@ผู้ใหญ่@
@advanced@|@ชั้นสูง@
@advertize@|@โฆษณา@
@afraid of@|@กลัว@
@after@|@หลัง@
@after this@|@หลัง, หลังจาก@
@afternoon@|@ตอนบ่าย@
@afterwards@|@ทีหลัง@
@again@|@อีก@
@aged@|@แก่@
@agree@|@ตกลง@
@aid@|@ช่วย@
@air@|@อากาศ@
@air (like in a tire)@|@ลม@
@air-conditioning@|@แอร์, เครื่องแอร์@
@airplane@|@เครื่องบิน@
@airport@|@สนามบิน@
@alarm clock@|@นาฬิกา ปลุก, นาฬิกาปลุก@
@alcohol@|@เหล้า@
@alike@|@เช่นเดียวกัน, เช่นกัน@
@alive@|@มีชีวิต@
@all@|@ทั้งหมด@
@all day@|@ตลอดวัน, ทั้งวัน@
@all gone@|@หมดแล้ว@
@all my love@|@ยอดรัก@
@all night@|@ทั้งคืน@
@all the time@|@ตลอด, ตลอดเวลา, ทุกเวลา@
@all used up@|@หมดแล้ว@
@allergic to@|@แพ้@
@allow@|@ยอม ให้, อนุญาต@
@almost@|@เกือบ@
@alone@|@เดียว@
@already@|@แล้ว@
@already or not yet?@|@แล้วหรือยัง@
@also@|@ด้วย@
@always@|@เสมอ, ตลอด, ตลอดเวลา, ตลอดไป, เสมอ, ประจำ@
@amazed@|@แปลกใจ@
@ambulance@|@รถพยาบาล@
@ancient@|@โบราณ@
@and@|@และ@
@anesthesia@|@อาการสลบ@
@angel@|@เทวดา@
@angle@|@มุม@
@angry@|@โกรธ, ใจร้อน@
@animal@|@สัตว์@
@ankle@|@ข้อเท้า@
@anniversary@|@ครบรอบปี@
@annoy@|@แกล้ง, รบกวน@
@annual@|@ประจำปี@
@answer@|@ตอบ@
@answer (n)@|@คำตอบ@
@answer (vb)@|@ตอบ@
@answer a call@|@รับ โทรศัพท์@
@ant@|@มด@
@antique@|@เก่า@
@anxious@|@กังวล, อึดอัด@
@any day@|@วันไหนก็ได้@
@any person@|@คนไหนก็ดี@
@any place@|@ที่ไหนก็ได้@
@any time@|@เมื่อไหร่ก็ได้@
@any way@|@อย่างไรก็ดี@
@anything will do@|@อะไรก็ได้@
@apartment@|@อพาร์ตเมนต์@
@applaud@|@ตบมือ@
@application form@|@ใบสมัคร@
@apply for a job@|@สมัครงาน@
@appointment@|@นัด@
@approve of@|@เห็นชอบ@
@approximately@|@ประมาณ@
@April@|@เมษายน@
@area@|@บริเวณ@
@argue@|@เถียง, ทะเลาะกัน@
@arm@|@แขน@
@armchair@|@ทีนั่ง@
@arrange@|@จัด@
@arrest@|@จับ@
@arts@|@ศิลปะ@
@as big as the sky@|@มากเท่าฟ้า@
@as one likes@|@ตามใจ@
@as soon as possible@|@เร็วที่สุดเท่าที่จะเร็วได้@
@as usual@|@เช่นเคย@
@as you like@|@แล้วแต่คุณ@
@ashtray@|@ที่เขี่ยบุหรี่@
@ask@|@ถาม@
@ask (a question)@|@ถาม@
@asleep@|@นอนหลับ@
@assist@|@ช่วย@
@association@|@สมาคม@
@assume@|@สมมุติ@
@at@|@ใน@
@at (a place)@|@ที่@
@at all@|@เลย@
@at first@|@ทีแรก@
@at least@|@สัก@
@at night@|@กลางคืน@
@at once@|@ทันที@
@at the present time@|@ปัจจุบัน@
@at the same time@|@เวลาเดียวกัน, พร้อมกัน@
@at your convenience@|@แล้วแต่สะดวก@
@attempt@|@พยายาม@
@attentive@|@ตั้งใจ@
@attorney@|@ทนายความ@
@August@|@สิงหาคม@
@aunt (elder sister of parents)@|@ป้า@
@aunt (younger sister of father)@|@อาผู้หญิง@
@aunt (younger sister of mother)@|@น้าผู้หญิง@
@authentic@|@แท้@
@available@|@ว่าง@
@awaken@|@ตื่น@
@award@|@รางวัล@
@away@|@ออกไป@
@awful@|@น่ากลัว@
@baby@|@น้องเล็ก@
@bachelor@|@เป็นโสด@
@back@|@หลัง@
@back up@|@ถอยหลัง, สนับสนุน@
@bad@|@เลว, ไม่ดี@
@bag@|@กระเป๋า, ถุง@
@baggage@|@กระเป๋า@
@baht@|@บาท@
@bake@|@ปิ้ง, อบ@
@balcony@|@ระเบียง@
@bald (no hair)@|@ล้าน@
@bamboo@|@ไม่ไผ่@
@banana@|@กล้วย@
@bandit@|@โจร@
@bank@|@ธนาคาร@
@bank (river bank)@|@เลียบแม่น้ำ@
@bar@|@บาร์@
@barbershop@|@ร้านตัดผม@
@bargirl@|@สาวหากิน, สาวขายบริการ@
@bath towel@|@ผ้าเช็ดตัว@
@bathe@|@อาบน้ำ@
@bathroom@|@ห้องน้ำ@
@bathtub@|@อ่างอาบน้ำ@
@battery@|@แบตเตอรี่@
@be@|@อยู่@
@be # years old@|@อายุ - ปี@
@be able to@|@สามารถ@
@be afraid of@|@กลัว@
@be anxious@|@ห่วง@
@be careful@|@ระวัง@
@be close friends@|@สนิท@
@be concentrated@|@ตั้งใจ@
@be defeated@|@แพ้@
@be hungry@|@หิวข้าว@
@be in favor of@|@เห็นชอบ@
@be jealous of@|@หวงแหน@
@be on the side of@|@สนับสนุน@
@be sexually aroused@|@มีอารมณ์@
@be sitting@|@นั่ง@
@be thirsty@|@หิวน้ำ@
@beach@|@ชายหาด, หาด@
@bear@|@อดทน@
@bear (animal)@|@หมี@
@beat (hit)@|@ตี@
@beat (win)@|@ชนะ@
@beautiful@|@สวย, สวย@
@beauty shop@|@ร้านเสริมสวย@
@because@|@เพราะ, เพราะว่า@
@bed@|@เตียง, ทีนอน@
@bedroom@|@ห้องนอน@
@bee@|@ผึ้ง@
@beef@|@เนื้อ, เนื้อวัว@
@beer@|@เบียร์@
@before@|@ก่อน@
@beg@|@ขอร้อง@
@begin@|@เริ่ม, เริ่ม@
@beginning@|@เดิม, กำลังเริ่ม@
@beginning of month@|@ต้นเดือน@
@behave suspiciously@|@พิรุด@
@behind@|@หลัง@
@believe@|@เชื่อ, เชื่อ@
@believe in@|@เชื่อใจ@
@belly@|@หน้าท้อง@
@belonging to@|@ของ@
@below@|@ข้างล่าง@
@belt@|@เข็มขัด@
@beside@|@ข้างเคียง@
@best@|@ดีที่สุด@
@bet@|@พนัน@
@better (than before)@|@ดีขึ้น@
@better (than sthg else)@|@ดีก่วา@
@between@|@ระหว่าง@
@bicycle@|@รถจักรยาน@
@big@|@ใหญ่, ใหญ่, โต@
@big-bellied@|@พุงพุ้ย@
@bike@|@จักรยาน@
@bird@|@นก@
@birth@|@ชาติ@
@birth certificate@|@ใบเกิด@
@birthday@|@วันเกิด@
@birthday party@|@งานวันเกิด@
@birthplace@|@บ้านเกิด@
@biscuit@|@ขนมปังกรอบ@
@bite@|@กัด@
@bitter@|@ขม@
@black@|@ดำ, สีดำ@
@blanket@|@ผ้าห่ม@
@blind@|@ตาบอด@
@blood@|@เลือด@
@bloom@|@บาน@
@blouse@|@เสื้อ@
@blow (wind)@|@พัด@
@blowout (tyre)@|@ยางระเบิด@
@blue@|@น้ำเงิน@
@boat@|@เรือ@
@body@|@ตัว, ร่างกาย, ตัว@
@boil@|@ต้ม, ปิ้ง@
@boiled eggs@|@ไข่ต้ม@
@bold (courageous)@|@ใจกล้า@
@bone@|@กระดูก@
@book@|@หนังสือ@
@book (a ticket)@|@จอง@
@book a ticket@|@จองตั๋ว@
@border (of a country)@|@ชายแดน@
@bored@|@เบื่อ@
@boring@|@เบื่อ@
@born@|@เกิด@
@borrow@|@ยืม@
@borrow money@|@กู้เงิน, ขอยืมเงิน@
@boss@|@เจ้านาย, นายจ้าง, หัวหน้า@
@bottle@|@ขวด@
@bottle opener@|@ที่เปิดขวด@
@bounce@|@กระโดด@
@bowl@|@ชาม@
@boy@|@เด็กชาย, เด็กผู้ชาย@
@boyfriend@|@แฟน@
@bra@|@ยกทรง@
@brain@|@สมอง@
@bread@|@ขนมปัง@
@break@|@หยุด@
@break (separate)@|@แยก@
@break (several pieces)@|@หัก@
@break (small pieces)@|@แตก@
@break (spoil)@|@เสีย@
@break the law@|@ทำผิดกฎหมาย@
@breakfast@|@อาหารเช้า@
@breast@|@นม@
@breathe@|@หายใจ@
@bribe@|@ให้สินบน@
@bridge@|@สะพาน@
@bright (intelligent)@|@ฉลาด@
@bright (opposite dark)@|@สว่าง@
@British@|@อังกฤษ@
@broad@|@กว้าง@
@broil@|@ย่าง@
@broke (without money)@|@ไม่มีสตางค์@
@broken heart@|@เศร้าใจ@
@brown@|@น้ำตาล, สีน้ำตาล@
@brutal@|@ดุ@
@BTS@|@รถไฟฟ้า@
@Buddha@|@พระพุทธเจ้า@
@Buddhism@|@ศาสนาพุธ@
