@Old Norse@|@English@
@Author name@|@Jens Nielsen@
@Font@|@Arial\12\Arial\12@
@á@|@river@
@áæggia@|@Urge on (v)@
@ábyrgð@|@liability@
@áðr@|@first@
@æ@|@always@
@æðra@|@fear, despair@
@ægir@|@sea@
@æsta@|@request (v)@
@ætla@|@intend (v), fated, think (v), expect (v)@
@ætlun@|@estimate, opinion@
@ætt@|@race, lineage, descent, family@
@ættaðr@|@descended@
@ættartala@|@genealogy@
@ættleifð@|@patrimony@
@æva@|@never@
@ævi@|@time, age, life_story, life@
@afklæða@|@undress (v)@
@afl@|@strength@
@aflæ@|@beget (v)@
@afli@|@aid, power@
@afroð@|@loss@
@afskræmiliga@|@hideously@
@ágæti@|@celebration, glory@
@ágætliga@|@honorably@
@ágætr@|@excellent@
@ágirni@|@greed@
@áhyggja@|@care, anxiety@
@aka@|@drive (v)@
@ákafi@|@vehemence, heat@
@ákafliga@|@exceedingly@
@ákafr@|@vehement@
@ákaft@|@greatly@
@akarn@|@acorn@
@akkeri@|@anchor@
@akr@|@field@
@ala@|@feed (v)@
@aldinn@|@old@
@aldr@|@age@
@aldregi@|@never@
@aldri@|@never@
@aldrnari@|@fire@
@álfr@|@elf@
@álit@|@feature, aspect@
@allharðr@|@violent, severe@
@allr@|@all@
@allsekr@|@full@
@allstórum@|@enormously@
@allvaldr@|@sovereign@
@allvegliga@|@splendidly@
@almenniligr@|@universal@
@almr@|@elm, bow@
@ámæli@|@reproach, blame@
@ámælissamr@|@shameful@
@ámáttr@|@terrible, loathsome@
@ambátt@|@handmaid, bondwoman@
@ambótt@|@bondwoman@
@amma@|@grandmother@
@andask@|@die (v)@
@anddyri@|@vestibule@
@andi@|@spirit@
@andlát@|@death@
@andlit@|@face@
@andskoti@|@adversary, enemy@
@andvarða@|@commit (v)@
@angan@|@joy@
@angra@|@distress (v)@
@annarr@|@another, second@
@annask@|@Take care of (v)@
@annt@|@eager, anxious@
@aptann@|@evening@
@aptr@|@aft, back@
@ár@|@year@
@áræði@|@daring, courage@
@árangr@|@season@
@arfr@|@inheritance@
@argr@|@cowardly, womanish@
@ari@|@eagle@
@ármaðr@|@steward@
@armr@|@poor, wretched@
@ásamt@|@together@
@ásauðr@|@ewe@
@ásjá@|@protection, help@
@aska@|@ashes@
@askr@|@ash@
@áss@|@pole, god, beam@
@ást@|@affection, love@
@ástir@|@love, affection@
@atall@|@fierce, terrible@
@atburðr@|@event, occurrence@
@atdráttr@|@supplies, provisions@
@atferð@|@energy, behavior@
@atferli@|@proceeding@
@atganga@|@violence, assault@
@atgeirr@|@thrusting_spear@
@átján@|@eighteen@
@atlaga@|@attack@
@atmælasamr@|@fault_finding@
@atrið@|@movement@
@átrunaðr@|@belief@
@atseta@|@residence@
@atsókn@|@attack@
@átta@|@eight@
@auðigr@|@rich, wealthy@
@auðit@|@fated@
@auðœfi@|@wealth, possessions@
@auðsénn@|@evident@
@auðsýnn@|@clear, evident@
@auga@|@eye@
@auka@|@increase (v), add (v)@
@auki@|@increase@
@austmaðr@|@Easterner@
@austr@|@eastward@
@austrvegr@|@the@
@ávalt@|@always@
@ávant@|@lacking@
@ávǫxtr@|@growth, increase@
@báðir@|@both@
@bagall@|@crozier@
@baggi@|@bag@
@baka@|@bake (v)@
@bakki@|@bank@
@bál@|@fire@
@bálkr@|@partition, wall@
@bana@|@kill (v)@
@banahǫgg@|@death_blow@
@banamaðr@|@slayer@
@band@|@bond, fetter@
@bani@|@death, slayer@
@banna@|@prohibit (v), forbid (v)@
@bardagi@|@fight, battle@
@barn@|@child@
@barnœska@|@childhood@
@barsmið@|@fight, assault@
@bati@|@advantage@
@batna@|@improve (v)@
@bátr@|@boat@
@baugr@|@ring, coil@
@beðr@|@bed@
@beiða@|@ask (v), request (v)@
@bein@|@bone@
@beina@|@assist (v)@
@beini@|@help, benefit@
@beizl@|@bridle@
@bekkr@|@bench@
@belgr@|@bag@
@bella@|@dare (v)@
@ben@|@wound@
@bera@|@carry (v), bear (v)@
@bergrisi@|@hill_giant@
@berja@|@smite (v)@
@berr@|@bare@
@berserkr@|@berserk@
@betri@|@better@
@beygja@|@affliction, bend (v)@
@biða@|@await (v)@
@biðja@|@pray (v), ask (v)@
@bifask@|@tremble (v), Be moved  (v)@
@bikkja@|@bitch, dog@
@bil@|@moment@
@bilstyggr@|@energetic@
@bilt@|@startled@
@binda@|@dress (v), bind (v)@
@birgðir@|@provisions@
@birgja@|@provide (v), supply (v)@
@birta@|@display (v)@
@biskup@|@bishop@
@bita@|@bite (v), cut (v)@
@bitr@|@brave, biting, keen@
@bjalla@|@bell@
@bjarg@|@crag, rock, cliff, stone@
@bjarkan@|@birch@
@bjarndýr@|@bear@
@bjartr@|@bright@
@bjǫð@|@fields, land@
@bjóða@|@invite (v), challenge (v), threaten (v)@
@bjóðr@|@giver@
@bjórker@|@beer_goblet@
@bjǫrn@|@bear@
@bjórr@|@beer@
@blakkr@|@black, dark@
@blanda@|@mix (v)@
@blár@|@blue, black@
@blása@|@blow (v)@
@blautr@|@wet@
@bleikr@|@white@
@bliða@|@friendliness@
@bliðr@|@gracious, pleasant@
@blindr@|@blind@
@blóð@|@blood@
@blóðugr@|@bloody@
@blót@|@sacrifice@
@blóta@|@sacrifice (v)@
@boð@|@festival, offer, feast, summons@
@boða@|@preach (v)@
@boðsmaðr@|@guest@
@bœn@|@prayer@
@bœr@|@house, farmstead@
@bœta@|@compensate (v)@
@bœtr@|@compensations@
@bogastrengr@|@bow_string@
@bogi@|@bow@
@bógr@|@shoulder@
@bók@|@book@
@bokki@|@fellow, buck@
@bǫl@|@grief, sorrow@
@bóndi@|@franklin, husband@
@borð@|@table, rim, board@
@borg@|@town, stronghold@
@bót@|@atonement, compensation@
@bráðr@|@hasty, sudden@
@bragða@|@stir (v)@
@bragþáttr@|@poetry@
@braka@|@crack (v), creak (v)@
@brandr@|@brand, blade@
@brattr@|@steep@
@brauð@|@bread@
@brauðgǫrð@|@bread_making@
@braut@|@road@
@bréf@|@letter@
@bregða@|@Move quickly (v), throw (v)@
@breiða@|@spread (v)@
@breiðr@|@broad@
@brekka@|@slope@
@brenna@|@burn (v), burning@
@bresta@|@burst (v), break (v)@
@breyta@|@act (v)@
@brjóst@|@breast@
@brjóta@|@Break into (v), destroy (v), violate (v)@
@bróðir@|@brother@
@brǫkun@|@clashing@
@brotna@|@break (v)@
@brott@|@away@
@brottkvaðning@|@dismissal@
@brú@|@bridge@
@brúðr@|@bride@
@brullaup@|@wedding@
@brún@|@eye_brow@
@brúnáss@|@ridge_beam@
@bruni@|@heat, fire@
@bryggja@|@landing_stage@
@brynjulauss@|@unprotected@
@brýnn@|@urgent, clear@
@bryti@|@bailiff, steward@
@bú@|@farming, dwelling, livestock, farm@
@búa@|@prepare (v), array (v)@
@búð@|@booth@
@buðlungr@|@prince, king@
@búfé@|@farm_cattle@
@búi@|@neighbor@
@búnaðr@|@equipment@
@burðr@|@birth@
@burr@|@son@
@bústaðr@|@dwelling_place@
@bý@|@bee@
@bygð@|@settlement, dwelling@
@bygghlaða@|@barley_barn@
@byggja@|@settle (v)@
@byggva@|@dwell (v), settle (v)@
@bylgja@|@billow@
@bytta@|@pail, bucket@
@dáð@|@courage, energy@
@dæll@|@gentle, easy@
@daga@|@dawn (v)@
@dagan@|@daybreak@
@dagr@|@daylight, day@
@dálkr@|@pin@
@dalr@|@dale, valley@
@danzleikr@|@dancing_song, dance@
@darraðr@|@spear@
@dauðadagr@|@death_day@
@dauði@|@death@
@dauðr@|@dead@
@deila@|@disagreement, divide (v), quarrel (v), contention@
@deild@|@litigation, quarrel@
@detta@|@drop (v), fall (v)@
@deyja@|@die (v)@
@djarfliga@|@boldly@
@djarfr@|@daring@
@djúpr@|@deep@
@dœgr@|@day@
@dœma@|@judge (v), proclaim (v)@
@dǫgg@|@dew@
@dǫglingr@|@prince@
@dolg@|@battle@
@dólg@|@battle@
@dómari@|@judge@
@dómr@|@judgement, fame, court, reputation@
@dómstóll@|@judgement_seat@
@dóttir@|@daughter@
@dótturson@|@grandson@
@draga@|@haul (v)@
@dráp@|@killing@
@draugr@|@tree_trunk, ghost@
@draumr@|@dream@
@dreifa@|@sprinkle (v)@
@drekka@|@drink (v), empty (v)@
@drengiliga@|@manfully@
@drengr@|@warrior@
@drengskapr@|@nobility, courage@
@drepa@|@strike (v), kill (v), smite (v)@
@dreyma@|@dream (v)@
@dreyri@|@blood@
@dreyrugr@|@blood_stained@
@drifa@|@crowd (v), drive (v), throng (v)@
@drjúgr@|@lasting@
@drjúpa@|@drip (v)@
@dróttinn@|@lord@
@dróttning@|@queen@
@drúpa@|@droop (v)@
@drykkja@|@drinking@
@drykkjumaðr@|@drinker@
@drykkr@|@drink, draught@
@dúði@|@toss (v), shake (v)@
@duga@|@help (v)@
@dugr@|@doughtiness@
@duna@|@resound (v)@
@dunði@|@resound (v), whir (v)@
@dveljask@|@stay (v)@
@dvergr@|@dwarf@
@dvǫl@|@delay@
@dýja@|@shake (v)@
@dynja@|@whir (v)@
@dýr@|@animal, beast@
@dýrð@|@glory@
@dýrk@|@glory@
@dyrr@|@doorway, door@
@dýrr@|@precious, dear, expensive@
