@English@|@Quechua of Cuzco@
@Author name@|@Kyliane@
@Font@|@Arial\12\Arial\12@
@(Andean deer)@|@taruka@
@(Andean globular flute)@|@ukarina@
@(Andean horn)@|@kañari, phukuna waqra, waqraphuku@
@(Andean long flute)@|@pinkuyllu@
@(aromatic herb)@|@wakatay@
@(kind of flute)@|@qina@
@(kind of owl)@|@pakpaka@
@(large round Andean drum)@|@wankara@
@(local tuber)@|@mashua@
@(mid-size Andean drum)@|@wankar@
@(panpipe of bamboo)@|@antara@
@(panpipe)@|@siku@
@(small ten-string guitar)@|@charangu, kirkinchu@
@(songbird)@|@pukuy pukuy@
@(tambourine or small drum)@|@tinya@
@(traditional Andean music)@|@harawi, sikuri, waylas, waynu@
@(tuber)@|@uqa, yacón@
@(violin)@|@wiyulin@
@0@|@ch'usaq@
@1@|@huq@
@1/02/0@|@iskay taq'a@
@1/3@|@kinsa taq'a@
@1/4@|@tawa taq'a@
@10@|@chunka@
@1000000@|@hunu@
@11@|@chunka huqniyuq@
@12@|@chunka iskayniyuq@
@13@|@chunka kinsayuq@
@14@|@chunka tawayuq@
@15@|@chunka pisqayuq@
@16@|@chunka suqtayuq@
@17@|@chunka qanchisniyuq@
@18@|@chunka pusaqniyuq@
@19@|@chunka isqunniyuq@
@1st@|@ñawpaq kaq@
@2@|@iskay@
@20@|@iskay chunka@
@21@|@iskay chunka huqniyuq@
@22@|@iskay chunka iskayniyuq@
@2nd@|@iskay kaq@
@3@|@kimsa, kinsa@
@3/04/0@|@kinsa tawa taq'a@
@30@|@kinsa chunka@
@3rd@|@kinsa kaq@
@4@|@tawa@
@40@|@tawa chunka@
@5@|@pichqa, pishqa, pisqa@
@50@|@pisqa chunka@
@6@|@soqta, suqta@
@60@|@suqta chunka@
@7@|@qanchis@
@70@|@qanchis chunka@
@8@|@pusac, pusaq@
@80@|@pusaq chunka@
@9@|@isqun@
@90@|@isqun chunka@
@a little@|@as@
@a little bit@|@as aslla, pisi pisilla@
@a lot@|@achkha, askha@
@a lot of@|@askha@
@abandon (to)@|@wikch'uy, wisch'uy@
@able-bodied@|@qhali@
@above@|@hanaq, hawanpi, patapi@
@abroad@|@karu llaqta@
@absent (to)@|@ch'usay@
@accept (to)@|@uyakuy, uyniy@
@accident@|@aksidinti@
@accomodation@|@qurpa wasi, qurpachana@
@accomplice@|@kumpari@
@ache@|@nanay@
@across@|@chimpa + marque de cas@
@across (from)@|@chimpapi@
@add (to)@|@yapay@
@adolescent@|@warma@
@adult@|@kall payuq, wiñay hunt'asqa@
@Adventist@|@adwintista@
@advice@|@yuyay quy@
@advise (to)@|@willay, willay, yuyaychay@
@aeroplane@|@awiyun@
@afraid@|@manchasqa@
@after@|@chaymanta, hinaspa, qhipata@
@afternoon@|@inti t'iksuy, tayri@
@afterwards@|@chaymantaqa, qhilpata@
@again@|@huqmanta, watiqmanta, yapamanta@
@against@|@kuntra@
@agave (aloe)@|@paqpa@
@age@|@wata, wiñay@
@ago@|@huq ratuña, naqha, ñaqha@
@agree to (to)@|@uyakuy@
@Agreed!@|@Allinmi!@
@ahead@|@ñawpaq@
@aid (to)@|@yanapay@
@aide@|@yanapaq@
@air@|@wayra@
@alcohol@|@trawu, waqtu@
@alimentary plant@|@mikhuy@
@all@|@llapa, llapan, llipi, lliw, q'ala, tukuy@
@allow (to)@|@huñiy, saqillay@
@almost@|@yaqa@
@alone@|@sapa@
@alpaca@|@paku, paqu, paqucha@
@already@|@-ña@
@also@|@-pas, -pis@
@although@|@chaypas@
@altitude@|@sayay@
