@English@|@Buryat@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st Sg. ps. pronoun obl. case@|@nam-, namä(ji)@
@2-years old male deer@|@moxotor@
@3d p. possessive pronoun@|@n@
@a 3-year-old cow@|@xašarag, xašarag bäxaldaj@
@a Buddhist rank@|@xutagta@
@a k. of alder@|@nürgedehe(n), nürhe(n)@
@a k. of antelope@|@oronggo@
@a k. of arrow@|@godli@
@a k. of blossoming plant@|@herhen, herxeneg@
@a k. of duck@|@šürxy@
@a k. of eagle@|@tarba(l)ža@
@a k. of grass@|@budargana@
@a k. of plant@|@zërgene@
@a k. of rat@|@xüderi@
@a k. of salmon@|@bulüsxai@
@a k. of shrub@|@xargähan@
@a k. of wild leek@|@gogod, gögol@
@a leguminous plant@|@xüsüg, xüsy@
@a measure for gunpowder@|@xumžä@
@a small vessel@|@xundaga@
@abandon@|@tebše-@
@ability@|@šenë(n)@
@above@|@dër(e)@
@abrasion@|@dajr, däri@
@abundance@|@elbeg@
@abundant@|@delger@
@accord@|@najr@
@activity@|@edebxi@
@adze@|@atalga, öli, uxami, xajlä@
@aftermath@|@xenze@
@afternoon@|@üde@
@again@|@daxin@
@age@|@üje@
@agreement@|@gerë, gerše@
@air@|@xï@
@albugo@|@šïxan@
@all@|@xamag, xü@
@all together@|@dalin, nï-te@
@alone@|@gagsa, gansa@
@alternate@|@xala-@
@ancestor@|@gulinsag, xulinsag@
@ancestor spirit@|@onggo(n)@
@angelica@|@balšargana@
@anger@|@ür@
@angle@|@güxy@
@animals@|@zulzaga@
@anklebone@|@šagabša, šagaj, šagajbša@
@anniversary@|@oj@
@ant@|@šorgölzo(n), šorgölžo(n)@
@anus@|@ondoj-, xošxonog@
@anxious@|@guni-@
@appeal@|@tunxag@
@appearance@|@tühö(n)@
@arm@|@gar@
@arm muscles@|@bagansag@
@armour@|@xujag@
@armpit@|@huga@
@arrogant@|@zebü(n)@
@arrow@|@homo(n), hurša@
@arrow with bone head@|@žorxo@
@art@|@uran@
@ascend@|@ügse-@
@ashes@|@ünehe(n)@
@aspen@|@uläha(n)@
@ass@|@xulan@
@asunder@|@ülti@
@atmosphere@|@agär@
@attack@|@noso-@
@attempt@|@hori-@
@attention@|@ubaj-güj@
@awl@|@šübge@
@axe@|@hüxe, mese@
@back of axe@|@ünseg@
@back of head@|@šele@
@backwards@|@xojno, xojšo@
@bad@|@mü@
@bad omen@|@joro@
@badger@|@dorgon@
@balcony@|@arangga@
@bald@|@malaj-, malän, malzan, melzen@
@bands to sacrificial animals@|@heter@
