@Kutchi@|@English@
@Author name@|@Burhan Khamisa@
@Font@|@Arial\12\Arial\12@
@aamli@|@tamarind@
@aangaryu@|@fingers@
@aangri@|@finger@
@aanguttho@|@thumb@
@aariso@|@mirror@
@aasmaan@|@sky@
@aasoora@|@tears@
@aaste@|@slowly@
@aatera@|@intestines@
@aaw@|@I, me@
@aayi@|@you (elder)@
@accho@|@white@
@ach@|@come@
@acheto@|@coming@
@akh@|@eye@
@akhyu@|@eyes@
@anaaj@|@food@
@andar@|@inside@
@andhaaro@|@darkness@
@andho@|@blind@
@andho cchaapo@|@bat (mammal)@
@angor@|@bath@
@angoraanjo@|@to bath@
@angoreto@|@bathing@
@asaanjo@|@our (multiple)@
@atth@|@eight@
@avaaj@|@noise, sound@
@baaf@|@bathroom@
@baai@|@sister@
@baairi@|@wife@
@baaldi@|@bucket@
@baar@|@light@
@baare@|@outside@
@baari@|@window@
@baarotia@|@napkins@
@bachaamat@|@childish@
@bagaaso@|@yawn@
@bagal@|@armpit@
@bakraa@|@goats@
@bakri@|@female goat@
@bakro@|@goat@
@banaawat@|@make@
@banaayo@|@made@
@bandh@|@closed, tie@
@bandhelo@|@tied@
@bandhook@|@gun@
@barkhaa@|@phlegm@
@bataato@|@potato@
@batko@|@bite, short@
@batti@|@light@
@be-saram@|@shameless@
@beda@|@eggs@
@bedo@|@egg@
@beek@|@fear@
@beemaar@|@sick@
@beeri@|@cigarette@
@bekaar@|@useless@
@bero@|@deaf@
@bhaa@|@brother@
@bhaabhi@|@sister in-law@
@bhaganjo@|@to run@
@bhagg@|@run@
@bharanjo@|@burning@
@bhareto@|@is burning@
@bhejo@|@brain@
@bhindaa@|@lady fingers@
@bhookh@|@hunger@
@bhoro@|@gentle@
@bipor@|@noon@
@bo@|@two@
@bol@|@speak@
@boli@|@speech@
@boso@|@kiss@
@boti@|@meat@
@cchanyo@|@dropped, fell@
@cchik@|@sneeze@
@cchipaa@|@cockroaches@
@cchipatro@|@flat@
@cchipo@|@cockroach@
@ccho@|@six@
@cchokri@|@girl@
@cchokro@|@son@
@cchuri@|@knife@
@chaa@|@tea@
@chaand@|@moon@
@chaar@|@four@
@chaari@|@fourty@
@chaavi@|@key@
@chaddi@|@underwear@
@champal@|@slipper@
@chamri@|@skin@
@chap@|@lips@
@charat@|@silly@
@charhayo@|@raised@
@chasmaa@|@spectacle@
@chhaati@|@chest@
@chichi@|@lizard@
@chikli@|@bird@
@chirak@|@droppings@
@choli@|@bra@
@choop@|@quiet@
@choro@|@bag@
@chotaai@|@stick@
@chotee@|@ponytail@
@chotelo@|@stuck@
@chum@|@kiss@
@daadi@|@paternal grandmother@
@daado@|@paternal grandfather@
@daar@|@mistake@
@daarhi@|@beard@
@daaru@|@alcohol@
@dabbo@|@tin@
@dand@|@tooth@
@dandh@|@teeth@
@dando@|@pole@
@darjo@|@position@
@darwaajo@|@door@
@davaa@|@medicine@
@davaa khaanu@|@hospital@
@dayyh@|@yoghurt@
@dedhko@|@frog@
@derr@|@brother in-law@
@dhaknu@|@lid@
@dhani@|@husband@
@dheka@|@buttocks@
@dheko@|@buttock@
@dhoiri@|@white female@
@dhoor@|@sand@
@dhoryaa@|@whites@
@dhoryo@|@white male@
@dhwaaro@|@smoke@
@dih@|@day@
@dil@|@heart@
@dok@|@neck@
@doodhi@|@gourd@
@dookh@|@grief@
@dooti@|@navel@
@doro@|@thread@
@dow@|@ten@
@dukaan@|@shop@
@dukhaawo@|@pain@
@dukheto@|@paining@
@dunya@|@world@
@eeru@|@maggots@
@ekhli@|@alone@
@fotaa@|@pictures@
@fui@|@paternal aunt@
@gaaj@|@scarf@
@gaal@|@talk@
@gaan@|@ass@
@gabri@|@pregnant@
@gajar@|@carrot@
@gameti@|@like (female)@
@gameto@|@like@
@gandh@|@smell@
@ganji@|@vest@
@ganjo@|@bald@
@gantri@|@alarm@
@garyaal@|@clock, watch@
@gatth@|@knot@
@ghadi@|@car@
@ghai@|@cow@
@ghamand@|@pride@
@ghandaito@|@smelling@
@ghandgi@|@impurities@
@ghar@|@house@
@ghee@|@butter@
@ghetaa@|@sheep@
@gheto@|@sheep@
@ghoro@|@horse@
@gin@|@take it@
@gineti@|@is taking (female)@
@gineto@|@is taking@
@gol@|@round@
@golaa@|@africans@
@goli@|@african female@
@golo@|@african male@
@goo@|@faeces@
@goonga@|@bogeys@
@goongo@|@dumb@
@goosi vyo@|@entered@
@goosyo@|@entered@
@gori@|@bullet, capsule@
@gusso@|@anger@
@haa@|@ok, yes@
@haathi@|@elephant@
@haddaa@|@bones@
@haddo@|@bone@
@hakro@|@one@
@hal@|@come@
@hane@|@now@
@haraami@|@bastard@
@hatth@|@hand@
@hatthori@|@hammer@
@havaa@|@air@
@hidaa@|@here@
@ier@|@maggot@
@insaan@|@human being@
@istree@|@iron@
@jaadi@|@fat (female)@
@jaado@|@fat@
@jaadu@|@magic@
@jaageto@|@is awake@
@jaani ne@|@purposely@
@jaanjhro@|@millipede@
@jaanwar@|@animal@
@jaari@|@net@
@jabbo@|@robe@
@jagaa@|@place@
@jaldi@|@fast, quickly@
@jamaai@|@son in-law@
@jameen@|@earth@
@jee@|@yes@
@jero@|@fire@
@jhaar@|@tree@
@jharr@|@roots@
@jholo@|@crotch@
@jhor@|@power@
@jhoraa@|@shoes@
@jib@|@tongue@
@jungli@|@wild@
@kaagarya@|@papers@
@kaagaryo@|@paper@
@kaakaa@|@paternal uncle@
@kaakindo@|@chameleon@
@kaakri@|@cucumber@
@kaando@|@wrist@
@kaaro@|@black@
@kabootar@|@pigeon@
@kacch@|@glass@
@kaddh@|@remove@
@kade@|@when?@
@kaleji@|@liver@
@kam@|@work@
@kamar@|@waist@
@kamvaari@|@maid@
@kamvaaro@|@servant@
@kan@|@ear@
