@English@|@Slovak@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@a@|@pred týždňom@
@a bit@|@trošku@
@a great many@|@veľmi veľa@
@a little@|@trošku@
@a little later@|@trochu neskôr@
@a long time@|@dlho@
@a long while ago@|@pekne dávno@
@a lot of@|@veľa@
@a week ago@|@pred týždňom@
@A.D.@|@po Kristovi@
@a.s.a.p.@|@čo najskôr@
@abandon@|@opustiť@
@abandoned@|@opustený@
@abolish@|@zrušiť@
@abort@|@zrušiť@
@about@|@asi, o, okolo@
@above@|@nažive@
@absolute@|@absolútny, čistý@
@absolutely@|@absolútne, naozaj, zaiste@
@abstract@|@referát@
@abundance of cash@|@prebytok hotovosti@
@abusive@|@hanlivý, hrubý@
@abusiveness@|@hanlivosť@
@academy@|@académia@
@accent@|@výslovnosť@
@acceptable@|@prevziatie@
@acceptance@|@preberanie, prevziatie@
@access@|@prístup@
@accident@|@náhoda, nehoda, smola@
@accidentally@|@náhodne@
@accommodation@|@bydlisko@
@accomplished@|@dokonalý@
@accomplishment@|@vykonanie@
@account@|@konto, účet@
@accountant@|@účtovník@
@ace software@|@výrobca programov@
@acne@|@trudovitosť@
@act@|@dejstvo, konanie@
@action@|@dej, konanie@
@activity@|@aktivita, činnosť@
@actually@|@Skutočne, skutočnosti (v sk.), v skutočnosti@
@add@|@sčítať@
@addictive@|@vytvárajúci návyk@
@addition@|@doplnok, prídavok@
@address@|@adresa@
@address book@|@adresár@
@address card@|@vizitka@
@adhesive@|@lepidlo@
@adjective@|@adjektívny@
@administration@|@ministerstvo@
@admire@|@želať@
@adult@|@dospelý@
@adultery@|@cudzoložstvo@
@advance@|@zlepšenie@
@advanced user@|@pokročilý užívateľ@
@advanced users@|@pokročilý užívatelia@
@advantage@|@úžitok, výhoda@
@adventure@|@dobrodružstvo@
@adventurous@|@dobrodružný@
@adverb@|@príslovka@
@advertisment@|@inzerát, oznámenie@
@advice@|@porada@
@advise@|@poradiť sa, radiť@
@affair@|@obchod@
@afflicted@|@stiesnený@
@afford@|@dopriať si, poskytovať@
@afraid (be a.)@|@mať strach, obávať sa@
@after@|@po, potom@
@after all@|@dokonca, napokon, predsa@
@afternoon@|@odpoludnie, poobedie@
@afternoon (in the a.)@|@popoludní@
@afterwards@|@následne, potom@
@again@|@ešte raz, opäť, znovu@
@against@|@proti@
@agenda@|@jednanie, program@
@agent@|@sprostredkovateľ@
@agitated@|@nekľudný@
@ago@|@pred@
@agree@|@slúžiť@
@agree (upon)@|@dohodnúť sa@
@agree to terms@|@súhlasiť s podmienka@
@agreed@|@súhlasí@
@agreement@|@dohoda, súhlas@
@air@|@vzduch@
@air mail@|@letecká pošta@
@air mattress@|@nafukovací matrac@
@air plane@|@lietadlo@
@air ticket@|@letenka@
@air-bed@|@nafukovací matrac@
@air-hostess@|@letuška@
@airport@|@letisko@
@alarm@|@poplach@
@alas!@|@bohužiaľ@
@alcohol@|@alkohol@
@alert@|@ostražitý, pohotovosť, poplach@
@A-level exam@|@maturita@
@alive@|@nažive@
@all@|@všetci, všetko@
@all at once@|@znenazdajky, zrazu@
@all in all@|@celkom, celkove@
@all in good time@|@všetko v pravý čas@
@All Souls Day@|@Dušičky@
@all the same@|@predsa však@
@allowance@|@tolerancia@
@allowed@|@dovolený, prípustný@
@almost@|@asi, skoro@
@alone@|@sám@
@along@|@ďalej, pozdĺž@
@alphabetic word@|@abecedné slovo@
@alphanumeric word@|@alfanumerické slovo@
@already@|@už@
@also@|@tiež@
@alter@|@meniť@
@alternation@|@zmena@
@although@|@hoci@
@altitude@|@výška@
@aluminium@|@hliník@
@always@|@stále, vždy@
@amateur@|@neodborník@
@amateurish@|@neodborný@
@ambulance@|@záchranka@
@ambush@|@číhať@
@America@|@Amerika@
@American@|@americký@
@amiss@|@chybne@
@ammunition@|@strelivo@
@amorous@|@zamilovaný@
@amplifier@|@zosilňovač@
@analyst@|@analytik@
@ancestor@|@predchodca@
@and@|@a@
@and so forth@|@a tak ďalej@
@and so on@|@a tak ďalej@
@and what about@|@a čo@
@angry@|@zlostný@
@angry (be a. at)@|@hnevať sa na@
@anguish@|@úzkosť@
@animal@|@zviera@
@Anno Domine@|@po Kristovi@
@announce@|@oznámiť@
@announcement@|@hlásenie@
@annoying (how a.)@|@nepríjemné (aké n.)@
@annual@|@výročné@
@annual audit@|@ročné vyúčtovanie@
@anorak@|@bunda@
@another@|@ešte, ešte jeden@
@answer@|@odpovedať@
@answering@|@prihlásenie@
@anticipate@|@tušiť@
@antiquarian@|@antikvariát@
@anxiety@|@úzkosť@
@any@|@nejaký@
@anymore@|@ešte@
@anything else?@|@ešte niečo?@
@apart from@|@nehľadiac na@
@apologize@|@ospravedlniť sa@
@apology@|@ospravedlnenie@
@apparatus@|@prístroj@
@apparition@|@strašidlo, zjavenie@
@appendix@|@slepé črevo@
@apple@|@jablko@
@apples@|@jablká@
@appliance@|@prístroj@
@applicant@|@uchádzač@
@apprehension@|@chápanie@
@approximately@|@približne@
@apricot@|@marhuľa@
@April@|@apríl@
@arcade game@|@počítačová hra@
@architect@|@architekt, staviteľ@
@architecture@|@architektúra@
@argue@|@hádať sa@
@argument@|@spor@
@arm@|@paža, rameno@
@armchair@|@kreslo@
@armed@|@ozbrojený@
@around@|@okolo, približne@
@arrange@|@usporiadať@
@arrest@|@uväzniť@
@arrive@|@pricestovať@
@arrive by air@|@priletieť@
@art of self-defence@|@šerm@
@article@|@článok, predmet@
@as@|@ako, keď, pretože, tak@
@as always@|@ako vždy@
@as good as@|@temer, vlastne@
@as soon as@|@čím skôr@
@as soon as possible@|@čo najskôr@
@as usual@|@ako zvyčajne@
@ashtray@|@popolník@
@ask@|@pýtať (sa)@
@assistant@|@pomocník@
@assume@|@domnievať sa, predpokladať@
@assumption@|@predpoklad@
@assurance@|@zaistenie@
@at@|@na prvý pohľad@
@at a@|@od tela@
@at a blow@|@naraz@
@at all@|@vôbec@
@at last@|@konečne@
@at least@|@aspoň, minimálne@
@at once@|@hneď, naraz@
@at one stroke@|@naraz@
@attempt@|@pokúsiť sa@
@attention@|@pozornosť@
@attention!@|@pozor!@
@attentive@|@pozorný@
@attitude@|@postoj@
@attractive@|@pôvabná@
@August@|@august@
@aunt@|@teta@
@authentic@|@autentický, pravý@
@autumn@|@jeseň@
@available@|@k dispozícii@
@average@|@priemerný@
@away@|@preč@
@awe@|@bázeň, úzkosť@
@awkward@|@neohrabaný@
@Bachelor of Arts@|@bakalár filozofie@
@Bachelor of Medicine@|@bakalár medicíny@
@Bachelor of Science@|@bakalár vied@
@back@|@späť, zadok@
@back (of body)@|@chrbát@
@back and forth@|@hore-dolu, sem a tam@
@background@|@výchova@
@backhander@|@úplatok@
@backlash@|@spätný náraz@
@backwoods@|@zálesie@
@bad@|@chorý, zlý@
@bad taste@|@nevkus@
@badge@|@odznak, označenie@
@badger@|@jazvec@
@bad-looking@|@škaredý@
@badly@|@chorý@
@baffle@|@prekaziť@
@bafflement@|@zmarenie@
@bag@|@peňaženka, sáčok, taška, vrece@
@bag (leather-bag)@|@mech@
@bagpipes@|@gajdy@
@ball@|@lopta@
@Baltic Sea@|@Baltické more@
@bank@|@banka@
@bar@|@výčap@
@bar code@|@čiarkový kód, prúžkový kód@
@bar(-counter)@|@pult@
@barbecue@|@ražeň@
@barbed wire@|@ostatný drôt@
@bare@|@holý, prostý@
@barn@|@stodola@
@baroque church@|@barokový kostol@
@basic@|@základný@
@bask@|@opaľovať sa@
@basket@|@košík@
@basketball@|@basketbal@
@bath@|@kúpať, kúpeľ@
@bath tub@|@vaňa@
@bathroom@|@kúpelňa@
