@English@|@Chuvash@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a bit@|@pärtak@
@a Chuvash native garment@|@tevet@
@a coin@|@pus@
@a curved knife@|@avd'@
@a dent for inserting bottom@|@sart@
@a fence@|@ukälcha@
@a flail to thresh grain@|@avän@
@a k. of berry@|@peurleuxen@
@a k. of broom@|@sol'k@
@a k. of fern@|@uba-zarri@
@a k. of grass@|@m'jan@
@a k. of squirrel@|@šolxan, šulgan@
@a kind of carp@|@karas@
@a kind of waffle@|@ikerchë@
@a little@|@käsht@
@a man who has nothing@|@shuk-shyn@
@a measure@|@hälash@
@a pinch@|@chäpkäm, chäptäm@
@a plant which grows in damp@|@sur'x sälli@
@a sort of god@|@Pülëh@
@a stinging insect@|@xyt-kaj'k@
@a struggle@|@shapäshu@
@a tuft of wool@|@t'l'm@
@abandon@|@xor-@
@abbreviate@|@kësket@
@ablative case@|@tuhu@
@above@|@tärri@
@abruptly@|@pak@
@according to@|@täräh@
@accusative case@|@tävu@
@acid@|@jüzä@
@acorn@|@jëkel@
@adjective@|@pallä jachë@
@advice@|@kanaš-la-@
@after@|@hyshshän@
@afterbirth@|@köpchek@
@again@|@tatah@
@against@|@hirësh@
@agent@|@shpion@
@agreement@|@kilëshü@
@agressors@|@zahvatchik@
@agricultural technology@|@agrotehnika@
@agriculture@|@jal-hushaläh, tështyrä hushaläh@
@air@|@sivläch@
@airplane@|@samol'ot@
@aka@|@plow@
@alas!@|@hät lo!@
@alder@|@siräk@
@alive@|@chärä@
@all@|@pëtëm@
@all day@|@kunëpe@
@alone@|@pëcchen@
@also@|@-bala, -balan@
@although@|@pulin te@
@always@|@jalan, jalanah@
@amble@|@iš-@
@amen@|@amin@
@an amount of rubles@|@tenkëlëh@
@an ending of the 2d person@|@-n@
@an ungenerous person@|@hytkukar@
@and@|@ta, tata@
@angel@|@pirëchti@
@angelica@|@šawma@
@anger@|@öpke, silä, üpke@
@angle@|@këtes, päusmex@
@angrily@|@x'rr'n@
@animal@|@byl'äx, chër chun@
@animals and birds@|@kaj'k-käš, kaj'k-käžäk@
@annually@|@shulseren@
@another@|@uräh@
@ant@|@kätkä@
@anvil@|@suntal@
@any@|@por, temënle@
@anyone@|@kam ta pulin@
@apex@|@tärä@
@apple@|@panulmi, ulma@
@appletree@|@ulmushshi@
@April@|@aprel@
@aquila fulva@|@pärgät@
@arm@|@alä, hul, hulä@
@Armenian@|@Ermen@
@armful@|@ydam@
@arrow@|@çëmren, oh', säumäurlen, säumäurlen, säumren, säumren, ugu@
