@English@|@Mapuche@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a ceremony@|@Ngillantun@
@a hundred@|@kiñe pataka@
@a little@|@pichin@
@a little bird@|@chile@
@a lot@|@fentren@
@a male's son@|@fotüm@
@A moment@|@QUIÑEADO@
@A shade@|@QUIÑETRU@
@a while ago behind@|@kuyfi@
@achren@|@guadal@
@action developed to short time@|@Yeküme, yeküpa@
@Affection@|@poye@
@after four days@|@meli wen·tu mew@
@Alba@|@curüun@
@alive Bodies@|@LIHUE CALEL@
@almighty God@|@VITA UENTRA@
@almost@|@epe@
@almost everything@|@epe kom@
@Almost to the limit@|@EPECUÉN@
@alone@|@kisu@
@also@|@Ka@
@alternative of uw-iñ@|@üw-iñ@
@among blackish waters@|@chascomus@
@amusement@|@ayekantun düngu@
@amusing man@|@ayekan wentru@
@an action that began fully@|@dew@
@and to who more?@|@¿ka iney am?@
@Andean Deer@|@GUEMIL, HUEMIL@
@angina@|@alulun-colol-colol@
@Angry@|@illcúlen@
@animal@|@kulliñ@
@Animal@|@culliñ@
@Ankle@|@Pali-pali@
@another river@|@calefú@
@Ant@|@COLLALLA@
@anything@|@chemrume@
@Anything@|@Chemnorume@
@appendix@|@chumpun@
@Appetite@|@llipün@
@area that gathers the lagoons@|@chivilcoy@
@Ark of raw leather@|@TRUNK@
@arm@|@lipang@
@Army@|@linco@
@Army of eaglets@|@LINCON@
@Army of lions@|@LINCOPAN@
@around one@|@QUIÑEHUALO@
@as a ship@|@fote reke@
@as stone@|@REUMAYCURÁ@
@asthma@|@cavir@
@at midnight@|@rangi pun·@
@at the little time@|@pichin mew@
@aunt@|@ÑUKENTU@
@aunt on the part of mother@|@ñukentu, palu@
@Autumn@|@Hualung@
@Axe@|@toqui@
@baby@|@pichiche@
@back@|@furi@
@back Viper@|@PALLAFIL@
@bad@|@weda@
@Bald@|@lauün@
@bale@|@fardo@
@ball game@|@chueca@
@barbecue@|@chranacu charrusco@
@Barbecued steak@|@chranacu@
@Basket@|@cúlco@
@bay Coat@|@FAYU@
@Be calm@|@LLACOLEN@
@be dying from hunger@|@LALENGÙÑÜN@
@be in peace@|@CÜMELEN@
@Be of the army@|@LINCOQUEO@
@be six@|@cayun@
@Beard@|@PAYÜM@
@Beautiful@|@ad-aden, aiviñ@
@Beauty@|@ad-ngüen@
@Bed@|@cachuitu@
@Behind@|@vuri@
@Bells that lolled of the neck@|@MAIMATÚ@
@Belong to the faith healers@|@MASALLE@
@Below@|@nag@
@big@|@buta, füta@
@Big@|@vucha-futa@
