@English@|@Vietnamese@
@Author name@|@Khoi Bui@
@Font@|@Arial\12\VPS Tuyen Duc\14@
@a few@|@vài@
@a kind of evil; ugly woman@|@då xoa@
@a lot@|@l¡m@
@a STD@|@lÆu@
@a type of Vietnamese sausage@|@giò thû@
@abacus@|@bàn tính Tàu@
@abandon (v)@|@bÕ@
@abdicate@|@thoái vÎ@
@ablution@|@rºa t¶i@
@abnormal@|@bÃt bình thÜ©ng, khác thÜ©ng@
@abolish@|@bãi bÕ@
@abort@|@bãi bÕ, chÃm dÙt s§m, phá thai@
@abort (v)@|@hûy bÕ, phá thai@
@abound (v)@|@có nhiŠu@
@about face@|@Ç¢ng sau quay@
@abrasive@|@Çánh bóng, vÆt liŒu dùng chà@
@abroad@|@ª trên tàu@
@abrupt@|@bÃt thÀn@
@absence@|@v¡ng m¥t@
@absent@|@v¡ng@
@absentee@|@ngÜ©i khi‰m diŒn@
@absentee ballot@|@phi‰u bÀu khi‰m diŒn@
@absent-minded@|@Çãng trí@
@absolute@|@tuyŒt ÇÓi@
@absorb through learning or training@|@hÃp thø@
@abuse@|@båo hành, låm døng, tham låm@
@accessible@|@Ç‰n ÇÜ®c, Çåt ÇÜ®c, khä nhÆp, vào ÇÜ®c@
@accident@|@tai nån@
@accidental@|@l«@
@accomplished@|@thành t¿u@
@accomplishment@|@thành tích@
@account (n)@|@trÜÖng møc@
@account (v)@|@ki‹m Çi‹m@
@accuse@|@tÓ, tÓ cáo@
@achievement@|@thành quä@
@acquittal@|@tha b°ng@
@across@|@ngang@
@act (drama)@|@màn@
@act as dictated by the situation@|@tùy cÖ Ùng bi‰n@
@act of bowing in front of altar or someone@|@vái@
@act superior to others thanks to own high position@|@quan liêu@
@act without fear of anyone or consequences@|@tác oai tác quái@
@acting@|@Çóng kÎch, giä v©, tåm quyŠn@
@acting (acting director)@|@quyŠn (quyŠn giám ÇÓc)@
@actress@|@Çào@
@actually@|@chính ra@
@acupuncture@|@châm cÙu@
@adapt@|@thích Ùng@
@add (v)@|@c¶ng@
@addicted@|@nghiŒn, nghiŠn@
@additional@|@thêm@
@address (n)@|@ÇÎa chÌ@
@address (v)@|@Ç‹ š Ç‰n, ÇÓi phó@
@adequate@|@ÇÀy Çû@
@adjust@|@chÌnh@
@administer@|@thi hành@
@Admiral@|@ñŠ ñÓc@
@admire@|@ngÜ«ng m¶, phøc@
@admit@|@công nhÆn, thú nhÆn, thú thÆt@
@admit (v)@|@thú@
@admitted into a school@|@nhÆp môn@
@adore@|@ái m¶@
@adroit@|@khéo léo, khôn khéo@
@advance@|@ti‰n@
@advance (v)@|@xông@
@advanced@|@tiŠn ti‰n@
@advantage@|@Üu Çi‹m@
@advantageous position@|@thÜ®ng th‰@
@adventurous@|@måo hi‹m@
@advice@|@vÃn š@
@advise@|@d¥n@
@affair@|@s¿ viŒc, vø@
@affirm@|@minh ÇÎnh, xác ÇÎnh@
@afloat@|@lênh Çênh@
@against@|@chÓng, phän@
@age at death@|@hÜªng th†@
@age discrimination@|@kÿ thÎ tu°i tác@
@aggravated (law)@|@gia tr†ng@
@aggressive@|@hæng, hung hãn@
@agree to@|@chÎu, ÇÒng š@
@agreement@|@ÇÒng š, h®p ÇÒng, thÕa thuÆn@
@agriculture@|@nông nghiŒp@
@aid@|@cÙu tr®, viŒn tr®@
@aid station@|@tråm cÙu thÜÖng chi‰n trÜ©ng@
@aide-de-camp@|@tùy viên quân s¿@
@ain't@|@ti‰ng lóng cûa isn't (xÃu)@
@air@|@khí, không trung@
@air plane@|@máy bay@
@airline@|@hàng không@
@alarming event or occurence@|@bi‰n Ç¶ng@
@alarmist@|@ngÜ©i la hoäng@
@alcoholic@|@nghiŒn rÜ®u@
@alcove@|@ch‡ trÛng høt vào trong tÜ©ng@
@alert@|@báo Ç¶ng@
@alert (adj)@|@tÌnh táo@
@algarroba@|@m¶t loåi cây mesquite@
@alias@|@bí danh@
@alien@|@Ç¶ng vÆt tØ hành tinh khác, ngoåi nhân@
@alienate (v)@|@hÆn thù; tách xá, trª nên xa cách@
@alike@|@giÓng, nhÜ nhau@
@all lost@|@tiêu tùng@
@all out assault@|@t°ng tÃn công@
@all the way to the end@|@tÆn cùng@
@allay (v)@|@giÆn d», làm dÎu Çi, s®, tan Çi lo l¡ng@
@allege (v)@|@thŠ h‡ tr®@
@alleviate (v)@|@làm b§t Çi@
@alley@|@ngõ hÈm@
@alliance@|@k‰t h®p, liên k‰t, liên minh@
@alligator@|@cá sÃu (mÕ to hÖn crocodile)@
@allocate (v)@|@phân chia@
@allowance@|@s¿ cho phép, tiŠn túi@
@allude (v)@|@ÇŠ cÆp Ç‰n m¶t cách sÖ khªi@
@allure (v)@|@làm mê ho¥c@
@almost@|@gÀn, hÀu nhÜ, thi‰u ÇiŠu, xém@
@alms@|@cûa bÓ thí@
@alone@|@Ç¶c, trÖ tr†i@
@alone against many@|@cô th‰@
@aloud@|@to ti‰ng@
@altar@|@bàn th©@
@alter (v)@|@thay Ç°i@
@alternate@|@d¿ khuy‰t@
@alternator@|@máy bi‰n ÇiŒn trong xe hÖi@
@altitude@|@cao Ç¶@
@altogether@|@ÇÒng, ÇÒng lòng@
@altruism@|@chû nghïa vÎ tha@
@alumna@|@c¿u n» sinh viên@
@alumnus@|@c¿u nam sinh viên@
@am@|@là@
@amarelle@|@trái cherry chua@
@ambassador@|@Çåi sÙ@
@ambiguous@|@mù m©@
@ambition@|@tham v†ng@
@ambush@|@phøc kích@
@amend@|@bÒi thÜ©ng, tu chính@
@amend (v)@|@sºa Ç°i, tu chính (LuÆt)@
@America@|@MÏ@
@amiss@|@loång quång@
@ammunition@|@Çån dÜ®c, thuÓc n°@
@amnesty@|@ân xá@
@amor vehicle@|@thi‰t giáp, xe b†c s¡t@
@amortize (v)@|@chi‰t c¿u@
@amphibious landing@|@Ç° b¶@
@amphitheater@|@hí trÜ©ng@
@analyst@|@phân tích gia@
@analyze@|@phân tách, phân tích@
@anatomy@|@cÖ th‹ h†c@
@anchor@|@neo@
@and@|@và@
@angle@|@góc cånh@
@angler@|@ngÜ©i câu cá@
@angry@|@phÅn n¶, tÙc@
@animal@|@thú@
@animalistic@|@thú tính@
@animalistic desire@|@thú tính@
@annoucement@|@loan tin@
@announcement@|@thông cáo, thông tÜ@
@anonymous@|@n¥c danh@
@answer@|@Çáp@
@ant@|@ki‰n@
@anti@|@chÓng ÇÓi, phän@
@anticipate@|@d¿ trù, trù liŒu@
@antique (adj)@|@c° l‡ xï, c° xÜa@
@antique (n)@|@ÇÒ c°@
@anti-war@|@phän chi‰n@
@anus@|@hÆu môn@
@anxioux@|@thÃp thÕm@
@any@|@bÃt cÙ@
@anyone@|@bÃt cÙ ai@
@anything@|@bÃt cÙ gì@
@anywhere@|@bÃt cÙ ch‡ nào@
@apathy@|@bÃt cÀn, lånh nhåt@
@appeal a lower court decision@|@kháng cáo@
@appeal a verdict@|@kháng án@
@appear@|@hiŒn ra@
@appear before a king@|@y‰t ki‰n@
@appearance@|@diŒn måo, m¥t mÛi, mã@
@appendix@|@ru¶t dÜ@
@applicable@|@Ùng døng@
@application for something@|@ÇÖn@
@apply@|@th¿c hành@
@appoint for election@|@ÇŠ cº@
@appropriate@|@Çúng Ç¡n@
@approximate@|@áng chØng@
@aquatic@|@thûy tính@
@aqueduct@|@kinh Çào@
@archer@|@cung thû@
@are@|@là@
@area (geomertry)@|@diŒn tích@
@argue@|@cãi@
@argue (v)@|@cãi vã, tranh cãi (tòa)@
@arm@|@tay@
@arm (v)@|@võ trang@
@armored personnel transport vehicle@|@thi‰t vÆn xa@
@armored vehicle@|@thi‰t giáp@
@arms@|@khí gi§i@
@arms and legs@|@tÙ chi@
@arrange@|@xoay sª@
@arrange furniture@|@bÀy biŒn@
@arrest (v)@|@b¡t@
@arrive (v)@|@Ç‰n@
@arrrest@|@tóm@
@art@|@mÏ thuÆt@
@artcraft@|@thû công nghŒ@
@article@|@bài báo, måo t¿ (Væn phåm)@
@article (plural@|@các@
@as one wishes@|@tùy hÌ@
@ash@|@tàn, tro@
@ash (cigarette@|@tàn thuÓc@
@ask@|@hÕi@
@ask for a loan@|@mÜ®n n®@
@ask for help (v)@|@nh©@
@ask to do@|@bäo làm@
@aspect@|@khía cånh@
@asphalt@|@h¡c ín@
@assassin@|@thích khách@
@assault@|@båo hành@
@assign work@|@phân công@
@assignment@|@công tác@
@assistance@|@tr® giúp@
@association@|@h¶i, nhóm@
@Association of South East Asian Nations (ASEAN)@|@Liên Minh Phòng Thû ñông Nam Á@
@assure@|@bäo Çäm@
@astrology@|@bói@
@astronomy@|@thiên væn h†c@
@at any rate@|@bÃt cÙ giá nào@
@at least@|@ít ra@
@at the end of the rope@|@måt rŒp@
@at the same time@|@ÇÒng th©i@
