@English@|@Estonian@
@Author name@|@Indrek Hein@
@Font@|@Arial\12\Arial\12@
@$100-a-plate dinner@|@heategevuslik bankett, tuluõhtu@
@$64 question@|@< sixty-four-dollar question@
@101@|@algtõed@
@10th@|@kümnes@
@1200 hours@|@kell 12.00@
@1st@|@esimene@
@2@|@kaks@
@2D@|@kahemõõtmeline@
@2nd@|@teine@
@3-d@|@kolmemõõtmeline, ruumiline@
@3D@|@kolmemõõtmeline, ruumiline@
@3-D@|@kolmemõõtmeline, ruumiline@
@3rd@|@kolmas@
@4th@|@neljas@
@5th@|@viies@
@6th@|@kuues@
@7-11@|@7-11 (Am kiirtoidukett)@
@7-Eleven@|@7-11 (Am kiirtoidukett)@
@7th@|@seitsmes@
@8th@|@kaheksas@
@9th@|@üheksas@
@a@|@(üks, keegi, umbmäärane artikkel)@
@a bad scene@|@jama@
@a billion@|@miljon@
@a bit@|@pisut, veidike@
@a bit different@|@veidi erinev@
@a bit much@|@veidi liialdatud@
@a bit thick@|@veidi liiga paks@
@a bundle of nerves@|@närvipundar@
@a cappella@|@a cappella (saateta)@
@a card up your sleeve@|@salaplaan, trump@
@a certain@|@keegi, mingi, teatud@
@a certain number@|@teatud arv@
@a couple of hundred@|@mõnisada@
@a cut above@|@rohkem kui@
@a day early@|@päev varem@
@a decent sort of fellow@|@täitsamees@
@a dime a dozen@|@jalaga segada, tavaline@
@a dog's life@|@koeraelu@
@a drop in the ocean@|@tilk meres@
@a far cry@|@midagi hoopis muud kui, suur vahe@
@a fat lot@|@palju (irooniliselt)@
@a feather in your cap@|@uhkuseasi@
@a few@|@mõni, natuke, üksikud@
@a few decades@|@paarkümmend aastat@
@a few words of wisdom@|@paar tarkusesõna@
@a fool@|@loll, narr@
@a fortiori@|@seda enam, tugevamini@
@a great deal@|@kõvasti, palju@
@a he@|@isane, meessoost@
@a hell of a@|@põrgulik, üks kuradima suur@
@a hit below the belt@|@löök allapoole vööd@
@a hundred to one@|@sada ühe vastu@
@a la@|@moodi, nagu, ą la@
@à la@|@moodi, nagu, ą la@
@a la carte@|@menüüst üksikult tellides, ą la carte@
@a la mode@|@moodi ; jäätisekattega@
@a little@|@natuke, pisut, veidi@
@a little at a time@|@vähehaaval@
@a little too thick@|@pisut liiga paks@
@a lot@|@kõvasti, tublisti@
@a lot alike@|@tublisti sarnane@
@a matter of time@|@aja küsimus@
@a million@|@miljon@
@a native of@|@pärit@
@a number of@|@mitmed, palju@
@a number of times@|@korduvalt@
@A one@|@parim, tipp-@
@a piece of cake@|@käkitegu@
@a place in the sun@|@koht päikese all@
@a pop@|@igaüks, tükk@
@a posteriori@|@a posteriori, faktidest tuletatud@
