@English@|@Nogai@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a castrated camel@|@atan@
@a k. of berry@|@böldirgen, büldirgen@
@a k. of grass@|@myja@
@a k. of musical instrument@|@qobyz@
@a k. of reed@|@qoha@
@a k. of short coat@|@jeleng@
@a little@|@az@
@a man's wife's younger sister@|@baldyz@
@a mass of hair@|@jabahy@
@a pinch@|@šymqym@
@a seed@|@as@
@abandon@|@qoj-@
@abhor@|@jijren-@
@above@|@ör@
@absent-minded@|@ala-ng-ha-s-ar@
@acid@|@ašy@
@additionally@|@tahy@
@advice@|@kenges@
@afraid@|@ijmen-@
@after@|@song@
@age@|@jylqy@
@alive@|@tiri@
@all@|@sawlaj@
@also@|@-ben@
@an ending of the 2d person@|@-ng@
@ancient@|@eski@
@anger@|@öpke, öš@
@angle@|@müjis@
@ankle joint@|@asyq@
@ant@|@qumyrsqa@
@area covered with stones@|@saj@
@arm@|@qol@
@arrow@|@oq@
@artery@|@tamyr@
@ash tree@|@küjriš@
@ashes@|@kül, qoq@
@asp-tree@|@elmen@
@aunt@|@aba@
@autumn@|@küz@
@aware@|@saq@
@awl@|@biz@
@axe@|@balta@
@back@|@arqa, arqa, art, keri@
@back of horse@|@sawyr@
@back of the neck@|@engse@
@back part@|@syrt@
@bad@|@jaman, osal@
@bad weather@|@jut@
@badger@|@borsyq@
@bald@|@taz@
@band@|@šaluw@
@bandit@|@qaraq@
@bark@|@qabyq@
@barley@|@arpa@
@barren cow@|@qysyr@
@bat@|@jar-hanat@
@be brought together@|@qawyš-@
@be satisfied@|@una-@
@beautiful@|@közel@
@become pale@|@ong-@
@bed-bug@|@qandalaj@
@beetle@|@böjek, qongyz@
@bell@|@qongyraw@
@bellows@|@köräk@
@belly@|@qaryn@
@bend@|@qajyr-, qyjsaj-@
@berry@|@jelek@
@big@|@bijik, üjken@
@big needle@|@teben@
@big vessel@|@šapšaq@
@birch tree@|@qajyng@
@bird@|@qus@
@bird's crop@|@bötege, böteke@
@bitch@|@qanjyq@
@black@|@qara@
@bladder@|@quwyq@
@blanket@|@jurqan, juwyrqan@
@blood@|@qan@
@blue@|@kök@
@boar@|@qaban@
@boat@|@keme@
@body@|@boj, syn@
@bone@|@süjek@
@bosom@|@qojyn@
@bother@|@embek@
@bow@|@jaj@
@bow string@|@kiris@
@brace joining the wheel hoop@|@qasnaq@
@brain@|@myj@
@bran@|@kebek, qavyz@
@branch@|@butaq, šybyq, tarmaq@
@brave man@|@jigit@
@bread@|@ötpek@
@break off@|@omyr-@
