@English@|@Kirghiz@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a castrated camel@|@atan@
@a curved knife@|@ijdi@
@a gentle address@|@qaraq@
@a gift of food to someone@|@kepsen, kesmen@
@a hysterical woman@|@belim-chi@
@a k. of berry@|@büldürkön@
@a k. of bush@|@balhyn@
@a k. of falcon@|@sary@
@a k. of fermented milk@|@körchök@
@a k. of grass@|@myja, žeken@
@a k. of musical@|@qobuz@
@a k. of poplar@|@char terek@
@a k. of short coat@|@želbegej, želegej, želek@
@a k. of small hawk@|@žahalmaj@
@a k. of tree@|@aq chechek@
@a k. of upper clothes@|@qars@
@a little@|@az@
@a little bit@|@bir tike@
@a mass of hair or wool@|@žabaha@
@a metal vessel@|@chöngke@
@a mongrel of a yak and cow@|@jarhyn@
@a pinch@|@chymchym@
@a sharp object@|@sojö@
@a young calf@|@torpaq@
@abandon@|@qoj-@
@abhor@|@žerin-, žijirken-, žiren-@
@above@|@ör@
@acacia@|@qarahan@
@additionally@|@daa, dahy, tahy@
@advice@|@kengeš@
@adze@|@kerki@
@afraid@|@ijmen-@
@after@|@song@
@again@|@žana@
@age@|@žylqy@
@air@|@aba@
@alive@|@tiri, tirik, tirü@
@all@|@barcha, top@
@also@|@minen@
@an emphatic interjection@|@apej@
@an ending of the 2d person@|@-ng@
@ancient@|@eski, eski@
@and@|@jana@
@anger@|@öpkö@
@anguish@|@cher@
@animal@|@aiban@
@animal's hair@|@tük@
@announcement@|@žar@
@ant@|@kymurska, qumursqa@
@apple@|@alma@
@apricot@|@örük@
@aquila fulva@|@bürküt@
@archness@|@tögün@
@area covered with stones@|@saj@
@arm@|@kol, qar, qary, qol@
@armour@|@qyjaq@
@arrow@|@jebe, ok@
@arthritis of metacarpus@|@qobuq@
@as well@|@basa@
@ash@|@kül@
@ashes@|@kül, qoq@
@astonished@|@angyr-@
@attack@|@qun-@
@attention@|@qunt@
@aunt@|@apa@
@autumn@|@küz@
@aware@|@saq@
@awl@|@miz@
@axe@|@balta@
@back@|@arqa, art, keri@
@bad@|@osol, žaman, žek@
@bad influence@|@saldar@
@badly bred@|@chobur@
@bald@|@taz@
@band@|@chalhych@
@bandit@|@qaraqchy@
@bark@|@qabyq, qyrtyš@
@barley@|@arpa@
@barren cow@|@qysyr@
@barren mare@|@qysyraq@
@bat@|@žar-hanat@
@be brought together@|@qöš-@
@be lazy@|@žašy-@
@be satisfied@|@una-@
@beads@|@monchoq@
@bear@|@aiuy@
@beard@|@nan@
@beard of grain@|@qylqan@
@beautiful@|@közöl@
