@English@|@Daur@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st Sg. ps. pronoun obl. case@|@nam-@
@a cloth wrapper@|@kuachilahe@
@a drunk@|@sogetö, soretö@
@a k. of cheese@|@urume@
@a k. of vessel@|@xorgo@
@a k. of wild leek@|@gogos, guagas@
@a musical (string) instrument@|@kör@
@a part@|@koletuei, koletuhe@
@a pinch@|@chuëk@
@ability@|@chinë@
@above@|@dere@
@abrasion@|@där@
@afternoon@|@udur@
@again@|@dagï@
@age@|@uje@
@agreement@|@gerchil, gerchin, gerë@
@air@|@hij@
@ajar@|@žabeke@
@all@|@xö, xua@
@alone@|@ganchare, ganchi, gašikare, gaškä(r)@
@alternate@|@xala-@
@ancestor spirit@|@onggore@
@anger@|@aur, aure@
@angle@|@önchök@
@animals@|@žilžag, žilžig@
@answer@|@xarö@
@ant@|@suaigälži, suajhaleži@
@anxious@|@guni-@
@arm@|@gar, gari@
@armful@|@tewer@
@armpit@|@sö@
@arrow@|@som, some, somo@
@ashes@|@hunse, xuns, xunse@
@ash-grey@|@sälal, säral, särele@
@aspen@|@oles, xolordan möd@
@astonished@|@chochi-@
@awl@|@šeugu@
@axe@|@sugë, sugu, suhe@
@back of head@|@šëlë@
@bad@|@mö@
@bad omen@|@jor, jore@
@bald@|@malžin@
@bank@|@kechi@
@bare@|@niškön, nušike, nušken@
@be afraid of@|@chochi-@
@be cold@|@bede-, bere-@
@be heated@|@še-@
@be mixed up@|@xuimu-@
@be on time@|@žabede-@
@be wet@|@noir-, noirgä-@
@beautiful@|@goji, saikan, saixan@
@become cold@|@dära-, däre@
@become quiet@|@amal, amül@
@become wet@|@debte-, derte-@
@believe@|@šute-@
@bell@|@kuangarete, kuängarta, xuangarta@
@bellows@|@huruhe, xürug@
@below@|@dore, dorön, dörön, duar@
@belt@|@bese, buse@
@berserk@|@gäni@
@beyond@|@chä-š@
@big@|@šige, šihe, xig, xige@
@big fire@|@tuimer, tuimur, tujmere@
@big fish@|@auruhe@
@big span@|@tue@
@bind together@|@holebe-, xolbo- xolbu-@
@bird@|@šowö@
@bird net@|@xuarkë@
@bird-cherry@|@mojle@
@bitter@|@gasun, gasün@
@blab@|@cholchi-@
@black@|@hare, xar, xara@
@blade@|@xir@
@blind@|@balie, sogor, sogur, sohore, sokor@
@blood@|@chos, chose@
@bolster@|@bol, bolo@
@bone@|@jas, jase@
@boot-top@|@tur, turï@
@boot-tree@|@kelbej-@
@border@|@kižär@
@bosom@|@erchü@
@bottom@|@šigöre, šowöre@
