@Indonesian@|@English@
@Author name@|@Freelang@
@(~ bean) kacang merah@|@haricot@
@(adat) kalangan tingkat menengah@|@bourgeois@
@(alinea baru)@|@indent@
@(anak) kembar 4@|@quadruplet@
@(angka) kematian@|@mortality@
@(apel) coklat kemerah2an@|@russet@
@(bahan spt) kepala susu@|@cream@
@(bahaya) mungkin segera tjd@|@imminent@
@(baju yg terbuat dr kulit) cerpelai (putih)@|@ermine@
@(bekas) tusukan@|@prick up the ears@
@(benda) berbentuk segi4@|@quadrilateral@
@(ber)bau@|@smack@
@(ber)rasa@|@smack@
@(berbulu) panjang@|@shaggy@
@(berburu dgn) smcm musang@|@ferret@
@(berkenaan dgn) anggota gereja Episkopal@|@episcopalian@
@(bhs/logat) daerah@|@vernacular@
@(biaya) pemeliharaan@|@upkeep@
@(bicara) pendek@|@curt@
@(biji) tanaman yg ditumbuk utk bumbu@|@mustard@
@(bulu) musang hitam@|@sable@
@(burung) dpt terbang@|@fledged@
@(c/o):dengan alamat (d.a.)@|@care of@
@(cat) coklat tua@|@sepia@
@(cenderung) memusat@|@converge@
@(chy) berkedip2@|@glimmer@
@(daging@|@hot-pot@
@(daya) paham@|@comprehension@
@(di Inggris):tanah sewa utk tani@|@allotment@
@(di panggung)kata pemain kpd@|@aside@
@(di) antara@|@betwixt@
@(drh) terbatas/sempit@|@parochial@
@(dulu) org yg tdk usah mencari nafkah@|@gentleman@
@(gadis) rendah hati@|@coy@
@(gaun) mengembang bag bawahnya@|@flare@
@(gedung)@|@level@
@(geladak di) buritan kapal@|@poop@
@(hewan) makan pucuk (daun2an dll)@|@crop@
@(hiasan dr/spt/menghaluskan) bulu@|@plume@
@(hukum) mengenai@|@re@
@(kapal) terbalik@|@capsize@
@(kapal) yg terhenti krn tdk ada angin@|@becalmed@
@(karya seni dr) campuran tembaga+timah@|@bronze@
@(kata2) yg pahit & pedas@|@acrimonious@
@(kayu dari) pohon cemara@|@fir@
@(kayu dr) pohon di Eropa@|@elm@
@(kayu) berlubang2@|@wormeaten@
@(ke)berani(an)@|@daring@
@(ke)turunan@|@descendant@
