@Somali@|@English@
@Author name@|@Renato B. Figueiredo@
@aaba@|@father@
@aabayeel@|@pay attention@
@aabayeel@|@consider@
@aabayeel@|@be concerned about@
@aabba@|@father@
@aabbe@|@father@
@aabbur@|@stop up@
@aabbur@|@cover, plug@
@aabbur@|@plug@
@aabi@|@provocation@
@aabo@|@thoughtfulness@
@aad@|@you@
@aad-@|@go somewhere@
@aad-@|@leave for@
@Aad u culus ama u adag@|@acute adjective@
@Aad uma rooni@|@not so good@
@aadaan@|@call to prayer@
@aadame@|@human being@
@aadami@|@humanity@
@aadan@|@call to prayer@
@aadane@|@human being@
@aafo@|@disaster@
@aagaan@|@milk jar@
@aakhir@|@end@
@aakhiro@|@afterlife@
@aalad@|@weapon@
@aalkol@|@alcohol@
@aalkolo@|@alcohol@
@aammiin@|@amen@
@aammin@|@trust, honest person@
@aammus@|@be silent, silence@
@aan@|@I@
@aan@|@me@
@aannu@|@we@
@aannu@|@us@
@aano@|@resentment@
@aano@|@blame (1)@
@aar@|@revenge, take revenge@
@aaran@|@prosperity@
@aarbax@|@take revenge@
@aarsasho@|@revenge@
@aarso@|@take revenge@
@aas@|@burial@
@aas@|@bury@
@aasaas@|@establish@
@aasan@|@be burried@
@aashito@|@acid@
@aashuun@|@water-jar made of clay@
@aawadeed@|@for the sake of@
@aawadiis@|@for the sake of@
@aay@|@result in@
@aayatiin@|@future@
@aayo@|@benefit from, future, stepmother@
@ab@|@ancestors@
@aba@|@father@
@abaabul@|@organization, prepare@
@abaad@|@endure@
@abaad@|@last@
@abaaji@|@realize one has lost something@
@abaaji@|@realization of a loss@
@abaal@|@reward@
@abaalgud@|@recompense, return a favor@
@abaalmari@|@reward@
@abaar@|@drought@
@abab@|@learn, weaning@
@ababid@|@teaching@
@abaqaal@|@transplanting@
@abaydi@|@wean@
@abbaan@|@protector@
@abbaan@|@leader (2)@
@abbaan@|@patron@
@abbaanduule@|@commander@
@abbaanwarre@|@husband@
@abbaanwarre@|@head of a household, husband@
@abbaar@|@debt, aim at@
@abbaar@|@obligation@
@abbaaro@|@vicinity@
@abbaaro@|@proximity@
@abbo@|@father@
@abboowe@|@elder brother@
@abeso@|@of serpent@
@abhi@|@plead@
@abkoow@|@grandfather@
@aboor@|@termites@
@abooto@|@grandmother@
@abraar@|@stampede@
@abraar@|@rush@
@absaxan@|@ancestors@
@abshir@|@rejoice, good news@
@abti@|@maternal uncle@
@abuur@|@plant@
@abuuris@|@creation@
@abwaan@|@scholar@
@abwaanimo@|@scholarship@
@abwaanimo@|@wisdom@
@abxad@|@purse@
@abyan@|@be surprised, surprise@
@adab@|@small bag@
@adar@|@large bowl, pot@
@adayg@|@hardness@
@addadi@|@dry oneself@
@addan@|@Muslim call to prayer@
@addeec@|@obey@
@addin@|@call to prayer@
@addo@|@street@
@addo@|@road@
@addoon@|@slave@
@addoonsi@|@slavery@
@adduun@|@world@
@adduunyo@|@world@
@adeeg@|@service@
@adeeg@|@serve@
@adeegso@|@help@
@adeegto@|@maid@
@adeer@|@paternal uncle, uncle@
@aderio@|@kudu antelope@
@adeygey@|@I strengthened@
@adhi@|@sheep and goats@
@adhijir@|@shepherdess@
@adkaan@|@hardness@
@adkaansho@|@act of winning@
@adkeey@|@strenghten@
@adoo@|@father@
@adrees@|@adress, address@
@adyadee@|@provoke@
@adyadee@|@annoy@
@af@|@language@
@af@|@mouth@
@afaaf@|@doorway@
@afar@|@four@
@afar iyo toban@|@fourteen@
@afaraad@|@fourth@
@afargees@|@square@
@afargeesle@|@rectangle@
@afarran@|@group of four@
@afarran@|@fourth child@
@afartan@|@forty@
@afartanaad@|@fortieth@
@afbilaw@|@breakfast@
@afceli@|@interpret@
@afceliye@|@interpreter@
@afdarro@|@bluntness@
@afduub@|@abduction, kidnap@
@afee@|@sharpen@
@afeef@|@excuse@
@afeefasho@|@apology, explanation (1)@
@afeefso@|@make an apology@
@affur@|@meal eaten in sunset of Ramad@
@afgarad@|@understanding@
@afgarooc@|@inarticulate person@
@afgembi@|@turn upside down@
@afgensi@|@overthrow@
@afgobaadsi@|@placatory sweet-talk@
@afguri@|@dialect@
@afhaye@|@interpreter@
@afhayeen@|@advocate@
@afjig@|@to silence someone@
@afjuxuunsi@|@deception@
@aflaggaaddo@|@insult (1)@
@aflaggaaddo@|@insult (1)@
@aflax@|@succeed@
@afmaal@|@orator@
@afmaalnimo@|@oratory@
@afmeer@|@rim@
@afmeer@|@brim, go around the edge@
@afnaqe@|@interpreter@
@afo@|@lady@
@afo@|@wife@
@afraad@|@fourth@
@afrid@|@bullet@
@afro@|@contagion@
@aftahan@|@eloquent person@
@aftahmo@|@eloquence@
@afti@|@opinion@
@aftoolin@|@unsafe place@
@afuuf@|@blow@
@afuufo@|@breath@
@afxumo@|@insult@
@ag@|@nearness, near@
@agaag@|@neighbourhood@
@agaag@|@proximity@
@agaan@|@jar@
@agaasime@|@manager@
@agaasin@|@organize@
@agaasin@|@manage@
@agaasin@|@management@
@agab@|@usefulness, goods, things@
@agabar@|@training@
@agagaar@|@surroundings@
@agoon@|@orphan@
@agtiisa@|@near@
@aha@|@she is not@
@aha@|@he is not@
@ahaa@|@I was@
@ahaan@|@to become@
@ahaayeen@|@they were@
@ahaw@|@be!@
@ahay@|@I am, to be@
@ahayn@|@was not@
@ahaysii@|@create@
@ahaysiin@|@invention@
@ahi@|@to be@
@ahmiyad@|@objective@
@ahow@|@to be@
@ajalid@|@act of killing, death (1)@
@ajar@|@blessing, harm, deceive (1)@
@ajar@|@harm@
@ajeey@|@spoil@
@ajenda@|@agenda@
@aji@|@high-caste person@
@ajli@|@sake, reason@
@ajli@|@reason@
@ajnebi@|@foreigner@
@ajood@|@be shy@
@akademiye@|@academy@
@akar@|@acre@
@akeekan@|@argument@
@akeekan@|@argue@
