@English@|@Bolivian Quechua@
@Author name@|@Guy T. Gambill@
@Font@|@Arial\12\Arial\12@
@"Mother Earth"@|@Pacha Mama@
@(lit. "hot rear end")@|@rupaq siki@
@a double handful@|@pojtuy@
@a few words@|@iskay palabra@
@a joke@|@majt'illu@
@a little@|@as-@
@a little bit@|@tumpa@
@a long time@|@unay@
@a lot@|@askha, chanin@
@a measure@|@tupu@
@a mix@|@chajru@
@a pittance@|@phata@
@a small poncho@|@unkhu@
@a trumpet)@|@qeqere kunka@
@a type of beetle@|@waka waka@
@a type of black and red snake@|@jullut'uma@
@a type of cactus@|@achuma qhewillu, alqo tuna@
@a type of fruit@|@wakachu@
@a type of honey@|@lachiwana misk'i@
@abcess@|@ch'upo@
@able@|@ruwayniyoq@
@abonimable@|@millakuy@
@above@|@hanaq, hawanpi, patapi@
@absurd@|@mana chanin@
@abundance@|@chhaytukuy, waliq@
@abundant@|@waliq@
@abusive@|@atipayniyoq@
@accede@|@uynikuy@
@acceptable@|@uyniy@
@accompanied@|@yanasqa@
@accomplishments@|@ruwaninkuna@
@accountant@|@yupanki@
@accumulate@|@taqey@
@accusation@|@ch'atakuy, huchachakuy@
@acid@|@p'osqo@
@acne@|@muchhi, muchi@
@acting stupid@|@sonsochakoq@
@adobe@|@arwi, tika@
@adolescent@|@purun qora@
@adorned@|@achalasqa@
@adulterated@|@pampa warmi@
@adulterer@|@qhencha@
@adultery@|@wasanchay@
@adverse@|@qhencha@
@advice@|@yuyay qoy@
@affectionate nickname@|@chunkitu@
@afflicted@|@llakimana@
@affliction@|@llakiy@
@after a long time@|@unaymanta@
@afternoon@|@inti t'iksuy@
@afternoon meal for a trip@|@qoqawi@
@afterwards@|@qhepanmanta, qhepata@
@again@|@hokmanta, mosojmanta, waqmanta, watejmanta, watiqmanta, wiltamanta, yapamanta@
@against@|@allinmi@
@age@|@mita, wiña@
@aggrandize@|@hatunchay@
@agreement@|@rimankuy@
@aide@|@yanapaq@
@air@|@wayra@
@alfalfa@|@alwa@
@alimentary canal@|@melq'ote@
@all@|@lliw, q'alitu, tukuy, tukuynintin@
@all kinds of@|@imaymana rikch'aq@
@all ready@|@ñas@
@all together@|@huk nisqalla@
@ally@|@khumpalli@
@almost@|@yaqa@
@almost the same@|@yaqa kikin@
@alms@|@titu@
@alone@|@ch'ula, ch'ulla, chu'lla, sapallan, sapanpi@
@along@|@wask'apamanta@
@alot@|@ancha@
@alpaca@|@alpaqa, paqocha@
@already@|@ña@
@alright@|@walej@
@also@|@ima, llataq@
@also anata@|@tarka@
@altar@|@hamp'ara, pukara@
@although@|@chaypas@
@always@|@pasaq kutilla, wiñay@
@amazed@|@musphachisqa@
@ambition@|@munapakuy@
@amicably@|@khumpantinllanpi@
@amnesia@|@qonqaylli@
@among@|@ukhupi@
@amphitheater@|@apu suntur tiyana@
@ampule@|@phusullo@
@amulet@|@eqeqo, khuya@
@ancestors@|@ñawpa ayllu, ñawpa kawsay@
@ancient@|@thultu@
@ancient artifact@|@chullpa@
@ancient civilization near Lake Titicaca@|@Tiyawanaku@
@Andean deity@|@apu@
@Andean priest@|@alto misayoq@
@Andean rice@|@kinuwa@
@angel@|@angel, killki@
@anger@|@phiñakuy@
@angle@|@k'uchu@
@angry@|@phiña@
@anguish@|@sonqoyakuy@
@animal (domesticated)@|@uywa@
@animal fat@|@untu@
@animal like an alpaca@|@wanaku@
@ankle@|@chaki ñañu@
@annihilation@|@k'asu@
@announcer@|@willaq@
@annoyance@|@ch'eqmi@
@anoemia@|@upichukay@
@anointed@|@willaq@
@anorexic@|@mana mihunayay@
@another@|@hok, huk, waj, waq@
@ant@|@sik'imira, sisi@
@ant-like insect with colored back (yellow or red)@|@alqo alqo@
@anus@|@oqoti@
@anxious@|@sonqoyakuy@
@anything@|@imallapas, impallapas@
@aorta@|@hatun sirk'a@
@apathy@|@rumi kay@
@aperture@|@q'asa@
@apoplexy@|@t'uku@
@apostate@|@phusma@
@appeal@|@uyarichikuy@
@appearance@|@rickch'ay, rikch'aq@
@apprentice@|@yachachisqa@
@April@|@abril, ariway kamay killa@
@apt@|@chanin@
@arc@|@antuta@
@arduous@|@sinchikama chaniyoq@
@are you hungry@|@yarqasunkichu?@
@Are you thirsty@|@ch'akisunkichu?@
@are you well@|@allillanchu@
@argumentative person@|@qelqeri@
@arm@|@maki, ruk'ana@
@armadillo@|@khirkinchu@
@armpit@|@wallawak'u, wallwak'u@
@army@|@ejercito, walla wisa qhoyu@
@aroma@|@q'apay@
@arrogant@|@qhapa rikch'ay@
@arrogant; tall person@|@k'anka@
@arrow@|@wach'i@
@artery@|@sirk'a@
@article of faith@|@femanta willana@
@as@|@jina@
@ashamed@|@p'enqasqa@
@ash-colored@|@oqe@
@ashes@|@uspha@
@assemblage@|@huñuntin@
@assembled@|@huñusqy@
@assembly@|@huñuntin@
@assistant@|@k'imichu@
@asthma@|@qharqa onqoy@
@astringent@|@qhate@
@astuteness@|@yukalli@
@at the same time@|@kikin pachapi@
@athlete@|@lanlaku@
@attacker@|@atipaq@
@attentively@|@liw maki, liw makiwan@
@attenuated@|@qhechi@
@August@|@Agosto, chakra yapuy tarpuy killa@
@aunt@|@ipa@
@authority@|@kamachiq@
@auto@|@awtu@
@automatically@|@kikinmata@
@aversion@|@millapakuy@
@avocado@|@pallta@
@awake@|@risch'asqa@
@awe-inspiring@|@manchakuy@
@awesome@|@mancharichikuyniyoq, manchayniyoq@
@awful@|@q'aymasqa@
@axe@|@k'acha@
@baby@|@erqe, wawa, wawacha@
@baby animal@|@uñ a@
@baby who is able to walk@|@chakisituyojña@
@bachelor@|@mana warmiyoq runa, maqt'a@
@back@|@wasa@
@backtalk@|@kutipakuy@
@backward@|@pisipasqa, pisipaypi@
@bad@|@huchasapa, mana allin, sajra@
@bad luck@|@taphya@
@bad odor; stench@|@asna@
@bad wind@|@wayra hap'isqa@
@badly done@|@ronqho@
@badman@|@millakuy runa, millay runa@
@badness@|@mana allinqa, mana chaninqa@
@bag@|@wayaqa@
@bag (for coca)@|@ch'uspa@
@baked potato@|@wathia@
@balance@|@aysana, kuskachapaq aysana@
@bald@|@p'ajla, p'aqla@
@bald dog@|@q'ala alqo@
@ball@|@bola, k'umpa, kurur, morq'o, pelota, q'ompu@
@ball of dough@|@k'ispiñu@
@ball of yarn@|@kurur@
@band@|@pillkuy@
@band (music)@|@kusituy@
@banded@|@pillkusqa@
@bank (shore)@|@kantu@
@bankrupt@|@qolluy@
@banquet@|@haywakuy@
@baptised@|@bawtismu@
@baptism@|@bawtisay@
@baptized@|@sutiyoj@
@bare@|@p'aqla@
@barefoot@|@q'ala chaki@
@barely@|@ak'ayta, ñak'ay@
@bark@|@qara@
@barley@|@q'achu@
@barn@|@pirwa@
@barter exchange@|@truki@
@base@|@teqsi@
@base; butt; bottom@|@siki@
@bashful@|@p'enqali@
@basin@|@jinti@
