@English@|@Kashubian@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a bath@|@kapnica@
@a boat@|@bôt@
@a cup of coffee@|@kawã@
@a cup of tea@|@arbatã@
@a glass of apple juice@|@jabkòwi sok@
@a glass of beer@|@piwò@
@a glass of orange juice@|@apfelzynòwi sok@
@a glass of red wine@|@czerzwioné wino@
@a glass of white wine@|@biôlé wino@
@a glass of wine@|@wino@
@a shower@|@prisznic@
@all@|@kòzdi@
@and@|@ë@
@animal@|@zwiérz@
@April@|@lzëkwiôt@
@are you in high-school?@|@të jes w òglowém liceum?@
@art@|@kùnszt@
@ash@|@pòpiól@
@at@|@kòl, kòle, przë@
@August@|@Zélnik@
@back@|@plecë@
@bad@|@lëchi, zli@
@bark@|@kóra@
@because@|@bò, ga, kò@
@belly@|@brzëch, zot@
@Berlin@|@Berlinë@
@big@|@wiôldzi@
@bird@|@ptôch@
@black@|@czôrny@
@blood@|@krew@
@bone@|@gnôt@
@breast@|@piers@
@chemistry@|@chemijã@
@child@|@dzeckò@
@cloud@|@blóna@
@cold@|@zëmny@
@correct@|@bezzmilkòwi@
@could you please repeat that?@|@czë mòzesz pòwtórzëc?, pòwtórzë!@
@could you please speak slowly@|@czë mòzesz gadôc pòmalu?@
@danish@|@dënskù@
@day@|@dzén, dzén@
@December@|@Gòdnik@
@dirty@|@brëdny, nielusy@
@Do you live here?@|@Mieszkósz tu?@
@do you speak ..... ?@|@gôdósz gôdajã pò ... ?@
@do you understand me?@|@rozmiôsz mje?@
@do you understand?@|@rozmiôsz?@
@dog@|@pies@
@Don't touch me there!@|@Nie doteko mie tam!@
@don't understand what you say@|@nje rozmjejã cëz gôdôsz@
@dry@|@sëchi@
@dull@|@tãpi@
@dust@|@pich@
@dutch@|@holandskù@
@ear@|@ùchò@
@earth@|@zemia@
@economics@|@ekònomijã@
@egg@|@jajco@
@english@|@anielskù@
@excuse me@|@przeprôszajã, przeprôszóm, wëbaczë@
@eye@|@òkò@
@far@|@daleczi@
@fat@|@sadlo, tlëst@
@father@|@òjc@
@feather@|@pióro@
@February@|@Gromicznik@
@few@|@malo@
@fingernail@|@nokc, paznokc@
@fire@|@òdzin@
@fish@|@rëba@
@five@|@piãc@
@flower@|@kwiat@
@fog@|@dôka@
@foot@|@stopa@
@forest@|@las@
@four@|@sztërë@
@France@|@Francëskô@
@french@|@francëskù@
@Friday@|@piatk@
@fruit@|@brzôd@
@full@|@fùl@
@german@|@miemieckù@
@Germany@|@Miemieckô@
@good@|@dobri@
