@English@|@Kumyk@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1-year-old kid@|@chebich@
@a k. of grass@|@mija@
@a k. of reed@|@qoha@
@a k. of short coat@|@jelbegej@
@a little@|@az@
@a mass of hair@|@jabahy@
@abandon@|@qoj-@
@abhor@|@žirgen@
@above@|@ör@
@acid@|@achchy@
@add to@|@taq-@
@addition@|@sep@
@additionally@|@dahy@
@after@|@song@
@age@|@jilqy, jylqy@
@air@|@gäva@
@alive@|@tiri@
@all@|@bary@
@also@|@bulan@
@an ending of the 2d person@|@-ng@
@ancient@|@esgi, eski@
@and@|@da, va@
@anger@|@öch, öpke@
@angle@|@mujuš, müjüš@
@animal@|@g'aivan@
@ant@|@xomursg'a, xomursha@
@apple@|@alma@
@aptitude@|@amraq@
@area covered with stones@|@saj@
@arm@|@köl, qol@
@arrange in a row@|@tiz-@
@arrow@|@ok', oq@
@ash@|@kiul@
@ash tree@|@güjrüch@
@ashes@|@kül@
@attached@|@üjür@
@aunt@|@abaj, apaj, ažaj, echiw@
@autumn@|@güz@
@aware@|@saq@
@awl@|@biz@
@axe@|@balta@
@back@|@arqa, art, geri, syrt@
@back of horse@|@savru, sawury@
@back of the neck@|@engse-@
@bad@|@jaman, osal@
@bad weather@|@jut@
@badger@|@porsuq@
@bag@|@janchiq@
@ball of wool@|@jummaq@
@bandit@|@qaraq@
@bark@|@qabuq@
@barley@|@arpa@
@barren cow@|@qysyr@
@bat@|@jar-qanat@
@beads@|@minchaq@
@bear@|@aiuv@
@beard@|@sak'al@
@become pale@|@ong-@
@become satiated@|@toj-@
@bed@|@karavat@
@bed-bug@|@qandala@
@bee@|@balžibin@
@beer@|@pivo@
@bell@|@qonguraw@
@bellows@|@körük@
@belly@|@qaryn@
@big@|@ullu@
@big vessel@|@chapchaq@
@bird@|@k'uš, quš@
@bird's crop@|@böteke@
@bitch@|@qancyq@
@black@|@k'ara, qara@
@blanket@|@jowurhan@
@blessing@|@alhyš@
@blood@|@k'an, qan@
@blue@|@gëk, gök@
@blunt@|@tomaq@
@boar@|@qaban@
@boat@|@geme, k'aiyk', qajyq@
@body@|@boj, zat@
@body hair@|@tük@
@bone@|@süjek@
@book@|@kitap@
@bosom@|@qojyn@
@bow string@|@kiriš@
@brain@|@miji@
@bran@|@gebek@
@branch@|@butaq, chubuq, tarmaq@
@brave man@|@igit, jigit@
@bread@|@aš, chëpek, chëpekekmek, ekmek@
@breast@|@kökürek, töš@
@breath@|@tyn-yš@
@bridge@|@këpiur@
@bridle@|@jüngen@
